close,open,date,high,volume,low
624.35,629.0,2025-07-24,635.3,418772,622.1
616.0,623.0,2025-07-25,623.55,580670,607.0
613.0,614.9,2025-07-28,619.5,561772,607.05
606.2,607.7,2025-07-29,611.3,481960,597.4
609.7,608.6,2025-07-30,615.6,253448,605.05
599.3,601.9,2025-07-31,604.3,315045,593.1
587.85,598.95,2025-08-01,606.0,442063,584.35
590.35,588.9,2025-08-04,596.9,599803,583.85
532.85,540.0,2025-08-05,560.0,5292004,529.0
529.35,535.0,2025-08-06,542.0,1949083,515.4
519.6,529.35,2025-08-07,530.0,1134372,512.0
528.05,520.7,2025-08-08,534.35,857686,517.5
520.95,529.0,2025-08-11,531.05,551653,515.8
515.7,521.8,2025-08-12,523.6,2025447,513.35
517.0,519.7,2025-08-13,524.0,276014,515.2
511.3,516.05,2025-08-14,518.95,493098,510.0
525.95,514.05,2025-08-18,526.75,911801,507.0
525.55,525.95,2025-08-19,530.0,580436,518.05
532.35,525.7,2025-08-20,534.0,439097,520.0
535.5,535.0,2025-08-21,539.3,547370,525.4
534.05,533.95,2025-08-22,536.1,606329,526.1
532.15,534.05,2025-08-25,538.8,311495,528.45
529.8,532.1,2025-08-26,533.7,497776,523.45
524.0,526.05,2025-08-28,527.95,823081,520.0
519.1,526.35,2025-08-29,529.0,965572,515.55
520.5,519.8,2025-09-01,522.9,676494,511.2
530.25,524.0,2025-09-02,533.35,783570,521.1
527.4,532.9,2025-09-03,533.1,537011,523.8
514.85,527.4,2025-09-04,529.9,1420057,512.1
511.05,515.85,2025-09-05,517.75,515752,507.0
508.05,515.0,2025-09-08,517.05,309075,507.0
513.3,511.9,2025-09-09,515.0,450985,506.0
515.95,517.95,2025-09-10,520.95,259318,513.5
513.4,517.0,2025-09-11,518.85,310945,509.0
531.65,516.0,2025-09-12,538.7,1194691,513.65
542.35,536.8,2025-09-15,554.0,1090531,533.4
539.85,544.8,2025-09-16,546.25,661463,535.15
540.15,543.05,2025-09-17,546.0,464158,536.55
537.0,541.5,2025-09-18,544.4,433248,531.3
536.1,534.85,2025-09-19,543.9,672003,532.35
539.8,538.0,2025-09-22,547.0,321951,534.3
530.15,541.0,2025-09-23,542.3,836676,528.05
522.15,530.15,2025-09-24,537.5,515428,520.0
516.15,522.0,2025-09-25,526.9,450576,509.55
515.5,516.0,2025-09-26,518.0,390016,508.55
519.05,515.65,2025-09-29,523.0,288508,511.95
518.95,517.0,2025-09-30,521.8,167961,515.3
523.6,518.95,2025-10-01,524.85,146018,517.25
521.65,526.0,2025-10-03,528.45,258289,520.1
521.8,521.15,2025-10-06,527.75,328072,519.0
523.8,524.0,2025-10-07,526.25,874443,518.1
526.45,523.0,2025-10-08,538.5,700792,521.95
528.0,527.0,2025-10-09,532.7,319810,523.0
526.65,530.0,2025-10-10,536.3,477945,524.0
