close,open,date,high,volume,low
2802.6,2809.4,2025-07-23,2835.6,545414,2793.1
2797.7,2818.8,2025-07-24,2828.0,395856,2782.0
2774.4,2797.7,2025-07-25,2799.9,909208,2728.7
2798.9,2774.4,2025-07-28,2832.8,601547,2750.0
2801.8,2790.0,2025-07-29,2825.0,820647,2784.9
2793.6,2814.9,2025-07-30,2825.0,624411,2754.5
2801.8,2760.0,2025-07-31,2846.0,1287444,2755.0
2858.2,2825.0,2025-08-01,2884.1,2512045,2799.1
2942.5,2890.0,2025-08-04,2968.0,1942925,2882.6
2983.2,2951.0,2025-08-05,2988.9,1159503,2913.0
2952.7,2980.0,2025-08-06,3001.8,700188,2939.9
3013.4,2952.0,2025-08-07,3020.1,830216,2931.3
2968.9,3014.9,2025-08-08,3024.2,387198,2960.0
2981.2,2985.0,2025-08-11,2999.0,569270,2957.3
2963.8,2994.4,2025-08-12,3000.0,612973,2955.5
3019.2,2977.8,2025-08-13,3044.8,1546062,2963.8
3020.3,3034.0,2025-08-14,3039.9,1075908,2985.6
3219.7,3155.9,2025-08-18,3255.8,3748828,3132.4
3251.9,3220.0,2025-08-19,3257.8,1233895,3209.8
3229.8,3252.1,2025-08-20,3272.4,886979,3221.2
3280.9,3247.8,2025-08-21,3308.0,1427568,3228.0
3294.6,3281.0,2025-08-22,3305.0,1323997,3273.5
3284.7,3310.0,2025-08-25,3318.0,733843,3259.8
3272.3,3274.1,2025-08-26,3297.3,1060760,3253.2
3256.0,3349.0,2025-08-28,3349.0,856511,3246.0
3276.6,3239.1,2025-08-29,3313.9,1023381,3238.0
3356.2,3295.1,2025-09-01,3373.7,803428,3280.6
3369.6,3361.0,2025-09-02,3394.0,641932,3333.1
3400.3,3367.1,2025-09-03,3413.6,752456,3351.2
3433.2,3500.0,2025-09-04,3500.0,1331870,3422.4
3476.6,3450.3,2025-09-05,3481.3,786141,3446.1
3591.3,3488.4,2025-09-08,3602.7,1406946,3488.4
3566.3,3591.3,2025-09-09,3597.3,675896,3544.4
3495.3,3583.3,2025-09-10,3592.4,916961,3479.5
3512.1,3495.3,2025-09-11,3525.0,545731,3455.5
3492.4,3520.0,2025-09-12,3556.8,437676,3479.9
3477.4,3508.3,2025-09-15,3529.0,561079,3469.7
3499.9,3489.4,2025-09-16,3522.1,771880,3482.0
3500.1,3504.9,2025-09-17,3524.6,335818,3491.1
3546.6,3518.8,2025-09-18,3552.5,637171,3491.1
3529.4,3544.1,2025-09-19,3546.0,469027,3515.7
3525.6,3537.0,2025-09-22,3569.5,364825,3520.9
3512.7,3538.8,2025-09-23,3599.9,491046,3496.4
3453.0,3500.0,2025-09-24,3515.4,693587,3443.3
3408.4,3453.0,2025-09-25,3462.3,786698,3399.3
3414.4,3404.0,2025-09-26,3453.8,610742,3392.2
3439.6,3415.9,2025-09-29,3451.0,743356,3387.8
3438.7,3453.4,2025-09-30,3459.6,499575,3403.3
3457.8,3448.3,2025-10-01,3480.8,287239,3430.0
3456.1,3460.0,2025-10-03,3465.0,515537,3367.2
3510.9,3460.0,2025-10-06,3521.1,806627,3427.6
3513.5,3509.0,2025-10-07,3541.9,403033,3494.5
3483.0,3522.8,2025-10-08,3535.0,281210,3474.2
3486.6,3487.1,2025-10-09,3494.6,454868,3447.2
3490.3,3484.7,2025-10-10,3523.0,315926,3466.0
3503.2,3475.1,2025-10-13,3535.0,610644,3438.7
3505.0,3504.0,2025-10-14,3518.0,509821,3474.2
3574.9,3522.9,2025-10-15,3578.7,1116729,3505.1
3576.5,3585.0,2025-10-16,3629.7,757797,3556.4
3654.0,3576.5,2025-10-17,3658.0,1173044,3575.5
3652.0,3699.0,2025-10-20,3700.0,607833,3638.8
3658.3,3668.0,2025-10-21,3681.0,60230,3640.0
3597.2,3720.0,2025-10-23,3720.0,870969,3584.2
3599.8,3596.0,2025-10-24,3639.2,450646,3584.1
3639.9,3619.8,2025-10-27,3645.0,363802,3603.3
3562.0,3650.0,2025-10-28,3680.0,1390930,3523.8
3498.9,3600.0,2025-10-29,3613.8,2288619,3490.0
3491.7,3505.9,2025-10-30,3535.0,1453161,3480.5
3508.7,3497.0,2025-10-31,3547.0,838519,3493.7
