close,open,date,high,volume,low
143.38,143.65,2025-07-23,144.1,10270092,141.6
144.97,144.75,2025-07-24,145.45,12270864,142.63
136.22,139.8,2025-07-25,141.85,15840295,135.95
133.44,136.0,2025-07-28,137.05,13546810,133.1
132.73,132.34,2025-07-29,133.69,15736006,130.93
130.76,132.82,2025-07-30,133.89,10561917,130.55
130.96,129.0,2025-07-31,132.6,13135375,128.0
128.1,130.96,2025-08-01,131.45,9784214,127.8
129.04,128.62,2025-08-04,129.43,12083279,127.14
127.98,128.9,2025-08-05,129.87,14449850,127.18
131.02,128.15,2025-08-06,131.63,11985730,127.81
132.45,130.0,2025-08-07,132.8,12184697,129.64
130.98,132.0,2025-08-08,132.55,6249295,130.5
134.78,131.0,2025-08-11,134.96,10231895,130.98
135.54,135.45,2025-08-12,137.0,8579446,134.96
135.69,136.0,2025-08-13,136.94,6376913,134.81
134.84,136.0,2025-08-14,136.48,5981897,134.12
135.79,136.86,2025-08-18,137.63,10435748,134.9
137.53,135.8,2025-08-19,137.75,8218045,133.71
136.91,137.02,2025-08-20,138.29,7029534,136.41
136.53,137.0,2025-08-21,138.55,6917659,136.3
134.76,136.58,2025-08-22,138.22,7284576,134.6
133.04,134.77,2025-08-25,136.0,6493537,132.83
129.67,133.0,2025-08-26,133.0,13481767,128.94
127.08,129.58,2025-08-28,129.58,7294298,126.8
124.82,127.45,2025-08-29,128.2,13165024,124.64
128.16,125.5,2025-09-01,128.4,5838935,125.5
127.66,128.51,2025-09-02,129.41,4004275,127.23
128.46,128.0,2025-09-03,128.9,6926587,127.58
126.83,129.75,2025-09-04,130.59,7510587,126.63
127.34,126.98,2025-09-05,128.16,8063176,125.45
128.05,127.74,2025-09-08,129.05,2609891,127.1
127.24,128.09,2025-09-09,128.49,6435657,126.61
132.51,127.9,2025-09-10,132.9,17944307,127.87
133.72,132.95,2025-09-11,136.48,10910360,132.55
133.88,134.3,2025-09-12,134.3,5580149,132.82
134.64,133.88,2025-09-15,135.11,8200837,132.5
134.29,134.95,2025-09-16,135.07,6948055,133.0
137.03,134.5,2025-09-17,138.45,15301909,134.0
136.59,137.41,2025-09-18,138.36,12767032,135.3
140.3,136.8,2025-09-19,141.23,23479611,136.52
138.81,140.35,2025-09-22,141.56,7478022,138.33
140.2,138.81,2025-09-23,141.34,7618679,137.11
139.17,140.6,2025-09-24,141.63,9872466,138.77
138.77,139.19,2025-09-25,140.2,6552575,137.82
134.08,138.55,2025-09-26,138.7,8038715,133.9
135.4,134.29,2025-09-29,136.83,8531659,134.26
138.51,135.89,2025-09-30,139.15,9260926,135.68
138.75,139.19,2025-10-01,140.1,8641300,136.4
137.71,138.78,2025-10-03,140.45,11964819,135.29
136.68,137.7,2025-10-06,138.25,10215425,135.3
138.54,137.0,2025-10-07,139.15,8128536,136.75
136.02,139.25,2025-10-08,139.25,7718941,135.72
137.83,136.65,2025-10-09,139.35,7305339,136.15
139.27,137.9,2025-10-10,140.18,7959876,137.52
139.9,139.27,2025-10-13,141.0,8108286,136.91
137.0,140.1,2025-10-14,140.34,6987798,136.74
139.44,137.24,2025-10-15,140.4,6780170,137.14
138.81,140.0,2025-10-16,140.75,5116871,138.0
136.69,138.81,2025-10-17,139.08,7584213,135.8
141.33,137.69,2025-10-20,142.8,18095188,137.49
141.66,142.0,2025-10-21,142.52,2539060,141.1
142.85,142.0,2025-10-23,145.0,12272542,142.0
141.77,142.71,2025-10-24,144.0,5680097,140.8
144.96,142.48,2025-10-27,146.2,10145527,141.65
147.07,145.9,2025-10-28,147.73,15194370,144.7
146.12,148.0,2025-10-29,148.23,7276992,145.37
142.32,146.4,2025-10-30,150.8,37275551,140.8
148.67,143.27,2025-10-31,152.0,63642549,142.86
150.88,149.0,2025-11-03,152.75,23971441,148.95
151.54,151.9,2025-11-04,152.65,14622442,150.25
150.15,152.58,2025-11-06,152.58,10296779,149.6
153.3,149.1,2025-11-07,153.66,14462530,147.8
154.24,153.98,2025-11-10,155.42,13758440,152.3
152.62,154.24,2025-11-11,154.62,11291018,150.32
156.29,153.26,2025-11-12,156.75,12015875,152.51
151.9,157.05,2025-11-13,157.4,19743581,151.41
152.76,151.76,2025-11-14,153.74,8855570,151.53
154.08,153.75,2025-11-17,156.06,9495126,153.4
153.11,154.07,2025-11-18,154.74,5855016,152.4
154.48,153.3,2025-11-19,154.99,9710597,152.01
153.19,155.1,2025-11-20,156.6,6033517,152.7
150.89,153.0,2025-11-21,153.02,8113297,149.61
150.99,150.95,2025-11-24,152.6,10621635,150.51
152.85,151.0,2025-11-25,153.21,5133754,151.0
155.4,153.85,2025-11-26,157.51,16804200,153.4
154.28,155.89,2025-11-27,155.89,6095060,153.1
153.27,154.0,2025-11-28,154.75,7664117,152.21
154.19,154.0,2025-12-01,156.0,8974727,153.16
155.77,155.01,2025-12-02,160.15,41382653,154.44
151.38,157.34,2025-12-03,157.7,25417554,150.3
152.43,150.8,2025-12-04,153.27,11671955,150.15
153.3,152.43,2025-12-05,153.69,11066679,150.8
148.36,153.3,2025-12-08,153.57,13307850,146.5
150.43,147.45,2025-12-09,150.75,13392204,145.87
148.06,150.5,2025-12-10,151.2,8715752,147.02
150.53,148.06,2025-12-11,151.28,6920751,147.75
152.74,150.6,2025-12-12,153.06,9061839,149.83
153.65,152.74,2025-12-15,154.13,7971639,151.1
153.2,153.35,2025-12-16,154.25,7230799,152.41
153.04,152.95,2025-12-17,154.38,9900117,152.5
154.15,153.15,2025-12-18,155.15,8321466,152.01
154.03,154.8,2025-12-19,155.48,7568724,153.1
152.8,155.05,2025-12-22,155.2,6272156,152.38
152.36,153.9,2025-12-23,153.9,4846187,151.85
150.76,153.0,2025-12-24,153.0,5737536,150.39
150.22,150.79,2025-12-26,151.47,2656436,150.0
149.15,150.19,2025-12-29,150.7,6332111,148.67
151.65,149.51,2025-12-30,152.84,34376366,148.12
153.76,152.45,2025-12-31,155.3,11421983,151.38
153.58,154.2,2026-01-01,154.99,5815300,152.7
156.7,153.99,2026-01-02,157.1,11427490,153.92
162.36,158.0,2026-01-05,162.99,30448320,157.51
165.74,163.6,2026-01-06,167.3,27407244,162.61
166.33,166.5,2026-01-07,166.63,9352445,164.13
