close,open,date,high,volume,low
652.8,657.7,2025-07-11,658.5,2145893,645.7
659.5,654.0,2025-07-14,661.8,1745640,646.75
673.8,662.0,2025-07-15,675.8,1726609,661.95
671.45,673.0,2025-07-16,677.0,1928069,668.4
692.65,673.0,2025-07-17,697.45,5685069,670.55
686.85,694.0,2025-07-18,697.9,1515065,684.35
713.75,688.0,2025-07-21,717.55,8073738,682.45
722.85,715.0,2025-07-22,730.95,4108448,711.4
727.35,726.6,2025-07-23,729.8,2827536,718.5
726.55,726.0,2025-07-24,730.5,2189801,718.7
722.2,726.55,2025-07-25,729.0,1507020,718.45
729.85,725.0,2025-07-28,735.85,4881892,720.15
726.05,727.0,2025-07-29,734.55,3504831,721.05
721.9,727.0,2025-07-30,728.5,1589570,716.9
703.8,715.0,2025-07-31,723.65,2497511,701.3
665.15,703.95,2025-08-01,713.9,6828070,658.0
711.7,673.5,2025-08-04,719.45,12572025,672.05
720.45,708.3,2025-08-05,723.8,3136768,702.0
705.3,720.0,2025-08-06,721.85,1691312,704.2
705.45,700.0,2025-08-07,710.8,1933447,688.2
688.75,704.05,2025-08-08,704.95,1164817,685.9
693.7,688.95,2025-08-11,696.6,1129449,678.15
688.65,693.7,2025-08-12,696.0,1449415,686.05
686.15,686.1,2025-08-13,693.15,1062727,680.9
683.75,684.2,2025-08-14,693.9,1066750,681.0
690.95,690.15,2025-08-18,700.7,1319724,686.45
707.3,697.5,2025-08-19,709.45,2030825,693.0
713.45,708.5,2025-08-20,730.3,3114706,702.0
712.45,717.05,2025-08-21,718.55,2041917,710.2
716.45,712.9,2025-08-22,722.9,1635644,707.95
722.8,717.2,2025-08-25,741.0,4678348,713.5
723.1,725.25,2025-08-26,729.8,3299511,712.4
716.7,736.5,2025-08-28,736.5,3935173,713.45
715.75,713.05,2025-08-29,722.2,2472182,702.6
727.95,715.7,2025-09-01,730.65,1785815,711.8
710.65,731.55,2025-09-02,732.0,3003994,709.65
715.6,718.0,2025-09-03,730.0,2196910,712.8
695.4,720.0,2025-09-04,723.15,2075117,692.0
688.85,697.5,2025-09-05,700.9,1054221,684.2
705.8,691.0,2025-09-08,708.0,1677209,691.0
704.0,709.95,2025-09-09,715.95,2826300,698.0
696.95,705.4,2025-09-10,708.25,1965357,690.65
