close,open,date,high,volume,low
366.8,354.15,2025-08-18,370.0,384237.0,348.65
371.15,366.8,2025-08-19,374.35,638706.0,364.5
364.1,371.0,2025-08-20,374.35,589504.0,362.55
368.15,364.0,2025-08-21,369.8,457410.0,363.5
377.0,368.15,2025-08-22,386.5,740640.0,366.85
388.1,377.0,2025-08-25,390.0,1496369.0,373.1
386.55,382.3,2025-08-26,395.8,804844.0,381.15
384.35,382.05,2025-08-28,390.0,473015.0,378.35
381.5,385.0,2025-08-29,390.0,232117.0,378.6
388.5,381.05,2025-09-01,398.9,872427.0,380.45
382.75,389.0,2025-09-02,389.9,261706.0,379.1
376.0,384.0,2025-09-03,386.1,286892.0,374.35
381.25,379.3,2025-09-04,383.0,280231.0,374.0
381.95,382.0,2025-09-05,387.6,256456.0,378.0
382.5,382.9,2025-09-08,387.35,162733.0,379.0
388.7,387.05,2025-09-09,390.0,563304.0,380.3
384.15,396.0,2025-09-10,396.0,544824.0,380.5
383.55,385.0,2025-09-11,388.5,155814.0,381.8
387.25,384.75,2025-09-12,392.0,288114.0,381.5
386.65,387.0,2025-09-15,396.0,436488.0,379.05
407.1,386.5,2025-09-16,413.5,5066472.0,385.1
402.15,409.0,2025-09-17,411.25,991609.0,401.0
415.85,402.8,2025-09-18,419.35,3188177.0,398.1
426.55,417.1,2025-09-19,429.4,2531058.0,412.45
431.85,424.0,2025-09-22,439.7,1870139.0,421.85
442.75,432.0,2025-09-23,453.0,2659706.0,426.5
445.95,444.0,2025-09-24,449.0,941692.0,440.0
448.7,445.0,2025-09-25,451.5,941508.0,435.8
448.9,446.05,2025-09-26,454.3,911310.0,442.1
476.45,451.15,2025-09-29,481.9,4223294.0,451.15
459.35,474.0,2025-09-30,478.4,1138216.0,455.1
452.75,459.35,2025-10-01,469.25,841986.0,443.85
462.4,453.0,2025-10-03,463.9,572542.0,450.0
450.85,464.85,2025-10-06,465.7,489397.0,449.1
450.85,451.0,2025-10-07,459.35,375546.0,447.65
446.1,450.6,2025-10-08,457.1,416634.0,444.0
481.6,448.7,2025-10-09,485.9,8799361.0,446.85
469.65,475.0,2025-10-10,488.35,2079302.0,466.0
458.3,465.0,2025-10-13,468.9,383141.0,457.0
480.4,458.5,2025-10-14,486.0,1269304.0,454.4
469.4,480.0,2025-10-15,482.0,499366.0,467.45
468.3,471.9,2025-10-16,475.65,270646.0,466.0
455.3,467.2,2025-10-17,472.85,304900.0,453.4
453.9,455.3,2025-10-20,459.7,313211.0,449.0
460.05,453.9,2025-10-21,465.8,99167.0,453.9
458.15,460.15,2025-10-23,461.5,232482.0,452.0
448.4,461.55,2025-10-24,461.55,362255.0,445.35
455.8,447.5,2025-10-27,457.5,1170724.0,436.0
463.35,455.55,2025-10-28,470.85,503393.0,453.85
462.5,463.0,2025-10-29,470.5,283152.0,459.1
459.85,464.95,2025-10-30,467.0,186931.0,457.3
464.85,457.85,2025-10-31,470.8,489816.0,456.0
478.25,463.7,2025-11-03,480.0,1100670.0,458.0
474.2,479.95,2025-11-04,480.5,1290498.0,468.65
464.0,478.7,2025-11-06,478.7,601880.0,457.2
472.45,461.45,2025-11-07,477.0,420833.0,454.2
481.3,473.0,2025-11-10,497.1,2728272.0,470.0
469.5,480.75,2025-11-11,481.3,750615.0,456.85
467.6,470.0,2025-11-12,472.3,550255.0,461.25
