close,open,date,high,volume,low
420.65,424.5,2025-08-29,428.55,7712901,420.0
431.0,422.8,2025-09-01,434.9,7817717,422.8
431.6,432.0,2025-09-02,435.35,6420682,423.4
439.45,433.25,2025-09-03,441.7,10052593,432.6
435.7,446.0,2025-09-04,446.0,7605728,434.95
445.5,436.0,2025-09-05,446.8,8277809,435.6
434.4,441.0,2025-09-08,441.95,11885826,433.35
432.8,435.0,2025-09-09,437.9,6379983,431.95
433.7,435.0,2025-09-10,437.5,5516735,432.0
437.7,434.05,2025-09-11,439.8,6964582,432.95
450.9,440.0,2025-09-12,455.0,15838929,439.1
454.4,455.05,2025-09-15,462.8,14003502,452.75
461.3,457.0,2025-09-16,463.4,9675778,455.0
456.15,465.0,2025-09-17,471.0,27609041,444.0
455.65,456.15,2025-09-18,458.95,7741800,452.6
455.6,458.0,2025-09-19,458.5,10444975,452.15
458.45,455.0,2025-09-22,462.6,6873708,454.65
457.2,458.45,2025-09-23,459.9,6504267,452.25
448.45,456.95,2025-09-24,459.0,8390096,447.0
461.65,451.0,2025-09-25,464.0,12571562,449.5
447.95,462.25,2025-09-26,463.8,10271939,445.1
452.25,451.0,2025-09-29,457.55,11707970,447.65
465.8,457.4,2025-09-30,468.2,16517105,454.0
464.85,468.55,2025-10-01,469.85,7779725,458.5
470.95,464.85,2025-10-03,479.9,21404838,464.5
470.8,474.95,2025-10-06,478.0,9042871,467.1
471.85,475.0,2025-10-07,476.5,5931853,470.25
472.7,471.9,2025-10-08,477.95,10158945,465.6
484.2,473.0,2025-10-09,485.0,16201074,467.35
482.2,483.0,2025-10-10,485.0,13091981,473.75
479.3,479.5,2025-10-13,480.65,8312537,474.65
480.05,483.85,2025-10-14,489.1,14181566,474.8
483.05,480.05,2025-10-15,484.5,7569516,476.2
479.1,485.0,2025-10-16,485.0,5099739,475.0
474.05,478.0,2025-10-17,481.1,5816016,467.55
473.9,476.0,2025-10-20,478.5,4010765,472.05
475.65,477.5,2025-10-21,477.95,841526,474.5
483.25,477.1,2025-10-23,484.85,11194491,474.65
495.6,490.0,2025-10-24,501.05,25748299,487.25
505.25,501.0,2025-10-27,505.95,13611047,497.25
502.45,505.95,2025-10-28,509.75,10881126,499.65
516.2,504.05,2025-10-29,524.4,25108474,504.05
506.95,513.0,2025-10-30,514.9,7439433,503.2
493.55,506.95,2025-10-31,507.4,13235197,491.2
513.0,502.0,2025-11-03,514.5,16492217,500.4
508.15,511.0,2025-11-04,517.6,9015840,505.1
504.95,510.0,2025-11-06,514.4,7236023,502.6
515.05,501.0,2025-11-07,517.25,9229050,497.5
519.6,521.0,2025-11-10,526.6,9368684,518.25
523.85,520.1,2025-11-11,524.9,6857737,515.55
520.6,525.0,2025-11-12,528.85,8017904,518.0
529.6,527.0,2025-11-13,535.5,14483739,524.2
525.35,528.0,2025-11-14,531.3,6780850,521.5
520.8,526.95,2025-11-17,528.0,4575270,519.35
510.7,521.65,2025-11-18,521.8,7919977,508.25
511.8,509.0,2025-11-19,514.8,4009545,507.55
509.75,516.0,2025-11-20,519.0,5736356,509.15
496.4,510.0,2025-11-21,511.0,8023391,494.55
495.15,498.15,2025-11-24,503.5,10371411,493.8
504.65,495.6,2025-11-25,506.85,7658295,495.6
516.3,507.9,2025-11-26,517.0,7777469,506.1
519.1,518.7,2025-11-27,523.75,5978457,517.35
526.0,519.4,2025-11-28,530.8,9990143,518.65
533.3,535.0,2025-12-01,537.65,10279499,530.0
538.4,530.85,2025-12-02,539.9,9490883,530.1
532.8,541.0,2025-12-03,541.05,9182829,528.75
529.65,534.7,2025-12-04,543.0,14735849,528.25
524.5,528.85,2025-12-05,531.45,14808276,517.8
511.25,524.3,2025-12-08,527.3,7598744,509.2
516.15,509.9,2025-12-09,517.6,7594795,502.35
524.2,519.25,2025-12-10,530.75,14712797,516.15
529.05,528.0,2025-12-11,534.5,11125398,525.1
543.6,535.0,2025-12-12,546.55,18629112,535.0
549.4,540.95,2025-12-15,551.8,13889922,539.35
569.5,548.0,2025-12-16,572.9,34011443,545.2
569.8,580.0,2025-12-17,580.45,30344596,566.1
579.15,569.7,2025-12-18,583.0,14766995,564.0
581.6,582.0,2025-12-19,583.4,16753034,571.5
585.65,590.0,2025-12-22,594.5,16201067,581.5
586.4,586.0,2025-12-23,590.8,7941430,584.6
598.15,589.95,2025-12-24,599.8,15686960,587.2
600.95,603.7,2025-12-26,607.9,12119491,596.95
593.1,609.0,2025-12-29,616.0,25560591,590.4
605.55,593.75,2025-12-30,607.0,14079178,591.15
604.4,610.0,2025-12-31,610.05,8925223,599.35
602.65,603.0,2026-01-01,606.9,4250535,597.7
616.95,604.2,2026-01-02,618.45,9255218,603.6
615.65,620.5,2026-01-05,624.5,8336113,609.7
621.75,618.2,2026-01-06,627.9,10820314,618.0
622.2,625.95,2026-01-07,629.9,10182854,618.3
603.5,619.0,2026-01-08,619.1,18002061,595.0
609.85,603.0,2026-01-09,615.3,10839255,602.35
