close,open,date,high,volume,low
1371.2,1367.0,2025-07-08,1373.0,616481,1350.5
1366.9,1360.9,2025-07-09,1382.4,1046247,1360.9
1368.9,1365.0,2025-07-10,1375.0,812127,1361.8
1369.5,1370.0,2025-07-11,1371.9,865797,1353.3
1376.8,1370.0,2025-07-14,1379.4,684695,1361.3
1396.6,1376.5,2025-07-15,1400.0,1387726,1375.0
1397.3,1392.1,2025-07-16,1399.9,1646006,1378.9
1390.7,1400.0,2025-07-17,1400.0,934758,1387.0
1377.0,1385.1,2025-07-18,1395.0,1041006,1369.0
1385.7,1370.5,2025-07-21,1392.0,483190,1369.8
1357.4,1372.2,2025-07-22,1378.3,1649309,1342.8
1367.6,1356.3,2025-07-23,1369.0,392460,1348.0
1344.0,1360.0,2025-07-24,1365.7,890104,1341.8
1315.6,1337.5,2025-07-25,1341.4,925449,1307.3
1320.5,1303.3,2025-07-28,1334.8,884988,1301.2
1335.1,1308.6,2025-07-29,1340.0,624288,1308.6
1336.0,1320.0,2025-07-30,1338.6,533140,1315.3
1327.7,1320.0,2025-07-31,1348.8,712912,1315.0
1317.4,1326.8,2025-08-01,1326.8,449595,1306.0
1341.8,1308.0,2025-08-04,1346.0,366914,1308.0
1317.0,1340.0,2025-08-05,1340.0,316284,1312.1
1314.2,1319.0,2025-08-06,1324.2,441055,1302.5
1309.2,1301.0,2025-08-07,1327.4,595668,1289.0
1304.9,1312.0,2025-08-08,1323.5,590345,1294.0
1245.2,1201.0,2025-08-11,1250.0,4002006,1192.0
1245.0,1229.9,2025-08-12,1259.9,839568,1229.0
1276.1,1249.9,2025-08-13,1284.0,1199406,1243.7
1274.8,1270.0,2025-08-14,1279.6,569544,1258.0
1349.2,1337.9,2025-08-18,1402.2,5466642,1326.0
1378.9,1345.0,2025-08-19,1382.8,958153,1345.0
1369.8,1388.8,2025-08-20,1388.8,563772,1363.7
1362.7,1368.1,2025-08-21,1372.0,1270171,1344.3
1353.2,1360.0,2025-08-22,1386.2,616349,1350.0
1357.4,1360.0,2025-08-25,1371.8,578894,1348.1
1347.3,1353.4,2025-08-26,1365.3,1192978,1339.0
1359.3,1347.3,2025-08-28,1364.6,957868,1334.1
1374.0,1351.0,2025-08-29,1382.5,1097616,1345.9
1411.9,1370.0,2025-09-01,1426.1,1473916,1367.1
1440.6,1418.9,2025-09-02,1445.0,1403210,1410.5
1430.3,1436.0,2025-09-03,1438.6,1030877,1413.0
1402.6,1470.0,2025-09-04,1470.0,1790205,1398.0
1432.8,1409.9,2025-09-05,1437.4,1254002,1405.2
1419.2,1430.0,2025-09-08,1436.8,456972,1413.1
1412.3,1420.0,2025-09-09,1428.0,887526,1405.3
1394.9,1417.0,2025-09-10,1425.2,1046892,1384.0
1395.3,1399.0,2025-09-11,1399.0,1235017,1371.5
1403.6,1396.2,2025-09-12,1409.1,824826,1392.4
1415.8,1402.5,2025-09-15,1421.9,576808,1400.0
1414.6,1417.9,2025-09-16,1434.0,620757,1413.1
1411.9,1417.4,2025-09-17,1421.9,744641,1400.3
1426.2,1411.1,2025-09-18,1430.4,1125138,1402.5
1419.9,1426.2,2025-09-19,1437.9,1366319,1416.0
1376.2,1415.0,2025-09-22,1415.0,1492222,1370.0
1372.7,1376.2,2025-09-23,1386.4,799766,1356.0
1372.3,1371.9,2025-09-24,1377.0,1056484,1355.0
1372.4,1370.0,2025-09-25,1382.9,643040,1360.6
1340.2,1369.0,2025-09-26,1371.6,1100967,1332.7
1374.5,1335.0,2025-09-29,1383.0,1315242,1333.6
1353.5,1375.9,2025-09-30,1389.8,1300920,1341.1
1353.5,1349.1,2025-10-01,1364.3,1189113,1342.4
1360.4,1350.0,2025-10-03,1366.1,873058,1346.1
1366.7,1355.0,2025-10-06,1376.0,1048625,1332.9
1372.2,1360.0,2025-10-07,1377.4,1282213,1356.1
1367.3,1367.1,2025-10-08,1377.0,2610499,1341.4
1382.0,1367.0,2025-10-09,1395.0,1000102,1366.5
1417.3,1399.0,2025-10-10,1437.6,2611807,1390.3
1378.5,1410.0,2025-10-13,1411.5,1430691,1365.7
1391.7,1378.5,2025-10-14,1399.7,1087951,1378.5
1412.1,1382.0,2025-10-15,1416.0,1045348,1375.0
1415.6,1410.0,2025-10-16,1423.2,910378,1405.1
1426.6,1410.0,2025-10-17,1437.0,1075540,1410.0
1444.8,1420.0,2025-10-20,1448.0,1058298,1405.1
1455.8,1440.0,2025-10-21,1460.0,200517,1432.9
1431.2,1450.0,2025-10-23,1463.8,1121329,1427.7
1441.4,1431.2,2025-10-24,1450.0,539503,1431.2
1436.6,1433.0,2025-10-27,1445.4,1206234,1421.0
1428.4,1431.0,2025-10-28,1435.9,1157671,1404.4
1418.8,1415.0,2025-10-29,1425.9,613025,1386.7
1419.8,1410.0,2025-10-30,1425.2,941460,1400.0
1383.6,1419.8,2025-10-31,1423.9,1115615,1379.0
1365.7,1375.0,2025-11-03,1386.8,658410,1352.6
1359.4,1360.0,2025-11-04,1379.7,834615,1355.0
1292.4,1356.0,2025-11-06,1372.6,1703216,1288.1
1321.5,1292.4,2025-11-07,1327.3,666465,1288.2
1340.7,1320.0,2025-11-10,1374.8,1057635,1308.5
1303.8,1330.0,2025-11-11,1339.0,1314969,1299.0
1337.6,1305.0,2025-11-12,1343.0,960761,1304.6
1336.9,1329.9,2025-11-13,1345.0,906489,1313.6
1350.9,1304.0,2025-11-14,1385.5,4110953,1299.3
1373.9,1354.0,2025-11-17,1390.0,1487978,1353.1
1384.2,1373.0,2025-11-18,1395.8,768433,1364.7
1401.8,1390.0,2025-11-19,1404.5,709008,1383.6
1411.8,1399.5,2025-11-20,1418.0,656309,1394.0
1395.8,1401.0,2025-11-21,1418.0,1221980,1382.8
1354.6,1390.5,2025-11-24,1404.0,3415624,1346.3
1356.3,1355.0,2025-11-25,1365.5,591991,1343.6
1387.0,1351.1,2025-11-26,1392.5,477248,1351.1
1398.0,1384.0,2025-11-27,1402.9,625765,1365.0
1376.3,1385.1,2025-11-28,1388.4,1004263,1361.3
1360.4,1375.0,2025-12-01,1384.7,512237,1356.0
