close,open,date,high,volume,low
886.9,904.55,2025-07-25,922.0,657935,879.0
863.0,887.7,2025-07-28,894.8,669907,857.4
924.55,863.0,2025-07-29,931.0,2296562,858.05
941.6,925.0,2025-07-30,944.5,2089278,912.0
930.9,922.8,2025-07-31,938.9,658975,912.3
897.5,929.7,2025-08-01,932.65,447421,889.95
886.35,900.65,2025-08-04,901.5,462081,873.0
875.85,893.05,2025-08-05,898.4,520368,863.25
872.9,880.15,2025-08-06,881.4,426110,863.05
872.8,870.0,2025-08-07,876.0,436431,852.15
869.65,876.0,2025-08-08,879.15,270149,865.55
863.4,866.6,2025-08-11,871.5,329209,856.8
876.65,870.0,2025-08-12,887.55,433034,858.1
886.35,885.0,2025-08-13,891.0,244712,877.0
882.25,888.15,2025-08-14,888.15,224161,869.2
879.8,884.0,2025-08-18,892.05,317512,872.0
879.0,884.0,2025-08-19,896.0,355399,876.6
872.7,885.95,2025-08-20,885.95,318832,870.2
895.15,876.0,2025-08-21,898.9,337729,874.4
889.6,895.0,2025-08-22,898.2,209394,885.05
888.3,900.0,2025-08-25,903.0,214823,881.4
874.35,880.0,2025-08-26,884.7,298370,867.1
874.2,865.2,2025-08-28,879.2,321199,860.6
842.4,873.5,2025-08-29,874.8,412540,834.2
848.45,836.95,2025-09-01,855.75,244282,835.0
824.3,847.0,2025-09-02,857.95,869609,821.45
852.4,822.6,2025-09-03,855.45,503520,822.6
847.0,860.0,2025-09-04,866.7,267788,840.9
849.15,842.1,2025-09-05,851.2,229917,832.0
858.9,853.4,2025-09-08,862.4,205591,843.2
885.15,859.5,2025-09-09,887.9,484245,856.05
883.35,890.0,2025-09-10,897.0,221211,880.85
870.05,884.0,2025-09-11,885.1,266219,866.1
879.75,873.9,2025-09-12,884.9,288689,864.25
923.8,879.75,2025-09-15,925.0,1473811,874.45
905.35,925.0,2025-09-16,925.0,529741,903.1
890.55,908.0,2025-09-17,909.0,427644,888.0
895.45,897.45,2025-09-18,909.35,223543,888.05
903.8,898.0,2025-09-19,907.85,451255,886.45
892.35,905.85,2025-09-22,905.9,443873,883.0
883.15,889.3,2025-09-23,889.3,217436,881.2
879.7,880.0,2025-09-24,888.0,161656,875.0
872.95,879.7,2025-09-25,882.65,173369,869.9
860.9,865.15,2025-09-26,882.35,492988,855.7
846.1,860.9,2025-09-29,872.0,257306,840.5
857.35,847.0,2025-09-30,862.95,252590,837.9
855.35,851.4,2025-10-01,862.8,153853,847.0
864.15,852.7,2025-10-03,871.55,234729,852.7
852.55,863.6,2025-10-06,864.15,257515,845.75
871.7,852.0,2025-10-07,884.0,954277,851.7
854.85,870.0,2025-10-08,873.9,206598,851.15
851.95,861.25,2025-10-09,861.25,342655,846.0
848.25,858.45,2025-10-10,858.45,209704,846.35
845.0,836.0,2025-10-13,848.8,538591,827.4
825.05,853.1,2025-10-14,853.1,341447,816.55
825.1,825.05,2025-10-15,835.0,428766,817.0
836.2,830.0,2025-10-16,848.5,453550,825.15
829.35,839.95,2025-10-17,845.0,348716,824.2
832.85,835.0,2025-10-20,836.2,296008,822.15
850.2,840.0,2025-10-21,853.85,201984,837.5
844.4,860.0,2025-10-23,866.0,618391,840.0
834.0,845.0,2025-10-24,845.8,434528,828.0
873.05,841.2,2025-10-27,879.45,1820544,838.5
886.4,875.0,2025-10-28,909.9,2206907,871.6
906.95,891.0,2025-10-29,910.2,772404,884.3
926.15,915.0,2025-10-30,932.0,2905217,899.5
965.75,945.0,2025-10-31,985.0,8145685,935.7
952.85,970.0,2025-11-03,992.8,1449162,946.55
924.85,940.35,2025-11-04,948.05,1625795,920.05
894.45,910.0,2025-11-06,923.6,776361,890.4
906.6,898.15,2025-11-07,912.5,486907,888.1
912.55,912.0,2025-11-10,923.6,634924,893.0
920.6,912.0,2025-11-11,940.0,939050,903.15
913.8,920.0,2025-11-12,923.55,438278,908.45
928.15,925.05,2025-11-13,938.3,708770,920.0
918.5,925.05,2025-11-14,934.4,266864,913.25
906.75,927.65,2025-11-17,927.65,479428,904.7
903.2,911.9,2025-11-18,915.5,361784,896.5
896.75,908.5,2025-11-19,910.0,344055,891.65
883.15,890.5,2025-11-20,898.25,476362,876.0
867.9,880.0,2025-11-21,880.0,399764,865.6
848.9,868.65,2025-11-24,871.85,525412,844.1
865.55,849.0,2025-11-25,869.35,370459,844.2
871.1,866.0,2025-11-26,878.3,595671,855.7
869.4,879.7,2025-11-27,885.0,410960,857.5
856.4,875.0,2025-11-28,875.7,212831,854.2
862.0,857.0,2025-12-01,867.75,321352,853.0
845.55,862.0,2025-12-02,864.7,332470,841.4
833.15,845.55,2025-12-03,846.1,313939,829.0
