close,open,date,high,volume,low
136.26,133.1,2025-07-29,136.8,1045405,132.56
132.83,136.05,2025-07-30,139.0,4294989,131.01
126.08,125.0,2025-07-31,128.0,7203500,124.25
121.09,125.75,2025-08-01,125.75,2561807,120.52
126.74,121.09,2025-08-04,127.25,2169447,120.2
121.99,125.65,2025-08-05,126.7,3875771,120.9
115.86,121.9,2025-08-06,122.88,3260517,115.3
118.77,112.86,2025-08-07,119.75,5561835,111.4
117.54,119.75,2025-08-08,119.75,2448502,117.0
113.57,117.19,2025-08-11,117.54,1698286,113.1
113.73,114.44,2025-08-12,115.7,2326999,113.35
114.39,113.9,2025-08-13,116.7,1841971,113.65
113.95,114.55,2025-08-14,115.8,977523,113.3
117.16,115.2,2025-08-18,118.4,1980828,114.85
121.96,118.0,2025-08-19,124.66,9477449,117.82
120.87,122.56,2025-08-20,122.56,1351881,120.07
119.41,120.85,2025-08-21,121.1,1289118,118.69
118.68,119.0,2025-08-22,119.97,973540,118.3
116.64,118.7,2025-08-25,119.6,1213331,116.2
114.28,116.02,2025-08-26,116.35,2119658,113.7
112.95,112.38,2025-08-28,114.79,2224094,111.45
109.32,113.61,2025-08-29,113.61,1866284,109.0
111.14,109.2,2025-09-01,111.56,1214477,109.08
112.57,112.59,2025-09-02,114.5,6168647,109.75
114.44,113.5,2025-09-03,115.9,2105326,113.4
111.97,115.75,2025-09-04,115.87,1438700,111.61
114.02,112.2,2025-09-05,114.9,1509845,111.36
114.77,114.69,2025-09-08,115.72,1448206,112.9
114.25,114.71,2025-09-09,114.75,699224,113.51
125.53,118.0,2025-09-10,128.3,66962786,118.0
123.0,124.6,2025-09-11,124.89,6139571,122.5
121.07,123.0,2025-09-12,123.68,3095729,120.01
120.51,121.07,2025-09-15,123.19,1825699,120.24
124.22,121.0,2025-09-16,125.49,6635565,120.7
128.06,125.25,2025-09-17,132.5,21492139,125.25
126.83,129.0,2025-09-18,129.0,2621514,126.24
124.41,127.3,2025-09-19,127.39,2574225,123.1
123.39,124.0,2025-09-22,125.2,1535123,122.61
121.97,123.39,2025-09-23,123.39,1128734,121.12
122.19,121.97,2025-09-24,122.98,1276221,121.02
119.81,122.0,2025-09-25,122.51,1394015,118.98
116.47,119.91,2025-09-26,120.07,1558339,116.1
114.67,116.8,2025-09-29,117.52,1202604,114.12
114.7,114.7,2025-09-30,116.2,804871,113.41
116.86,114.7,2025-10-01,117.5,3802228,114.15
117.21,117.0,2025-10-03,118.7,1499676,116.2
114.55,117.2,2025-10-06,117.25,1400868,114.18
115.56,114.55,2025-10-07,116.0,1029896,114.1
116.16,115.55,2025-10-08,118.17,1325984,113.55
119.34,116.95,2025-10-09,120.17,3230206,116.16
122.77,119.34,2025-10-10,123.5,3053731,118.8
123.77,123.7,2025-10-13,124.1,2662698,121.51
122.94,123.1,2025-10-14,123.99,1872005,122.0
125.82,123.0,2025-10-15,127.2,2119617,121.3
127.08,125.82,2025-10-16,129.64,2969131,124.41
121.67,125.9,2025-10-17,125.91,2485361,121.0
121.93,121.6,2025-10-20,123.2,1201160,118.65
122.53,122.53,2025-10-21,123.32,217696,122.0
127.92,129.23,2025-10-23,132.0,18673047,127.0
128.2,127.6,2025-10-24,128.94,1974913,126.34
129.65,128.5,2025-10-27,132.45,3515879,126.6
128.35,129.0,2025-10-28,129.39,1262021,127.63
132.98,128.35,2025-10-29,134.4,4776256,126.75
132.37,132.98,2025-10-30,133.16,1437345,131.52
129.65,132.3,2025-10-31,134.29,2055087,127.5
131.31,129.25,2025-11-03,132.41,1517597,129.25
129.12,131.4,2025-11-04,131.8,752456,129.0
127.22,129.0,2025-11-06,130.26,1205515,127.0
129.48,127.15,2025-11-07,130.0,1185282,125.9
132.27,129.48,2025-11-10,133.08,2534069,127.88
134.83,134.25,2025-11-11,136.63,5835265,133.12
139.32,135.0,2025-11-12,141.0,17133621,133.75
136.58,139.0,2025-11-13,139.0,2692286,135.11
138.33,137.98,2025-11-14,139.2,1559220,137.5
138.18,138.0,2025-11-17,138.82,996450,136.32
140.92,138.6,2025-11-18,142.99,6269792,138.3
136.62,141.8,2025-11-19,142.1,2395281,135.9
140.38,136.5,2025-11-20,141.5,2371305,136.06
136.37,140.0,2025-11-21,140.0,1342474,136.0
131.87,136.37,2025-11-24,136.37,2728345,131.2
130.27,131.87,2025-11-25,132.58,819401,129.57
133.53,130.27,2025-11-26,134.0,983698,129.65
132.54,133.53,2025-11-27,134.59,977308,131.12
148.82,132.5,2025-11-28,151.06,82862980,131.99
142.0,146.6,2025-12-01,146.79,14672701,140.2
136.38,139.2,2025-12-02,140.38,4871179,135.84
140.39,135.6,2025-12-03,143.8,21298159,134.8
136.75,139.0,2025-12-04,139.44,2585409,136.01
134.7,136.6,2025-12-05,137.15,1552141,134.2
132.04,134.99,2025-12-08,136.3,1938004,130.85
131.84,132.28,2025-12-09,132.48,1651580,128.15
140.81,131.85,2025-12-10,142.78,28631936,131.84
137.57,138.49,2025-12-11,139.54,3221898,136.69
137.35,137.57,2025-12-12,138.51,1516322,136.5
135.78,137.35,2025-12-15,137.35,1048818,135.05
135.63,135.78,2025-12-16,137.0,882103,133.4
133.76,135.99,2025-12-17,136.4,815647,133.0
133.06,133.5,2025-12-18,133.75,978273,131.45
135.76,133.26,2025-12-19,137.37,1822636,133.26
136.39,135.76,2025-12-22,138.5,1173765,135.56
136.95,138.0,2025-12-23,138.95,1265903,136.15
135.02,136.51,2025-12-24,136.9,773961,134.42
132.57,135.02,2025-12-26,135.02,900710,132.05
131.58,132.57,2025-12-29,133.62,730521,131.11
132.96,131.0,2025-12-30,133.61,1123558,130.0
130.57,133.0,2025-12-31,133.5,968997,130.01
132.05,131.0,2026-01-01,132.6,720871,130.46
132.42,133.0,2026-01-02,133.5,980366,131.31
131.72,133.07,2026-01-05,134.33,1019224,131.49
129.46,132.0,2026-01-06,132.51,1039354,129.01
129.56,129.46,2026-01-07,129.95,915303,127.25
126.73,129.2,2026-01-08,132.49,1498450,125.0
123.67,126.0,2026-01-09,126.0,958481,122.81
121.46,123.0,2026-01-12,123.0,2367019,118.1
121.37,121.46,2026-01-13,125.38,1380181,120.25
125.74,121.37,2026-01-14,126.54,1288928,121.16
121.22,125.15,2026-01-16,125.15,1271336,120.6
118.99,121.22,2026-01-19,121.23,748476,118.5
113.0,119.0,2026-01-20,119.15,2161541,112.63
117.26,112.93,2026-01-21,119.0,2634951,112.16
