close,open,date,high,volume,low
259.7,261.7,2025-07-22,262.15,6724044,258.75
261.4,260.25,2025-07-23,261.75,6510321,258.15
261.85,262.0,2025-07-24,263.4,8139900,260.25
259.2,261.8,2025-07-25,262.05,8427780,256.05
250.05,254.0,2025-07-28,254.0,8998911,249.0
251.8,249.2,2025-07-29,252.7,12923128,247.25
250.2,251.45,2025-07-30,252.5,6057152,249.2
248.3,248.1,2025-07-31,250.15,7338764,246.05
242.75,246.5,2025-08-01,246.9,7436999,242.2
246.05,242.75,2025-08-04,246.42,5234393,241.1
245.91,246.05,2025-08-05,246.95,7383968,244.53
239.96,246.0,2025-08-06,246.0,7700190,239.31
242.32,239.11,2025-08-07,243.18,6190830,238.61
239.05,242.4,2025-08-08,243.25,8922847,238.4
241.62,239.05,2025-08-11,244.75,3047287,238.62
241.72,242.7,2025-08-12,246.29,8101435,241.1
241.65,242.89,2025-08-13,242.89,5820844,240.12
246.81,243.1,2025-08-14,248.43,12857225,242.41
245.21,248.64,2025-08-18,249.01,5789317,244.76
246.96,245.46,2025-08-19,247.5,4090961,244.78
250.84,245.3,2025-08-20,252.89,10099384,245.3
249.91,252.74,2025-08-21,252.74,7607486,249.61
248.64,252.0,2025-08-22,253.0,13572686,247.61
253.84,250.6,2025-08-25,257.29,16391069,250.6
252.03,253.0,2025-08-26,254.82,15797327,251.31
250.65,252.02,2025-08-28,252.35,5851451,249.08
249.41,250.5,2025-08-29,253.1,10117017,248.66
250.36,249.42,2025-09-01,252.99,3198345,249.4
250.93,250.36,2025-09-02,253.15,5046939,249.6
249.56,251.9,2025-09-03,252.4,3862765,249.12
244.97,249.5,2025-09-04,250.34,5021036,244.44
243.67,246.1,2025-09-05,247.32,6233782,241.27
242.52,244.36,2025-09-08,246.99,6596932,242.2
249.15,245.0,2025-09-09,249.85,12836972,245.0
255.75,249.3,2025-09-10,257.17,15261331,249.25
253.91,255.7,2025-09-11,255.7,5865301,252.17
251.94,254.88,2025-09-12,255.9,5345794,250.82
251.28,251.5,2025-09-15,251.79,3700703,249.6
254.01,252.0,2025-09-16,254.5,7316998,250.2
254.15,253.3,2025-09-17,255.5,7339871,252.85
256.93,257.0,2025-09-18,259.8,10498239,256.0
255.88,257.0,2025-09-19,257.66,10741757,254.7
250.33,248.55,2025-09-22,251.78,15784007,247.21
249.63,250.22,2025-09-23,252.0,8674114,248.75
244.59,248.33,2025-09-24,249.12,7888797,244.25
242.0,245.45,2025-09-25,245.64,7957740,241.28
235.75,241.45,2025-09-26,241.55,16999628,235.01
239.64,236.88,2025-09-29,240.79,8894412,236.29
239.37,239.93,2025-09-30,241.5,5590909,239.0
241.07,240.0,2025-10-01,243.57,9479378,237.84
240.98,240.98,2025-10-03,241.4,10968346,238.06
242.13,240.0,2025-10-06,242.96,6064946,239.32
243.53,242.9,2025-10-07,245.0,6587728,242.14
244.27,243.25,2025-10-08,246.35,7360563,242.57
246.4,243.99,2025-10-09,246.8,4629760,243.16
248.7,248.0,2025-10-10,251.25,7070200,246.25
245.13,246.06,2025-10-13,247.7,6717589,244.51
248.42,245.8,2025-10-14,250.15,7888607,245.11
250.21,250.0,2025-10-15,252.13,13278925,248.54
253.81,250.4,2025-10-16,254.07,10661302,248.8
240.9,250.0,2025-10-17,250.0,43802251,239.11
241.24,240.9,2025-10-20,241.94,9871824,239.27
241.36,241.0,2025-10-21,242.16,2082336,240.36
244.3,244.8,2025-10-23,247.8,18964626,243.37
242.98,245.0,2025-10-24,245.88,6803979,242.16
243.91,243.29,2025-10-27,245.73,9550336,243.06
242.38,243.66,2025-10-28,244.7,8780789,241.4
242.28,243.6,2025-10-29,243.6,8776917,241.64
241.92,242.89,2025-10-30,244.77,8344622,240.5
240.67,242.11,2025-10-31,243.19,5659566,240.5
240.5,240.67,2025-11-03,241.29,4902693,239.5
237.92,240.5,2025-11-04,240.84,6848284,237.52
240.05,240.0,2025-11-06,240.62,7141517,238.37
236.49,238.7,2025-11-07,239.25,5520619,236.0
239.84,237.44,2025-11-10,241.55,8566758,237.02
241.69,241.1,2025-11-11,242.05,8831094,238.81
245.22,242.75,2025-11-12,246.3,13152546,242.1
245.33,246.0,2025-11-13,246.0,6211124,244.0
244.37,243.92,2025-11-14,245.9,6841554,242.15
244.05,243.97,2025-11-17,244.78,6559062,242.69
240.9,242.93,2025-11-18,244.0,4730012,240.3
246.07,241.2,2025-11-19,246.85,13298452,240.54
246.26,247.5,2025-11-20,247.8,6705862,245.71
244.49,245.0,2025-11-21,247.25,5516450,243.61
247.27,245.02,2025-11-24,249.38,19711070,245.02
245.64,248.0,2025-11-25,248.0,8188793,244.0
250.19,246.0,2025-11-26,250.55,8202096,245.62
249.56,250.4,2025-11-27,251.92,5268129,247.69
249.53,251.0,2025-11-28,251.99,7049965,248.6
250.28,250.1,2025-12-01,250.75,3865446,248.86
250.17,250.0,2025-12-02,251.45,8535708,248.87
254.69,250.6,2025-12-03,257.13,17215454,250.55
256.93,256.0,2025-12-04,258.8,10687381,255.5
259.91,258.2,2025-12-05,261.1,7886562,257.7
261.38,260.01,2025-12-08,263.07,9684253,259.71
257.41,261.38,2025-12-09,261.82,8560580,257.05
257.98,258.01,2025-12-10,260.37,7944200,257.25
259.25,258.31,2025-12-11,259.98,6473376,257.72
260.6,259.5,2025-12-12,260.82,4008271,257.36
261.74,259.99,2025-12-15,262.5,4023911,258.54
259.22,261.74,2025-12-16,261.75,2982041,258.8
261.14,259.0,2025-12-17,262.13,4923276,258.31
263.85,261.18,2025-12-18,264.99,9008412,261.0
264.45,267.0,2025-12-19,267.0,12750745,263.3
272.67,267.51,2025-12-22,273.1,14651313,266.8
271.4,272.0,2025-12-23,272.48,7572420,270.21
268.06,270.94,2025-12-24,270.98,4694861,267.2
266.3,267.2,2025-12-26,268.88,2899112,265.74
264.24,265.99,2025-12-29,267.39,3755074,263.6
263.65,264.0,2025-12-30,264.72,5117699,263.02
263.28,264.0,2025-12-31,264.6,5705044,261.26
267.35,264.5,2026-01-01,268.05,3639755,263.75
269.0,267.35,2026-01-02,272.4,8286204,266.15
263.3,269.45,2026-01-05,269.65,7006599,261.7
265.6,263.3,2026-01-06,266.1,4083654,262.95
270.8,265.0,2026-01-07,272.5,10242615,264.5
262.2,270.9,2026-01-08,270.9,9269522,261.35
261.95,261.35,2026-01-09,263.95,4735387,260.45
263.1,260.7,2026-01-12,264.5,3802164,259.05
264.2,263.45,2026-01-13,264.85,6931244,261.3
260.2,264.0,2026-01-14,264.0,5625861,259.6
267.45,263.25,2026-01-16,269.8,12028289,263.0
245.95,252.0,2026-01-19,252.0,65833247,241.55
239.9,245.95,2026-01-20,246.0,16796201,239.4
239.55,239.9,2026-01-21,242.6,14397792,237.6
240.65,242.0,2026-01-22,242.9,8537915,239.2
238.4,242.3,2026-01-23,243.55,13546802,237.85
234.8,235.2,2026-01-27,236.4,15677537,231.75
237.35,235.5,2026-01-28,238.1,10155128,234.95
239.8,236.2,2026-01-29,240.9,12201949,235.45
236.9,238.0,2026-01-30,238.0,11362317,235.3
242.3,244.0,2026-02-02,244.08,12335721,239.29
242.69,259.21,2026-02-03,259.89,25915412,242.28
233.34,235.91,2026-02-04,235.92,25995324,226.26
233.39,233.34,2026-02-05,235.57,10102736,231.7
230.72,232.93,2026-02-06,232.93,12279085,228.6
230.08,231.85,2026-02-09,232.93,9112474,229.61
231.47,229.98,2026-02-10,232.86,12435622,227.2
229.81,231.47,2026-02-11,233.0,7874912,229.5
219.08,226.2,2026-02-12,226.26,40899346,218.5
214.09,210.65,2026-02-13,216.48,23721186,209.01
213.26,214.62,2026-02-16,216.91,20754327,210.11
215.69,213.26,2026-02-17,219.39,26941553,212.26
211.95,216.2,2026-02-18,216.4,22679760,210.26
211.21,214.0,2026-02-19,215.44,14151588,210.4
209.86,209.7,2026-02-20,211.96,17690420,208.25
205.89,210.36,2026-02-23,211.74,20946229,204.28
200.14,203.0,2026-02-24,203.29,25036686,199.36
201.92,201.31,2026-02-25,205.48,13979068,201.31
201.08,203.71,2026-02-26,204.63,14378069,199.12
200.96,204.0,2026-02-27,204.0,13288519,200.05
198.57,195.0,2026-03-02,200.36,10486866,194.7
195.55,196.01,2026-03-04,197.12,19562075,194.51
195.68,196.4,2026-03-05,196.97,13149281,193.22
195.4,195.6,2026-03-06,198.93,9022914,195.0
198.75,194.0,2026-03-09,199.5,25862728,193.03
200.93,200.5,2026-03-10,201.31,12982340,197.42
202.23,202.69,2026-03-11,205.95,29199002,201.58
202.51,201.06,2026-03-12,203.8,19042475,199.7
197.58,200.6,2026-03-13,202.07,12629652,196.04
195.11,196.24,2026-03-16,198.29,12631649,192.77
191.32,195.0,2026-03-17,195.11,21778468,188.25
194.3,193.0,2026-03-18,198.0,24529164,192.69
188.41,191.98,2026-03-19,192.79,13685195,187.68
190.9,191.19,2026-03-20,192.3,24395304,188.41
187.54,189.41,2026-03-23,190.62,12014988,187.0
188.74,191.5,2026-03-24,191.5,11843191,187.8
189.05,189.0,2026-03-25,190.62,13862888,187.9
191.6,189.05,2026-03-27,192.29,26269256,187.9
187.64,189.99,2026-03-30,191.63,27946986,186.5
191.18,191.51,2026-04-01,194.49,11769673,190.41
194.91,190.5,2026-04-02,195.34,16623045,188.58
197.29,197.0,2026-04-06,201.18,23282287,196.11
204.72,197.01,2026-04-07,205.27,24771466,197.01
203.42,207.7,2026-04-08,209.0,22084158,202.8
202.87,203.71,2026-04-09,204.16,14540807,201.63
204.88,208.7,2026-04-10,208.7,51219565,200.62
202.97,203.01,2026-04-13,203.4,21930624,200.31
209.75,206.5,2026-04-15,210.49,27890080,205.1
210.26,212.98,2026-04-16,212.98,36305074,208.21
204.32,205.0,2026-04-17,206.45,80542603,202.5
202.48,204.5,2026-04-20,205.2,27927164,202.0
