close,open,date,high,volume,low
19.35,19.12,2025-08-19,19.39,46074068,19.03
19.36,19.34,2025-08-20,19.43,40828150,19.32
19.43,19.38,2025-08-21,19.7,49389309,19.33
19.28,19.43,2025-08-22,19.46,38048028,19.25
19.55,20.2,2025-08-25,20.2,254721161,19.5
18.95,19.49,2025-08-26,19.5,148661489,18.9
18.68,19.0,2025-08-28,19.03,68889791,18.65
19.1,18.88,2025-08-29,19.55,191492999,18.71
19.55,19.2,2025-09-01,19.64,78438721,19.07
19.55,19.55,2025-09-02,19.8,71824126,19.37
20.35,19.74,2025-09-03,20.38,220584457,19.7
20.29,20.49,2025-09-04,20.54,99808514,20.25
20.44,20.31,2025-09-05,20.61,91388363,20.03
20.18,20.51,2025-09-08,20.53,50735550,20.14
20.34,20.21,2025-09-09,20.48,58152362,20.2
20.77,20.46,2025-09-10,20.93,131894977,20.42
20.98,20.88,2025-09-11,21.14,113340991,20.75
20.86,21.05,2025-09-12,21.08,70693606,20.75
21.01,20.87,2025-09-15,21.28,74452689,20.87
21.01,21.01,2025-09-16,21.09,58912746,20.84
21.15,21.04,2025-09-17,21.24,77272829,20.87
21.07,21.3,2025-09-18,21.31,78623637,20.94
21.17,21.07,2025-09-19,21.39,116051178,21.0
21.21,21.24,2025-09-22,21.63,111736439,21.18
21.38,21.2,2025-09-23,21.45,82429015,21.1
21.19,21.34,2025-09-24,21.55,76509671,21.15
21.35,21.19,2025-09-25,21.57,117158717,21.16
20.97,21.35,2025-09-26,21.4,85479445,20.9
21.04,21.02,2025-09-29,21.34,69388119,21.01
21.25,21.07,2025-09-30,21.47,92547790,21.07
21.76,21.28,2025-10-01,21.82,157063539,21.16
21.85,21.76,2025-10-03,21.97,108054972,21.68
21.93,21.9,2025-10-06,22.19,103492711,21.78
22.22,21.95,2025-10-07,22.36,120108122,21.94
22.04,22.25,2025-10-08,22.29,96892054,21.9
22.42,22.05,2025-10-09,22.47,113280531,22.01
24.0,22.45,2025-10-10,24.3,551294320,22.42
24.03,24.2,2025-10-13,24.29,251979906,23.82
23.32,24.08,2025-10-14,24.14,154381162,23.23
23.32,23.35,2025-10-15,23.47,91990161,23.21
23.12,23.47,2025-10-16,23.47,80935243,23.08
22.25,23.13,2025-10-17,23.24,199136558,22.05
22.64,22.5,2025-10-20,22.96,174176913,22.14
22.75,22.79,2025-10-21,22.9,25743458,22.68
22.72,22.78,2025-10-23,23.2,130607745,22.65
22.67,22.75,2025-10-24,22.88,90033037,22.47
22.77,22.72,2025-10-27,22.94,81275519,22.66
22.73,22.75,2025-10-28,22.96,90650700,22.54
22.69,22.76,2025-10-29,22.94,56148847,22.66
22.23,22.75,2025-10-30,22.75,80860184,22.2
22.74,22.27,2025-10-31,23.22,210892173,22.27
22.97,22.75,2025-11-03,23.15,107152375,22.53
23.02,22.97,2025-11-04,23.47,139505986,22.8
22.63,23.02,2025-11-06,23.1,78361962,22.61
22.85,22.5,2025-11-07,22.94,84025519,22.3
22.74,22.9,2025-11-10,23.05,48716934,22.7
22.63,22.74,2025-11-11,22.75,53666213,22.39
22.75,22.71,2025-11-12,22.9,62838364,22.67
22.48,22.75,2025-11-13,22.84,59377342,22.45
22.5,22.48,2025-11-14,22.6,50842831,22.36
23.16,22.58,2025-11-17,23.33,156830924,22.58
22.99,23.19,2025-11-18,23.25,74216797,22.95
22.93,22.99,2025-11-19,23.06,60590652,22.76
22.63,23.02,2025-11-20,23.05,64244668,22.58
22.43,22.63,2025-11-21,22.66,67259036,22.32
22.2,22.43,2025-11-24,22.48,139013154,22.16
22.7,22.38,2025-11-25,22.82,111959200,22.3
22.93,22.75,2025-11-26,23.0,72030859,22.61
22.84,22.93,2025-11-27,23.19,65580085,22.64
22.93,22.84,2025-11-28,23.05,72031509,22.73
22.45,22.94,2025-12-01,23.1,79108039,22.38
22.71,22.59,2025-12-02,22.93,140633299,22.42
22.4,22.85,2025-12-03,22.87,102870973,22.32
22.76,22.49,2025-12-04,22.97,135564479,22.33
22.6,22.79,2025-12-05,22.79,81360183,22.47
21.9,22.63,2025-12-08,22.69,92735902,21.8
22.02,21.79,2025-12-09,22.18,75695676,21.58
21.72,22.03,2025-12-10,22.19,59340201,21.67
21.94,21.78,2025-12-11,22.0,49809860,21.6
21.92,21.94,2025-12-12,22.09,65886403,21.84
21.76,21.87,2025-12-15,21.95,42862660,21.7
21.5,21.7,2025-12-16,21.8,58377894,21.33
21.56,21.51,2025-12-17,21.68,52042505,21.46
21.44,21.56,2025-12-18,21.59,37324141,21.3
21.7,21.45,2025-12-19,21.76,86903781,21.45
21.78,21.78,2025-12-22,21.86,40151576,21.7
21.74,21.78,2025-12-23,21.87,41573838,21.65
21.69,21.73,2025-12-24,21.95,45436981,21.66
21.52,21.67,2025-12-26,21.73,37356486,21.47
21.36,21.52,2025-12-29,21.59,50264490,21.31
21.37,21.4,2025-12-30,21.48,267083134,21.15
21.6,21.4,2025-12-31,21.78,64801196,21.39
21.49,21.66,2026-01-01,21.7,32482816,21.44
22.29,21.5,2026-01-02,22.34,114890325,21.48
22.83,22.35,2026-01-05,22.91,153037809,22.18
22.81,22.8,2026-01-06,23.2,121289455,22.67
23.5,22.89,2026-01-07,23.57,188593277,22.72
22.72,23.49,2026-01-08,23.5,137071427,22.62
22.84,22.62,2026-01-09,23.23,109751170,22.55
22.96,22.8,2026-01-12,23.04,113760125,22.46
22.79,23.06,2026-01-13,23.12,65671077,22.6
22.95,22.8,2026-01-14,23.06,69741380,22.67
23.46,23.0,2026-01-16,23.67,171164616,23.0
22.76,23.99,2026-01-19,23.99,195595177,22.66
21.7,22.65,2026-01-20,22.69,165413896,21.61
21.66,21.68,2026-01-21,22.02,133777591,21.51
21.63,21.89,2026-01-22,22.05,93938702,21.55
20.92,21.73,2026-01-23,21.76,120490912,20.8
21.02,21.0,2026-01-27,21.18,111906765,20.68
21.48,21.2,2026-01-28,21.55,87803981,21.18
21.31,21.48,2026-01-29,21.55,262833336,21.02
21.41,21.15,2026-01-30,21.48,81922208,21.02
21.19,21.18,2026-02-02,21.35,76912343,20.81
21.31,21.99,2026-02-03,21.99,92631268,21.25
21.55,21.31,2026-02-04,21.63,101189935,21.26
21.38,21.59,2026-02-05,21.65,79887065,21.2
