close,open,date,high,volume,low
852.2,848.0,2025-07-02,881.0,2243723,846.15
852.4,850.8,2025-07-03,866.2,411566,849.0
852.65,855.1,2025-07-04,855.7,306482,843.0
854.65,852.65,2025-07-07,861.75,377115,841.25
844.95,854.6,2025-07-08,856.25,625953,835.75
849.25,844.8,2025-07-09,855.9,411233,840.3
846.5,856.55,2025-07-10,856.55,493235,844.05
818.7,834.0,2025-07-11,840.85,534173,815.0
808.65,819.0,2025-07-14,819.95,325171,804.0
810.5,808.7,2025-07-15,818.55,434211,801.6
829.85,811.6,2025-07-16,854.0,2554189,811.5
830.8,833.95,2025-07-17,834.95,568313,819.0
826.4,834.35,2025-07-18,834.35,469873,817.15
845.45,826.5,2025-07-21,850.5,1116440,819.0
811.3,846.0,2025-07-22,857.3,987183,808.55
816.1,820.0,2025-07-23,822.7,1919591,787.2
824.9,826.0,2025-07-24,830.5,680763,808.05
796.65,824.75,2025-07-25,824.75,384947,790.0
800.1,782.6,2025-07-28,803.0,841520,770.7
808.45,796.75,2025-07-29,815.0,313732,786.6
810.05,809.0,2025-07-30,812.45,273881,796.15
806.15,795.0,2025-07-31,810.0,433993,790.0
792.2,803.0,2025-08-01,805.3,357788,785.75
800.65,789.0,2025-08-04,804.8,409403,775.2
801.65,800.65,2025-08-05,811.0,277357,795.15
785.35,801.65,2025-08-06,805.0,375898,776.2
790.0,777.0,2025-08-07,794.5,219263,771.1
785.65,790.0,2025-08-08,791.95,168463,779.0
791.55,785.6,2025-08-11,796.0,202620,779.0
808.8,791.55,2025-08-12,823.8,640034,788.0
801.15,809.0,2025-08-13,811.1,306980,795.05
803.15,801.2,2025-08-14,806.7,225003,797.5
798.05,820.5,2025-08-18,822.0,342619,791.1
802.6,798.05,2025-08-19,806.0,196965,794.8
815.2,800.0,2025-08-20,821.4,681187,790.2
809.35,816.0,2025-08-21,823.4,353738,804.0
792.5,806.0,2025-08-22,809.5,201920,790.3
810.75,805.0,2025-08-25,829.8,936633,803.55
804.55,804.0,2025-08-26,814.85,312950,796.0
778.2,804.55,2025-08-28,804.55,255845,775.0
768.1,780.0,2025-08-29,786.55,171070,761.0
787.35,769.75,2025-09-01,794.8,173037,769.0
793.05,786.95,2025-09-02,800.55,153261,784.35
778.65,788.95,2025-09-03,788.95,784608,770.0
779.6,782.85,2025-09-04,791.45,216297,775.3
776.35,775.0,2025-09-05,791.0,386596,763.0
772.0,777.95,2025-09-08,780.25,237942,766.0
777.85,775.0,2025-09-09,781.8,220402,772.5
825.3,780.0,2025-09-10,829.0,1752943,779.0
818.4,825.0,2025-09-11,826.75,254200,815.25
818.25,818.5,2025-09-12,824.4,206340,810.1
808.55,818.15,2025-09-15,818.15,212901,804.0
819.75,809.5,2025-09-16,826.95,271891,807.85
836.2,825.0,2025-09-17,842.2,773903,822.0
850.5,844.0,2025-09-18,868.95,1586460,840.0
857.75,850.5,2025-09-19,862.0,342091,842.5
810.3,837.45,2025-09-22,842.15,709698,807.4
