close,open,date,high,volume,low
13146.0,13195.0,2025-07-22,13301.0,5541,13064.0
13463.0,13089.0,2025-07-23,13525.0,8302,12999.0
13587.0,13525.0,2025-07-24,14185.0,41829,13380.0
13559.0,13521.0,2025-07-25,13610.0,4540,13400.0
13241.0,13580.0,2025-07-28,13638.0,11610,12962.0
13251.0,13241.0,2025-07-29,13383.0,3529,13050.0
13378.0,13251.0,2025-07-30,13430.0,1793,13191.0
13186.0,13269.0,2025-07-31,13377.0,3053,13119.0
12939.0,13186.0,2025-08-01,13283.0,2926,12872.0
13353.0,12950.0,2025-08-04,13444.0,8572,12859.0
13604.0,13353.0,2025-08-05,13640.0,13286,13219.0
13699.0,13605.0,2025-08-06,13986.0,25617,13504.0
13345.0,13649.0,2025-08-07,13679.0,8305,13224.0
13308.0,13251.0,2025-08-08,13459.0,9393,13101.0
13805.0,13328.0,2025-08-11,13833.0,7409,13145.0
13763.0,13804.0,2025-08-12,13849.0,4532,13650.0
13598.0,13763.0,2025-08-13,13809.0,9659,13320.0
13739.0,13675.0,2025-08-14,14445.0,21626,13539.0
13940.0,13748.0,2025-08-18,14050.0,5526,13650.0
14449.0,13939.0,2025-08-19,14511.0,23145,13847.0
14620.0,14454.0,2025-08-20,14735.0,9495,14250.0
14598.0,14650.0,2025-08-21,14704.0,5630,14432.0
14570.0,14640.0,2025-08-22,14640.0,21701,14332.0
14771.0,14481.0,2025-08-25,15081.0,11081,14481.0
14270.0,14855.0,2025-08-26,14895.0,9999,14200.0
14131.0,14270.0,2025-08-28,14370.0,3438,14005.0
14075.0,14140.0,2025-08-29,14330.0,4024,14005.0
14212.0,14249.0,2025-09-01,14249.0,2569,14081.0
14190.0,14299.0,2025-09-02,14332.0,2524,14105.0
13802.0,14140.0,2025-09-03,14240.0,14995,13721.0
13721.0,13910.0,2025-09-04,13951.0,3682,13650.0
13523.0,13740.0,2025-09-05,13749.0,3336,13461.0
13698.0,13700.0,2025-09-08,13884.0,27105,13350.0
13728.0,13760.0,2025-09-09,13866.0,28077,13609.0
13719.0,13865.0,2025-09-10,13865.0,4400,13586.0
13547.0,13615.0,2025-09-11,13768.0,3981,13519.0
13433.0,13578.0,2025-09-12,13635.0,28325,13343.0
13658.0,13510.0,2025-09-15,13750.0,7608,13473.0
13732.0,13614.0,2025-09-16,13899.0,4251,13609.0
13566.0,13895.0,2025-09-17,13895.0,10121,13530.0
13449.0,13700.0,2025-09-18,13716.0,3417,13400.0
13240.0,13401.0,2025-09-19,13518.0,10003,13202.0
13330.0,13240.0,2025-09-22,13404.0,6986,13125.0
12999.0,13330.0,2025-09-23,13380.0,22487,12805.0
12944.0,12999.0,2025-09-24,13079.0,5143,12914.0
12807.0,12949.0,2025-09-25,12993.0,9068,12726.0
12580.0,12706.0,2025-09-26,12869.0,4801,12546.0
12476.0,12591.0,2025-09-29,12693.0,30728,12335.0
12905.0,12545.0,2025-09-30,12938.0,15453,12501.0
13065.0,13199.0,2025-10-01,13227.0,15829,12850.0
13569.0,13239.0,2025-10-03,13888.0,64123,12973.0
13579.0,13678.0,2025-10-06,13678.0,5765,13411.0
