close,open,date,high,volume,low
1001.0,1004.0,2025-07-04,1014.85,845835,999.0
998.8,1001.0,2025-07-07,1003.95,567413,990.0
983.2,998.8,2025-07-08,1001.3,1014905,966.0
978.45,973.4,2025-07-09,982.75,906874,970.0
972.95,978.45,2025-07-10,980.85,721738,965.0
979.6,973.0,2025-07-11,985.2,921032,970.05
968.45,982.05,2025-07-14,990.5,1409414,966.1
967.65,971.0,2025-07-15,975.75,553271,961.5
968.9,980.0,2025-07-16,980.0,1049414,962.95
982.75,975.5,2025-07-17,984.95,669080,972.35
974.95,986.95,2025-07-18,986.95,726018,969.95
970.0,974.0,2025-07-21,980.35,961832,968.9
956.75,970.0,2025-07-22,972.85,864768,951.55
961.95,957.7,2025-07-23,963.2,417511,954.5
971.25,962.95,2025-07-24,976.6,639210,960.15
976.4,967.2,2025-07-25,981.95,1188906,960.5
980.1,976.4,2025-07-28,989.3,1032847,974.05
994.85,985.0,2025-07-29,997.95,943918,980.55
995.15,998.0,2025-07-30,1000.2,775428,989.1
969.8,975.05,2025-07-31,986.45,1187065,961.1
949.05,970.0,2025-08-01,970.75,1284762,946.35
958.85,949.95,2025-08-04,962.0,621617,946.55
960.25,953.5,2025-08-05,964.2,479835,948.1
932.7,956.0,2025-08-06,959.05,1059453,930.0
944.45,920.0,2025-08-07,947.75,954020,919.05
936.15,949.8,2025-08-08,952.05,589784,932.05
955.55,940.95,2025-08-11,958.0,355333,934.05
955.65,955.55,2025-08-12,969.0,912710,948.0
988.6,955.65,2025-08-13,997.5,1911458,938.55
988.8,993.55,2025-08-14,1002.85,717164,982.2
986.5,988.8,2025-08-18,994.0,677972,977.3
989.45,986.5,2025-08-19,997.0,718678,984.5
983.3,989.95,2025-08-20,991.85,535407,978.35
985.8,983.3,2025-08-21,997.6,716876,978.4
988.8,992.0,2025-08-22,999.9,307423,986.45
1023.15,992.05,2025-08-25,1029.5,2565579,990.9
987.85,1015.0,2025-08-26,1016.95,2997316,982.0
978.6,987.85,2025-08-28,990.55,1108790,968.4
981.05,984.3,2025-08-29,988.5,833114,969.2
991.05,988.0,2025-09-01,998.1,1463193,987.0
996.1,991.05,2025-09-02,1005.0,1106144,989.7
1008.2,1004.0,2025-09-03,1013.95,1683054,999.25
1011.95,1014.5,2025-09-04,1017.4,1038028,1002.5
1013.85,1022.0,2025-09-05,1039.05,1860389,1005.0
1009.65,1014.05,2025-09-08,1022.9,777187,1006.05
1035.6,1010.0,2025-09-09,1038.7,1228793,1009.2
1039.6,1040.55,2025-09-10,1049.85,1086228,1033.0
1043.6,1039.6,2025-09-11,1048.0,537049,1030.3
1044.75,1048.3,2025-09-12,1054.6,559927,1042.0
1036.9,1047.0,2025-09-15,1047.0,391508,1033.05
1034.5,1042.0,2025-09-16,1043.5,511672,1030.55
1033.8,1035.0,2025-09-17,1038.95,754208,1030.0
1047.85,1035.0,2025-09-18,1049.95,977193,1025.5
1037.3,1050.0,2025-09-19,1059.05,1054747,1034.0
1035.7,1037.3,2025-09-22,1046.15,599637,1032.3
1044.85,1035.5,2025-09-23,1048.0,544814,1030.3
1036.0,1047.7,2025-09-24,1048.4,657285,1033.45
1019.25,1035.45,2025-09-25,1042.4,1146210,1016.45
975.0,996.2,2025-09-26,1010.0,2575036,972.7
992.1,975.0,2025-09-29,995.35,1029788,975.0
981.9,995.0,2025-09-30,997.9,895491,980.45
991.15,981.0,2025-10-01,998.65,560905,981.0
988.3,996.0,2025-10-03,1001.7,577348,980.0
994.65,988.3,2025-10-06,997.2,364990,975.3
987.9,1002.0,2025-10-07,1002.0,882271,981.65
985.95,987.9,2025-10-08,993.25,858560,981.9
994.45,993.0,2025-10-09,1015.65,2566310,990.1
993.45,997.9,2025-10-10,1010.0,1559044,987.0
995.5,990.0,2025-10-13,998.0,727760,985.3
979.25,995.0,2025-10-14,997.45,827749,974.55
977.3,979.25,2025-10-15,990.0,563166,975.0
984.6,977.3,2025-10-16,989.0,832737,974.75
987.65,984.0,2025-10-17,991.0,745052,978.05
1002.35,988.0,2025-10-20,1016.0,820061,988.0
999.5,1002.35,2025-10-21,1006.9,59416,996.55
1009.0,1013.95,2025-10-23,1013.95,693670,1003.05
1004.9,1008.95,2025-10-24,1008.95,583326,991.05
1013.85,1013.55,2025-10-27,1014.9,506495,1003.0
1001.25,1015.9,2025-10-28,1017.15,382370,997.35
1002.9,1003.3,2025-10-29,1015.4,730755,999.2
986.15,1004.0,2025-10-30,1006.4,750435,980.1
974.45,986.15,2025-10-31,992.95,458973,973.5
981.05,970.5,2025-11-03,984.7,534425,970.0
971.7,983.05,2025-11-04,987.6,444915,968.05
936.7,980.0,2025-11-06,998.0,2919859,933.05
944.1,938.45,2025-11-07,946.8,667543,926.85
948.4,947.0,2025-11-10,973.0,920267,942.2
938.9,949.0,2025-11-11,950.0,1819775,935.05
951.4,940.1,2025-11-12,957.25,791415,940.0
944.15,951.0,2025-11-13,952.6,698519,940.1
944.45,948.85,2025-11-14,952.95,592731,939.5
934.75,948.0,2025-11-17,949.95,873274,932.15
928.4,939.7,2025-11-18,939.9,824350,926.05
930.2,933.0,2025-11-19,935.15,659272,925.75
928.0,935.75,2025-11-20,937.3,747920,926.2
924.3,930.0,2025-11-21,931.95,470759,920.5
926.65,927.0,2025-11-24,931.05,4921102,921.0
928.5,928.95,2025-11-25,934.8,508282,922.45
940.55,934.95,2025-11-26,943.85,972690,932.05
937.25,944.6,2025-11-27,948.8,768619,928.85
942.5,947.95,2025-11-28,947.95,919929,936.5
936.45,942.1,2025-12-01,944.9,534206,930.5
942.7,932.4,2025-12-02,944.95,823400,932.4
934.95,941.0,2025-12-03,947.0,1158530,930.5
935.75,938.0,2025-12-04,944.15,874529,932.55
931.45,936.0,2025-12-05,937.0,892186,929.25
924.6,930.0,2025-12-08,938.7,632165,920.35
920.25,924.6,2025-12-09,927.25,1334688,912.6
923.6,926.8,2025-12-10,936.45,786332,919.0
922.55,920.0,2025-12-11,927.2,519404,919.8
929.15,925.0,2025-12-12,932.0,435255,923.05
921.6,929.0,2025-12-15,929.0,397336,916.1
914.35,926.95,2025-12-16,928.95,750574,912.0
918.1,915.55,2025-12-17,920.45,531484,914.1
913.65,915.35,2025-12-18,918.25,351731,909.35
919.6,915.1,2025-12-19,929.6,799834,911.25
918.2,925.2,2025-12-22,928.0,479708,917.3
927.8,918.2,2025-12-23,932.25,320217,915.45
917.8,937.0,2025-12-24,937.0,745235,916.0
911.55,917.85,2025-12-26,920.0,304792,909.0
904.6,912.2,2025-12-29,914.6,487836,902.25
901.45,904.0,2025-12-30,906.0,721717,896.75
914.35,902.0,2025-12-31,915.7,383442,902.0
915.05,919.8,2026-01-01,921.15,472472,907.1
916.9,918.85,2026-01-02,918.85,262095,912.0
921.95,915.1,2026-01-05,924.85,442298,911.45
931.05,921.95,2026-01-06,933.1,450775,917.75
927.55,928.0,2026-01-07,941.0,518054,923.2
907.55,928.1,2026-01-08,930.0,430365,905.55
894.9,906.95,2026-01-09,913.55,797148,890.5
895.05,888.0,2026-01-12,898.3,424551,881.0
900.7,902.0,2026-01-13,902.05,493965,885.45
883.75,900.7,2026-01-14,902.0,728209,881.0
868.1,888.0,2026-01-16,891.0,1052948,865.4
881.1,868.1,2026-01-19,882.95,606193,855.95
873.4,881.2,2026-01-20,888.0,899558,869.2
876.25,868.0,2026-01-21,884.0,902659,868.0
885.3,876.25,2026-01-22,888.0,469855,875.8
882.0,886.5,2026-01-23,897.15,460331,880.0
893.35,890.0,2026-01-27,894.95,490213,879.9
896.9,892.5,2026-01-28,899.2,313242,886.45
890.7,893.0,2026-01-29,894.0,403045,881.15
885.3,884.25,2026-01-30,896.15,662055,882.45
879.65,876.3,2026-02-02,882.0,405651,863.65
902.9,901.0,2026-02-03,916.85,1050230,895.25
905.25,905.2,2026-02-04,912.5,495453,898.65
905.0,909.25,2026-02-05,910.0,419002,896.6
888.15,905.0,2026-02-06,905.0,492792,884.0
923.45,897.45,2026-02-09,933.35,2082620,884.0
887.3,920.0,2026-02-10,920.0,2273207,884.3
