close,open,date,high,volume,low
2031.8,2102.6,2025-07-28,2149.0,31085,2018.1
2012.5,2018.0,2025-07-29,2042.5,24306,2002.0
2054.7,2023.1,2025-07-30,2079.9,230531,1940.0
2029.1,2025.0,2025-07-31,2045.0,30082,1979.7
2063.8,2025.0,2025-08-01,2111.2,79603,2008.5
2056.7,2080.0,2025-08-04,2080.0,31531,2022.0
1982.9,2056.7,2025-08-05,2056.7,39404,1976.7
1958.4,1994.5,2025-08-06,2009.4,37207,1950.0
1931.7,1940.7,2025-08-07,1958.0,25160,1925.0
1936.5,1931.7,2025-08-08,1969.6,23344,1917.7
1941.5,1949.9,2025-08-11,1955.2,26663,1919.0
1941.4,1941.6,2025-08-12,1961.6,17797,1927.0
1948.7,1933.0,2025-08-13,1975.0,27186,1930.6
1929.8,1946.0,2025-08-14,1971.4,32567,1924.9
2009.7,1945.0,2025-08-18,2014.9,36441,1945.0
2018.4,2030.0,2025-08-19,2049.0,74900,1979.0
1992.0,2029.0,2025-08-20,2029.0,58295,1976.6
2002.8,2005.0,2025-08-21,2020.8,51240,1985.0
1998.3,2000.0,2025-08-22,2006.9,33684,1968.1
1983.8,2000.0,2025-08-25,2015.8,29481,1972.0
2012.6,1965.0,2025-08-26,2035.0,47034,1952.5
2031.0,2026.3,2025-08-28,2041.2,34530,1992.9
2018.7,2040.0,2025-08-29,2045.0,28546,2005.0
2217.8,2070.0,2025-09-01,2249.7,1267867,2065.0
2253.5,2237.6,2025-09-02,2286.0,215386,2221.3
2328.4,2253.5,2025-09-03,2350.0,256237,2216.4
2423.8,2340.7,2025-09-04,2454.0,356414,2310.5
2426.9,2430.0,2025-09-05,2517.0,280227,2402.0
2400.1,2429.0,2025-09-08,2478.3,195464,2376.1
2473.0,2412.7,2025-09-09,2476.0,99978,2392.6
2486.9,2470.0,2025-09-10,2495.9,96046,2421.9
2551.9,2485.1,2025-09-11,2566.0,168538,2437.6
2537.0,2535.0,2025-09-12,2623.0,163854,2510.1
2545.7,2549.9,2025-09-15,2617.0,129158,2516.1
2621.3,2550.0,2025-09-16,2625.0,136698,2542.4
2578.2,2622.5,2025-09-17,2625.0,79686,2565.2
520.9,521.9,2025-09-18,529.7,375515,515.5
515.9,515.9,2025-09-19,530.9,1391566,497.8
497.6,517.0,2025-09-22,517.0,520890,491.9
473.8,496.3,2025-09-23,501.3,428510,471.2
485.7,473.4,2025-09-24,489.0,458218,462.0
474.2,486.9,2025-09-25,487.2,165971,470.6
482.3,474.0,2025-09-26,485.0,372367,465.5
486.5,482.8,2025-09-29,498.5,364292,470.1
457.2,483.9,2025-09-30,483.9,459667,453.3
459.85,458.35,2025-10-01,469.4,175196,457.8
464.45,459.85,2025-10-03,466.9,120454,455.2
452.3,454.0,2025-10-06,462.15,204451,450.0
450.3,455.0,2025-10-07,457.8,139697,448.85
459.0,448.4,2025-10-08,461.9,241259,445.55
453.5,462.5,2025-10-09,464.6,161068,450.8
456.0,456.7,2025-10-10,463.5,205575,449.25
456.05,456.9,2025-10-13,468.95,358510,454.6
447.95,458.4,2025-10-14,461.8,223159,444.25
464.4,451.0,2025-10-15,465.75,255692,444.9
470.2,470.0,2025-10-16,479.7,480331,461.3
460.9,472.2,2025-10-17,474.4,213813,458.4
469.3,464.2,2025-10-20,494.0,738491,460.3
488.7,473.55,2025-10-21,494.0,162862,472.5
491.0,491.0,2025-10-23,502.35,839943,480.15
484.9,493.2,2025-10-24,493.6,285864,475.7
489.45,484.9,2025-10-27,491.4,183809,481.0
493.9,491.7,2025-10-28,497.9,233288,484.35
493.45,496.9,2025-10-29,498.0,185371,487.1
487.8,495.55,2025-10-30,495.55,160925,485.6
476.6,492.7,2025-10-31,492.7,156540,474.0
479.8,475.0,2025-11-03,492.15,197683,475.0
463.0,478.0,2025-11-04,481.1,213260,456.95
443.8,456.15,2025-11-06,458.35,432504,437.15
450.35,445.0,2025-11-07,452.5,176149,436.75
461.6,452.4,2025-11-10,462.5,178841,446.7
458.55,461.55,2025-11-11,462.95,89848,452.0
460.95,459.8,2025-11-12,464.05,187422,453.15
457.35,460.0,2025-11-13,466.0,135002,455.8
454.35,459.0,2025-11-14,460.0,114995,452.6
456.1,456.6,2025-11-17,457.65,198008,446.0
452.0,456.1,2025-11-18,458.2,107935,446.1
455.7,452.45,2025-11-19,458.65,117168,448.15
456.15,457.05,2025-11-20,458.0,192598,451.5
441.2,458.75,2025-11-21,458.8,138638,438.75
448.55,444.0,2025-11-24,453.0,159578,434.0
441.7,445.0,2025-11-25,446.05,155936,432.4
436.4,440.0,2025-11-26,444.7,109663,434.4
433.4,439.0,2025-11-27,439.35,78696,432.0
430.45,436.0,2025-11-28,436.05,95655,427.05
431.8,434.6,2025-12-01,434.6,181213,424.2
425.55,430.0,2025-12-02,432.8,84541,424.2
