close,open,date,high,volume,low
317.9,320.0,2024-07-02,324.8,49362110,306.7
334.9,323.0,2024-07-03,339.3,14342875,323.0
334.15,339.0,2024-07-04,344.9,5414930,331.2
344.05,333.75,2024-07-05,346.9,4231227,333.0
340.25,347.0,2024-07-08,347.35,2306336,337.55
334.75,340.0,2024-07-09,345.5,1815140,332.05
330.9,337.0,2024-07-10,338.0,2894014,316.5
335.3,332.5,2024-07-11,339.7,1768224,326.1
329.3,337.0,2024-07-12,339.8,1742750,327.55
322.05,330.15,2024-07-15,332.7,920342,320.8
319.0,322.65,2024-07-16,326.85,751041,318.0
310.2,318.9,2024-07-18,321.0,943866,308.8
303.7,310.2,2024-07-19,314.55,1447369,299.1
292.8,302.95,2024-07-22,307.5,1856715,289.9
296.75,291.0,2024-07-23,306.9,3981710,282.05
309.85,300.0,2024-07-24,314.9,2551603,297.5
310.85,307.0,2024-07-25,314.65,764199,303.9
314.6,315.0,2024-07-26,319.85,612876,312.0
313.15,315.95,2024-07-29,323.7,902332,311.05
307.75,313.25,2024-07-30,317.0,1021400,306.1
308.2,308.0,2024-07-31,312.85,588676,306.6
299.95,307.65,2024-08-01,309.65,791457,298.55
301.05,296.95,2024-08-02,305.5,484277,295.0
285.85,289.0,2024-08-05,300.0,939659,284.25
288.3,290.0,2024-08-06,302.4,707224,285.85
300.95,295.0,2024-08-07,302.4,452181,290.25
289.05,300.1,2024-08-08,302.2,709403,287.75
292.25,295.9,2024-08-09,297.0,347147,288.75
310.85,293.0,2024-08-12,317.0,1951207,293.0
302.6,314.65,2024-08-13,318.55,922281,300.05
301.0,315.0,2024-08-14,315.0,2029030,299.6
301.1,308.0,2024-08-16,308.25,944799,299.0
300.2,304.0,2024-08-19,304.0,746334,298.5
309.15,303.5,2024-08-20,318.4,1997835,302.25
310.2,310.0,2024-08-21,313.8,516462,308.15
332.9,310.0,2024-08-22,334.5,4083038,308.7
330.4,335.0,2024-08-23,338.0,1203828,326.8
327.1,331.4,2024-08-26,333.7,776209,322.5
347.7,326.9,2024-08-27,352.9,3840047,324.55
341.65,351.0,2024-08-28,356.4,2789551,339.05
344.25,343.4,2024-08-29,347.2,1292909,339.05
359.4,345.25,2024-08-30,364.3,2746815,344.25
351.55,371.0,2024-09-02,371.85,1914886,351.0
