close,open,date,high,volume,low
163.47,160.2,2025-07-07,164.8,3192030,156.6
165.17,164.49,2025-07-08,168.0,3142095,164.0
160.85,165.19,2025-07-09,166.44,1324994,160.03
163.31,161.9,2025-07-10,164.89,1483912,160.1
158.75,162.0,2025-07-11,166.25,2333265,158.45
156.46,160.0,2025-07-14,160.37,2137838,155.8
155.24,157.0,2025-07-15,157.74,6369609,154.12
155.04,155.75,2025-07-16,158.85,1883236,154.0
153.25,155.01,2025-07-17,155.8,1060102,152.9
154.94,153.3,2025-07-18,155.3,1860071,150.75
153.53,154.2,2025-07-21,155.2,804423,152.6
153.3,153.55,2025-07-22,154.4,1158469,151.66
151.55,153.3,2025-07-23,154.04,2156511,150.9
149.77,151.55,2025-07-24,152.01,1858457,149.1
145.78,149.77,2025-07-25,150.35,1968935,145.2
141.53,145.0,2025-07-28,146.2,2316103,140.7
144.09,140.98,2025-07-29,145.0,981360,138.95
143.94,144.0,2025-07-30,146.77,453832,142.5
143.5,140.94,2025-07-31,144.5,790989,140.6
137.94,142.0,2025-08-01,142.62,1453201,137.37
136.82,138.18,2025-08-04,139.74,1205857,136.37
135.87,137.4,2025-08-05,138.77,928916,135.25
136.65,136.94,2025-08-06,137.95,1357544,133.32
135.43,135.2,2025-08-07,139.53,1515214,134.7
132.14,136.5,2025-08-08,137.9,968473,131.5
133.51,132.2,2025-08-11,136.0,1113219,129.5
134.52,134.2,2025-08-12,135.7,706283,133.02
135.54,134.5,2025-08-13,137.28,1192506,133.89
131.93,134.0,2025-08-14,135.78,2093454,130.35
137.66,133.5,2025-08-18,139.24,1763895,132.48
142.8,139.0,2025-08-19,143.37,1817693,137.63
140.8,142.9,2025-08-20,143.52,605433,140.1
139.32,140.8,2025-08-21,140.8,970538,137.35
142.81,139.32,2025-08-22,145.5,1326203,137.91
144.13,144.0,2025-08-25,145.9,803259,142.14
138.9,144.13,2025-08-26,144.13,1884179,137.3
134.02,138.05,2025-08-28,139.81,896748,133.45
135.01,134.8,2025-08-29,136.14,658888,131.6
139.14,136.8,2025-09-01,139.66,1238404,133.92
140.96,140.94,2025-09-02,142.95,1599328,139.49
143.05,142.5,2025-09-03,143.9,850274,141.25
142.01,144.6,2025-09-04,144.64,937950,141.26
141.6,142.09,2025-09-05,143.39,836340,139.98
143.44,142.99,2025-09-08,144.95,1232254,141.69
149.15,150.0,2025-09-09,151.33,3601263,146.35
145.21,149.7,2025-09-10,150.95,1074489,144.7
144.42,146.25,2025-09-11,146.3,395287,143.86
145.48,145.0,2025-09-12,147.37,568188,144.66
143.57,145.48,2025-09-15,145.89,595211,142.84
142.16,144.0,2025-09-16,146.0,1228313,141.87
145.28,143.9,2025-09-17,145.85,783913,143.1
146.19,145.92,2025-09-18,147.02,2342606,143.78
141.44,146.0,2025-09-19,146.0,3103733,140.12
142.62,141.4,2025-09-22,143.02,1148147,140.2
140.0,143.89,2025-09-23,143.89,657624,139.77
135.89,140.0,2025-09-24,142.0,1327305,135.1
135.59,135.79,2025-09-25,137.9,948215,134.71
132.16,135.7,2025-09-26,135.7,741668,131.5
135.33,133.59,2025-09-29,137.5,4880274,131.51
132.91,135.4,2025-09-30,135.4,632392,131.6
133.9,132.5,2025-10-01,134.8,433850,131.64
136.45,134.4,2025-10-03,136.91,503243,133.6
146.72,144.0,2025-10-06,150.79,19407753,143.55
147.9,148.0,2025-10-07,148.8,2946657,146.5
139.51,147.0,2025-10-08,147.0,5526354,138.15
143.27,140.0,2025-10-09,143.83,1530579,138.35
142.82,143.25,2025-10-10,143.25,1542026,141.13
139.07,142.82,2025-10-13,142.82,972163,138.8
137.74,137.5,2025-10-14,138.76,677893,136.26
137.36,137.98,2025-10-15,138.98,661450,136.27
137.1,137.36,2025-10-16,138.25,560396,136.65
136.43,137.0,2025-10-17,137.09,539995,135.3
137.81,136.21,2025-10-20,138.79,602056,135.1
139.2,139.0,2025-10-21,140.0,241527,137.9
140.12,140.0,2025-10-23,141.01,1231540,137.95
138.44,140.0,2025-10-24,140.71,669852,137.7
136.37,138.85,2025-10-27,138.94,910493,135.46
136.36,136.37,2025-10-28,138.0,527277,135.7
135.62,136.9,2025-10-29,137.41,1344601,135.36
134.56,136.0,2025-10-30,136.16,2118862,134.15
133.6,134.65,2025-10-31,136.0,599044,133.18
136.2,133.9,2025-11-03,136.7,794524,132.92
137.13,136.89,2025-11-04,138.18,1292118,135.99
132.42,139.39,2025-11-06,139.39,3126677,130.51
130.45,132.42,2025-11-07,132.43,1100258,128.73
129.99,130.45,2025-11-10,130.88,1178182,127.98
127.87,129.99,2025-11-11,130.44,1796618,126.79
129.96,128.79,2025-11-12,131.2,1355081,128.0
134.42,129.75,2025-11-13,136.0,2674725,128.51
134.47,133.05,2025-11-14,138.25,2153890,132.12
138.55,132.55,2025-11-17,139.7,2714806,132.55
139.92,138.05,2025-11-18,142.35,1810406,136.91
137.31,140.0,2025-11-19,140.0,782453,137.01
132.23,136.5,2025-11-20,137.7,2120570,131.1
127.95,132.0,2025-11-21,132.0,2323765,127.71
127.06,127.95,2025-11-24,128.11,4353266,124.5
129.15,127.06,2025-11-25,129.99,1354638,126.56
132.65,130.0,2025-11-26,132.97,769179,130.0
132.23,132.24,2025-11-27,133.85,702796,131.05
130.17,131.95,2025-11-28,133.4,1701759,129.1
129.6,130.11,2025-12-01,131.87,559776,129.15
131.02,129.55,2025-12-02,131.94,815163,128.51
132.43,131.0,2025-12-03,132.88,832929,130.07
132.24,131.51,2025-12-04,133.25,663234,130.67
128.55,132.4,2025-12-05,133.31,1259117,127.2
128.54,129.58,2025-12-08,130.28,834159,126.89
129.15,128.0,2025-12-09,129.5,959734,126.0
128.62,129.45,2025-12-10,131.55,993253,127.88
128.83,128.7,2025-12-11,131.37,1103764,127.52
127.66,129.09,2025-12-12,130.76,1490019,126.93
