close,open,date,high,volume,low
2686.55,2729.0,2024-10-10,2790.0,51017,2668.7
2702.15,2695.0,2024-10-11,2737.0,60007,2658.0
2731.8,2710.0,2024-10-14,2780.0,127294,2701.0
2858.4,2748.0,2024-10-15,2880.0,285167,2737.15
2924.95,2910.0,2024-10-16,2967.0,527500,2880.05
2856.0,2928.05,2024-10-17,2964.0,137439,2822.0
3052.8,2855.95,2024-10-18,3125.0,992436,2780.65
3030.5,3049.95,2024-10-21,3140.0,455543,2952.0
2737.5,3008.0,2024-10-22,3009.0,383325,2712.0
2833.1,2737.5,2024-10-23,2867.85,445185,2717.1
2768.15,2850.0,2024-10-24,2861.35,79987,2750.0
2638.85,2765.0,2024-10-25,2774.5,229456,2562.05
2746.3,2640.2,2024-10-28,2927.0,1140458,2600.1
2735.6,2755.0,2024-10-29,2773.95,123557,2700.9
2695.25,2750.0,2024-10-30,2750.0,117948,2675.0
2742.8,2700.0,2024-10-31,2794.0,222352,2683.85
2768.05,2758.8,2024-11-01,2789.9,20759,2752.0
2749.2,2760.75,2024-11-04,2766.0,138927,2685.0
2773.95,2741.0,2024-11-05,2819.0,148772,2732.65
2887.5,2780.0,2024-11-06,2925.0,298128,2775.0
2839.35,2914.25,2024-11-07,2917.75,92031,2811.85
2784.95,2842.25,2024-11-08,2847.55,63261,2765.1
2709.65,2788.0,2024-11-11,2788.0,95909,2700.0
2709.15,2719.35,2024-11-12,2775.0,167595,2685.0
2557.95,2695.0,2024-11-13,2695.0,262369,2511.0
2599.45,2561.7,2024-11-14,2682.0,219481,2561.7
2546.85,2650.0,2024-11-18,2659.25,311356,2528.2
2567.3,2580.4,2024-11-19,2630.0,91580,2552.55
2541.45,2563.25,2024-11-21,2588.05,93657,2516.0
2554.55,2544.95,2024-11-22,2594.25,91915,2523.2
2655.6,2591.05,2024-11-25,2685.0,307123,2536.05
2599.45,2670.0,2024-11-26,2674.8,145739,2590.55
2796.2,2604.95,2024-11-27,2817.0,584961,2604.95
2733.05,2812.95,2024-11-28,2843.0,168347,2717.35
2752.8,2734.55,2024-11-29,2799.95,314721,2697.05
2840.6,2750.0,2024-12-02,2849.45,233340,2725.0
2853.7,2846.5,2024-12-03,2919.1,228370,2821.4
2891.45,2859.1,2024-12-04,2911.0,194216,2835.0
2853.25,2910.0,2024-12-05,2980.0,133952,2835.0
2848.1,2870.0,2024-12-06,2891.0,65524,2825.0
2826.35,2848.1,2024-12-09,2899.0,73454,2815.0
2801.65,2842.0,2024-12-10,2853.95,118852,2790.05
2775.1,2813.8,2024-12-11,2846.55,103713,2761.0
2770.8,2788.8,2024-12-12,2790.55,77059,2711.1
2751.5,2769.3,2024-12-13,2796.0,103739,2712.05
2762.15,2755.1,2024-12-16,2835.35,133861,2751.2
2713.1,2779.85,2024-12-17,2779.85,138422,2690.0
2686.55,2750.3,2024-12-18,2797.6,177570,2680.05
2658.2,2650.0,2024-12-19,2740.75,218634,2628.5
2628.4,2669.0,2024-12-20,2706.6,132788,2606.6
2582.7,2628.95,2024-12-23,2652.6,302588,2555.0
2544.5,2591.0,2024-12-24,2605.05,209722,2520.9
2505.1,2540.0,2024-12-26,2553.95,108094,2491.0
2503.55,2510.0,2024-12-27,2537.0,138451,2490.0
2477.1,2471.15,2024-12-30,2500.0,139684,2450.1
2508.65,2470.6,2024-12-31,2519.0,134587,2424.7
2528.7,2508.65,2025-01-01,2552.0,54148,2507.0
2465.5,2530.45,2025-01-02,2551.1,105157,2450.05
2384.75,2489.7,2025-01-03,2494.0,123498,2369.05
2244.7,2370.0,2025-01-06,2370.0,414077,2226.0
2311.7,2272.0,2025-01-07,2324.5,288430,2234.05
2227.6,2289.95,2025-01-08,2289.95,303066,2205.0
2167.1,2225.0,2025-01-09,2240.0,197209,2152.25
2072.35,2170.0,2025-01-10,2188.95,585143,2043.6
1895.2,2063.15,2025-01-13,2063.15,559176,1878.2
2009.9,1879.6,2025-01-14,2023.8,249424,1879.25
1982.95,2020.05,2025-01-15,2035.3,162457,1942.65
2065.9,1989.95,2025-01-16,2099.0,238420,1989.95
2034.3,2050.0,2025-01-17,2091.75,92984,2022.7
2036.0,2038.0,2025-01-20,2043.9,137332,1995.0
1977.2,2036.6,2025-01-21,2048.6,252447,1936.05
1845.8,1967.6,2025-01-22,1971.35,559257,1798.25
1937.0,1832.15,2025-01-23,1965.0,290215,1832.15
1878.7,1940.0,2025-01-24,1955.6,112899,1846.5
1860.45,1880.1,2025-01-27,1900.0,248349,1809.95
1903.45,1869.8,2025-01-28,1926.45,204411,1802.8
1962.9,1905.0,2025-01-29,1970.9,148464,1886.15
1990.75,1962.9,2025-01-30,1998.15,72669,1947.5
2153.35,1991.05,2025-01-31,2172.6,369305,1975.55
2093.15,2150.0,2025-02-03,2150.0,142926,2038.45
2198.45,2110.15,2025-02-04,2229.0,292831,2102.2
2278.85,2250.0,2025-02-05,2288.85,186975,2177.0
2284.0,2288.0,2025-02-06,2292.75,81008,2240.0
2250.1,2276.0,2025-02-07,2285.0,80549,2223.65
2209.6,2250.4,2025-02-10,2285.0,105890,2188.05
2103.6,2201.0,2025-02-11,2205.15,94633,2097.6
2134.05,2113.0,2025-02-12,2147.85,115772,2011.9
2099.75,2115.0,2025-02-13,2147.95,73392,2090.85
2068.7,2100.15,2025-02-14,2118.25,81166,1954.05
2110.1,2074.7,2025-02-17,2129.5,133292,1999.5
2064.55,2116.15,2025-02-18,2130.0,137370,2011.45
2042.3,2034.0,2025-02-19,2080.8,94608,2023.15
2030.25,2042.0,2025-02-20,2058.55,97953,2012.0
2062.45,2033.9,2025-02-21,2099.0,170338,2021.05
1989.5,2049.8,2025-02-24,2054.9,191663,1977.55
1891.25,1990.0,2025-02-25,2003.95,141919,1880.0
1847.0,1891.25,2025-02-27,1916.95,186589,1770.0
1863.1,1808.0,2025-02-28,1923.8,1186573,1638.0
1990.2,1882.0,2025-03-03,2063.8,1303381,1721.7
2001.1,1940.0,2025-03-04,2014.0,571844,1876.0
1993.75,1974.85,2025-03-05,2044.0,235702,1967.15
1959.45,2001.35,2025-03-06,2010.0,185508,1940.55
1972.55,1962.0,2025-03-07,2000.0,140812,1947.15
1909.3,1970.05,2025-03-10,2015.0,131062,1893.2
1894.45,1900.0,2025-03-11,1926.9,116275,1858.35
1805.9,1888.15,2025-03-12,1936.9,226250,1790.5
1775.3,1823.95,2025-03-13,1842.25,232115,1746.0
1759.85,1779.95,2025-03-17,1808.75,180214,1744.95
1866.65,1795.7,2025-03-18,1908.0,736629,1785.5
1921.9,1884.65,2025-03-19,1949.85,291515,1875.95
1937.05,1923.05,2025-03-20,1970.0,252783,1896.25
2038.4,1939.75,2025-03-21,2055.0,314341,1939.75
2051.5,2060.0,2025-03-24,2090.0,161415,2042.05
1969.4,2071.0,2025-03-25,2082.3,123500,1955.05
1948.8,1951.5,2025-03-26,2035.3,343686,1933.55
1879.35,1960.0,2025-03-27,1987.7,440340,1860.75
1959.9,1903.6,2025-03-28,2025.0,431426,1870.0
1970.15,2000.0,2025-04-01,2036.75,786441,1922.25
1956.4,1960.0,2025-04-02,1978.0,139778,1937.75
1954.9,1956.35,2025-04-03,1978.65,99822,1942.0
1898.5,1953.05,2025-04-04,1956.75,176164,1858.25
1802.8,1750.05,2025-04-07,1830.0,280274,1710.0
1807.75,1869.95,2025-04-08,1869.95,129369,1782.85
1713.9,1787.95,2025-04-09,1790.0,239378,1689.2
1786.4,1773.0,2025-04-11,1801.45,149271,1725.0
