close,open,date,high,volume,low
242.0,220.0,2025-06-02,242.0,27206468,220.0
255.31,249.0,2025-06-03,264.9,14051020,236.06
266.46,258.49,2025-06-04,268.5,5617178,250.45
260.17,266.0,2025-06-05,266.24,2138915,254.05
256.99,258.0,2025-06-06,259.0,1691722,252.07
258.08,257.1,2025-06-09,262.0,2123712,253.0
254.18,264.0,2025-06-10,265.5,1436592,248.57
251.73,254.5,2025-06-11,255.14,1951880,239.91
240.97,248.0,2025-06-12,251.58,1172229,238.49
235.7,233.0,2025-06-13,239.53,1441586,230.0
235.03,234.81,2025-06-16,237.99,967118,227.63
238.69,239.7,2025-06-17,241.73,525867,234.91
246.66,239.35,2025-06-18,247.8,1088994,237.0
246.8,246.66,2025-06-19,251.3,814675,240.41
245.13,241.02,2025-06-20,246.74,2595060,241.02
245.66,242.0,2025-06-23,246.99,1576791,238.56
252.26,246.09,2025-06-24,255.5,933748,244.0
250.06,251.99,2025-06-25,253.03,780274,249.21
252.22,254.0,2025-06-26,263.5,3713455,250.46
254.8,252.99,2025-06-27,257.81,1307013,252.46
245.37,252.05,2025-06-30,253.09,3169116,243.97
244.03,245.99,2025-07-01,251.8,994302,242.66
243.44,244.03,2025-07-02,247.89,902297,241.39
244.27,243.81,2025-07-03,250.0,2148030,241.53
240.48,245.0,2025-07-04,246.17,883907,234.43
249.75,240.5,2025-07-07,252.72,1004720,238.16
250.05,249.75,2025-07-08,252.0,541627,242.35
260.61,250.5,2025-07-09,264.0,2802272,248.77
261.3,260.74,2025-07-10,266.36,2077945,255.93
260.1,265.5,2025-07-11,267.25,1478667,254.15
258.3,259.39,2025-07-14,268.0,1679118,256.0
266.6,257.11,2025-07-15,269.4,2670473,257.11
278.95,271.0,2025-07-16,282.3,3065911,263.21
293.37,287.99,2025-07-17,296.8,4781113,281.25
291.05,292.0,2025-07-18,302.0,1800958,285.77
292.1,290.99,2025-07-21,294.9,725147,280.4
284.71,293.98,2025-07-22,294.6,1289294,277.21
278.27,284.45,2025-07-23,284.45,882774,275.3
268.95,278.8,2025-07-24,278.8,536672,267.0
256.87,268.0,2025-07-25,268.79,1028912,254.25
247.94,256.87,2025-07-28,256.87,819705,244.5
241.87,244.0,2025-07-29,247.68,720603,238.96
247.55,245.9,2025-07-30,249.34,807897,241.26
239.76,243.1,2025-07-31,245.76,783052,237.12
228.92,239.4,2025-08-01,241.1,744233,227.41
251.81,230.0,2025-08-04,251.81,888106,226.25
246.53,254.3,2025-08-05,258.74,658041,244.0
243.35,248.94,2025-08-06,249.71,604106,239.99
240.78,244.55,2025-08-07,252.0,1338049,235.1
246.87,242.0,2025-08-08,249.99,1050486,234.75
240.66,249.0,2025-08-11,249.0,396695,237.71
246.84,238.52,2025-08-12,247.8,315361,238.52
245.34,246.61,2025-08-13,250.0,390354,241.41
239.76,245.01,2025-08-14,245.9,670615,238.0
244.41,242.0,2025-08-18,247.94,403953,240.98
251.62,243.99,2025-08-19,252.5,340757,243.45
253.15,251.1,2025-08-20,254.73,388175,246.5
251.97,255.85,2025-08-21,263.7,1089758,248.61
253.58,253.8,2025-08-22,255.55,174548,249.13
258.87,252.31,2025-08-25,260.74,386643,248.6
255.19,257.0,2025-08-26,260.0,587387,243.66
247.87,250.25,2025-08-28,252.77,226034,245.51
247.77,249.1,2025-08-29,250.0,639286,244.51
242.87,247.1,2025-09-01,250.79,335191,239.67
243.35,243.85,2025-09-02,248.6,224375,242.0
243.98,243.0,2025-09-03,248.0,457380,241.35
241.19,245.8,2025-09-04,246.67,613870,240.05
237.05,241.5,2025-09-05,243.64,369422,236.0
246.0,235.0,2025-09-08,249.9,336742,234.99
243.46,246.0,2025-09-09,246.5,93735,241.31
249.86,246.95,2025-09-10,254.8,713667,240.92
249.71,249.03,2025-09-11,254.4,625510,247.52
247.09,249.1,2025-09-12,253.81,357798,246.13
251.19,247.0,2025-09-15,254.5,513540,244.66
248.96,250.0,2025-09-16,252.18,1111655,247.43
244.07,249.8,2025-09-17,250.51,561669,242.89
239.59,244.99,2025-09-18,245.0,1798058,230.0
242.47,239.59,2025-09-19,245.35,692620,238.73
248.97,240.25,2025-09-22,250.8,1053345,240.25
247.04,249.9,2025-09-23,251.51,888183,243.0
239.01,246.0,2025-09-24,246.0,653749,238.3
243.32,237.6,2025-09-25,246.0,515973,235.67
243.51,243.3,2025-09-26,246.25,773260,233.45
251.24,243.0,2025-09-29,255.0,1729834,241.0
260.48,253.2,2025-09-30,262.6,846492,249.0
261.35,261.95,2025-10-01,263.7,438500,257.75
283.4,261.0,2025-10-03,286.5,3179803,259.85
280.05,283.45,2025-10-06,287.6,1132022,273.0
273.05,279.55,2025-10-07,279.55,579806,270.9
264.2,270.0,2025-10-08,270.0,561504,261.5
268.7,269.0,2025-10-09,273.0,699995,264.2
276.7,269.0,2025-10-10,282.3,970732,266.65
276.65,276.0,2025-10-13,278.7,401220,268.6
276.95,275.0,2025-10-14,284.2,564382,274.0
281.3,278.35,2025-10-15,285.75,1370362,274.0
289.05,281.5,2025-10-16,292.5,2506811,280.45
279.65,289.0,2025-10-17,289.0,978792,273.4
283.55,279.95,2025-10-20,285.95,427337,277.05
284.15,285.95,2025-10-21,286.95,37898,283.3
289.2,289.0,2025-10-23,292.0,1038377,281.75
280.25,290.0,2025-10-24,290.0,478880,278.1
283.15,282.0,2025-10-27,285.0,701701,272.2
279.9,281.3,2025-10-28,283.5,670153,274.5
275.7,280.0,2025-10-29,282.0,231523,274.0
274.3,275.7,2025-10-30,277.5,222649,272.6
278.95,274.3,2025-10-31,280.0,285445,273.25
277.05,280.7,2025-11-03,280.7,474767,270.95
274.3,278.7,2025-11-04,278.7,373228,268.2
258.25,277.95,2025-11-06,277.95,1221015,254.0
260.15,259.65,2025-11-07,263.0,587604,251.8
264.05,262.5,2025-11-10,265.7,434040,253.7
271.85,264.0,2025-11-11,275.0,688983,257.05
270.65,270.5,2025-11-12,274.45,215944,268.2
272.6,271.0,2025-11-13,274.0,226528,266.8
270.85,271.0,2025-11-14,272.8,271751,266.85
266.75,268.5,2025-11-17,270.4,221031,265.7
262.3,267.0,2025-11-18,267.0,140522,261.0
261.3,262.4,2025-11-19,266.0,325899,259.35
259.4,259.85,2025-11-20,261.7,110270,258.5
260.85,261.95,2025-11-21,268.2,976702,253.5
258.4,258.6,2025-11-24,261.1,148150,255.8
254.95,258.4,2025-11-25,259.2,94031,254.0
261.7,255.1,2025-11-26,263.5,148658,254.8
264.65,262.0,2025-11-27,266.45,400786,259.1
260.55,262.1,2025-11-28,263.4,380807,258.05
