close,open,date,high,volume,low
165.0,150.0,2024-09-16,165.0,636727334,146.0
181.5,175.5,2024-09-17,181.5,246750377,174.1
173.66,181.0,2024-09-18,188.5,262499718,171.1
160.12,172.98,2024-09-19,175.75,162885712,156.29
163.73,162.01,2024-09-20,168.2,74914958,161.45
161.63,165.75,2024-09-23,166.75,33914099,160.4
158.68,161.7,2024-09-24,162.4,27382743,158.05
154.17,157.8,2024-09-25,160.0,32117117,153.14
157.89,154.0,2024-09-26,163.24,82292061,150.4
157.15,158.0,2024-09-27,160.4,21754244,156.55
154.06,156.75,2024-09-30,156.84,17314972,153.51
152.92,155.0,2024-10-01,156.8,14893316,152.55
150.6,149.0,2024-10-03,151.91,19278895,148.67
150.6,152.5,2024-10-04,153.75,28716395,148.3
136.03,150.6,2024-10-07,151.34,61077251,135.54
149.63,135.4,2024-10-08,149.63,65871963,130.35
155.27,152.55,2024-10-09,159.62,71834457,152.12
150.84,156.5,2024-10-10,157.9,22236338,148.0
150.88,150.84,2024-10-11,152.74,12286184,149.6
141.91,150.88,2024-10-14,151.05,47858709,140.3
139.9,143.8,2024-10-15,145.24,31179031,138.0
140.55,139.95,2024-10-16,143.5,23483251,139.27
138.23,140.6,2024-10-17,141.67,18515750,137.65
139.33,138.0,2024-10-18,140.9,18526453,135.85
136.58,140.74,2024-10-21,142.0,15522983,136.03
136.25,141.0,2024-10-22,142.33,37108671,135.01
136.83,136.5,2024-10-23,138.49,16796959,134.75
131.3,136.0,2024-10-24,136.25,20083662,130.86
131.34,131.85,2024-10-25,133.25,24904712,128.26
130.9,132.97,2024-10-28,133.0,14815998,130.06
131.78,131.0,2024-10-29,132.4,12656708,129.31
134.34,131.8,2024-10-30,136.85,18344655,130.34
134.11,134.5,2024-10-31,136.3,10985009,132.74
137.84,135.6,2024-11-01,138.0,7668931,135.5
135.33,138.0,2024-11-04,138.25,8810870,134.25
135.13,134.39,2024-11-05,136.2,8984362,133.15
137.66,135.5,2024-11-06,138.73,11427410,134.9
138.36,138.0,2024-11-07,141.5,14649948,136.61
135.46,138.36,2024-11-08,138.78,6783776,135.02
132.92,134.0,2024-11-11,134.73,5990699,132.67
130.91,133.09,2024-11-12,134.38,7649915,130.5
129.3,130.0,2024-11-13,130.84,7793485,128.17
129.65,129.3,2024-11-14,130.99,7658399,128.6
127.39,130.03,2024-11-18,130.7,10089105,126.99
127.51,127.84,2024-11-19,129.4,7845123,127.0
125.84,127.51,2024-11-21,127.79,8044438,125.41
126.95,125.8,2024-11-22,128.4,6739102,125.34
129.34,130.0,2024-11-25,133.0,10271749,128.9
128.89,129.34,2024-11-26,130.14,6732010,128.2
