close,open,date,high,volume,low
211.39,216.0,2025-04-09,216.0,25359931,209.86
217.2,216.0,2025-04-11,218.31,28917549,214.1
222.23,224.25,2025-04-15,224.25,45034496,220.1
222.08,220.51,2025-04-16,222.64,26155875,218.4
231.6,220.6,2025-04-17,236.14,70125937,220.38
234.24,229.0,2025-04-21,235.3,66028533,227.1
237.47,236.0,2025-04-22,243.45,59667380,235.0
239.24,237.48,2025-04-23,240.25,42294685,233.05
236.38,237.0,2025-04-24,241.37,46103369,235.0
228.81,235.9,2025-04-25,239.0,32437650,227.31
227.21,226.0,2025-04-28,231.99,29327020,225.06
231.11,228.37,2025-04-29,234.24,32761971,226.6
232.52,232.0,2025-04-30,234.75,45831746,226.1
234.29,220.05,2025-05-02,239.5,104910316,220.05
239.9,234.5,2025-05-05,240.97,37948115,232.93
232.64,240.0,2025-05-06,241.5,25327712,231.85
236.9,228.6,2025-05-07,237.67,31614852,228.6
229.81,235.25,2025-05-08,236.45,49888442,226.6
227.14,222.0,2025-05-09,229.0,24415321,222.0
239.5,232.0,2025-05-12,240.0,31757003,232.0
231.65,238.0,2025-05-13,239.47,44837486,231.05
236.86,232.0,2025-05-14,237.44,23158211,232.0
242.59,236.2,2025-05-15,245.3,40335990,233.75
245.76,242.6,2025-05-16,246.94,30854384,242.0
238.03,245.84,2025-05-19,246.59,21817610,237.43
228.28,240.0,2025-05-20,240.0,45891392,227.88
229.97,227.0,2025-05-21,230.3,47166136,224.18
229.02,228.97,2025-05-22,230.88,28795944,227.03
237.55,229.12,2025-05-23,240.7,42180098,228.87
226.8,232.8,2025-05-26,232.8,89147299,225.65
224.79,226.4,2025-05-27,227.47,224659198,221.1
224.18,225.9,2025-05-28,225.9,43525027,223.2
228.37,224.5,2025-05-29,229.35,54574822,224.03
238.31,226.56,2025-05-30,243.0,467574032,226.56
241.2,237.31,2025-06-02,243.0,55690205,236.11
237.7,245.0,2025-06-03,245.83,91875218,236.75
245.68,237.1,2025-06-04,248.0,70626622,237.1
256.56,248.0,2025-06-05,260.22,127795264,247.99
261.86,256.56,2025-06-06,264.0,66234457,256.01
256.84,261.9,2025-06-09,262.98,33660854,255.35
255.68,256.8,2025-06-10,256.8,36662941,252.35
257.07,255.68,2025-06-11,260.19,40554764,255.3
