close,open,date,high,volume,low
679.1,651.0,2024-08-13,707.7,61142512,640.0
641.95,669.9,2024-08-14,677.7,6852935,633.3
669.9,640.0,2024-08-16,688.0,8853277,636.1
671.65,674.0,2024-08-19,704.0,3466502,658.65
632.1,675.95,2024-08-20,684.95,3365425,628.3
627.3,633.15,2024-08-21,644.65,1507649,621.9
642.0,629.45,2024-08-22,662.4,1875742,628.95
638.65,645.0,2024-08-23,657.0,1199216,635.0
625.95,639.95,2024-08-26,643.6,831690,621.0
628.35,626.5,2024-08-27,641.0,1029636,622.8
623.4,631.95,2024-08-28,640.95,954516,621.45
628.3,625.0,2024-08-29,636.0,1268583,623.05
640.55,632.45,2024-08-30,650.5,1613201,627.3
632.2,639.05,2024-09-02,650.0,1355319,624.1
625.15,635.0,2024-09-03,637.2,894678,621.6
612.85,621.0,2024-09-04,626.75,637472,605.0
614.05,615.0,2024-09-05,619.55,382162,610.0
622.8,616.4,2024-09-06,635.0,891796,611.0
601.7,623.0,2024-09-09,625.0,1780571,587.6
606.85,604.25,2024-09-10,617.35,694207,599.0
639.35,606.5,2024-09-11,644.9,1418481,604.05
652.35,640.1,2024-09-12,657.9,1328028,633.25
655.75,649.35,2024-09-13,663.3,571772,646.05
641.1,660.0,2024-09-16,661.45,557166,638.0
639.75,640.05,2024-09-17,645.0,307613,635.0
641.35,641.0,2024-09-18,645.55,591487,635.85
645.75,676.95,2024-09-19,688.45,2634494,632.75
652.45,653.9,2024-09-20,673.65,1091515,644.45
653.05,656.05,2024-09-23,658.2,687652,641.2
665.5,649.9,2024-09-24,672.95,647755,641.5
657.9,664.9,2024-09-25,664.9,391143,652.0
657.95,658.1,2024-09-26,662.65,502127,648.7
625.75,651.25,2024-09-27,656.95,288771,621.1
644.0,625.75,2024-09-30,648.0,644641,611.4
646.2,635.0,2024-10-01,662.0,1462403,634.0
654.9,639.15,2024-10-03,668.0,630223,626.6
653.0,647.3,2024-10-04,661.45,633310,646.4
625.5,645.1,2024-10-07,659.65,718955,622.75
642.65,621.0,2024-10-08,653.45,564362,617.8
641.35,643.9,2024-10-09,654.5,347463,633.05
672.25,649.05,2024-10-10,684.0,1072093,646.05
682.4,678.95,2024-10-11,697.5,904147,669.0
718.25,682.4,2024-10-14,724.0,1355436,673.0
722.8,726.0,2024-10-15,734.0,1011167,707.25
697.35,720.0,2024-10-16,720.15,561781,690.5
692.9,695.65,2024-10-17,706.9,516351,678.25
682.4,687.95,2024-10-18,714.8,450511,675.35
664.0,688.95,2024-10-21,697.7,304865,659.05
632.8,662.1,2024-10-22,669.45,527672,630.2
625.2,640.0,2024-10-23,644.9,349765,622.4
638.4,630.0,2024-10-24,645.0,288568,625.0
619.8,643.5,2024-10-25,645.95,295427,617.0
616.8,621.0,2024-10-28,629.9,127702,612.0
694.25,623.45,2024-10-29,705.15,1144702,610.0
654.8,681.0,2024-10-30,684.65,328862,647.55
627.9,652.0,2024-10-31,658.45,435207,625.05
635.2,631.0,2024-11-01,643.9,60957,630.05
617.55,634.65,2024-11-04,637.1,457585,606.7
616.9,613.0,2024-11-05,624.4,335215,608.0
626.0,624.95,2024-11-06,630.85,273307,614.75
590.9,616.0,2024-11-07,625.0,631686,587.75
564.45,595.8,2024-11-08,600.9,1696337,552.85
526.4,570.0,2024-11-11,575.15,1293306,520.0
530.35,528.0,2024-11-12,554.9,1371030,518.35
518.45,532.0,2024-11-13,544.0,1249195,514.5
519.05,522.5,2024-11-14,535.7,680886,516.35
547.1,544.0,2024-11-18,582.0,4516069,526.05
553.5,542.95,2024-11-19,563.95,1277327,536.95
564.9,545.0,2024-11-21,568.0,693156,539.45
545.4,563.05,2024-11-22,563.75,337798,543.1
543.45,553.7,2024-11-25,558.45,332981,542.1
