close,open,date,high,volume,low
178.75,181.0,2024-01-01,186.9,428884,178.0
180.0,178.0,2024-01-02,182.5,510210,168.1
179.25,182.85,2024-01-03,184.75,375651,175.0
192.75,180.0,2024-01-04,197.15,2386890,177.4
184.9,194.7,2024-01-05,201.55,975119,182.0
193.3,188.3,2024-01-08,195.0,736482,188.0
193.65,194.0,2024-01-09,203.0,435007,192.3
190.8,195.0,2024-01-10,198.4,476061,185.75
189.0,197.0,2024-01-11,197.0,373852,187.25
184.75,190.4,2024-01-12,191.6,315735,184.0
177.7,184.5,2024-01-15,184.7,485257,175.35
180.05,178.75,2024-01-16,183.9,361173,175.0
175.9,183.05,2024-01-17,185.7,431052,174.75
175.45,176.25,2024-01-18,178.3,187495,170.0
179.4,180.0,2024-01-19,182.5,210572,177.2
176.55,187.1,2024-01-23,190.0,337819,175.0
183.6,178.4,2024-01-24,186.45,333753,174.1
180.4,184.5,2024-01-25,187.8,220266,179.25
194.5,186.95,2024-01-29,197.0,832105,185.1
194.4,196.35,2024-01-30,199.95,500368,187.9
191.8,194.5,2024-01-31,194.7,243939,188.0
210.95,193.5,2024-02-01,210.95,1020246,193.5
226.8,218.0,2024-02-02,232.0,1150061,217.3
215.5,232.1,2024-02-05,236.4,635043,215.5
216.85,215.5,2024-02-06,219.0,508550,204.75
307.35,298.05,2024-11-18,313.5,19689,296.05
316.75,312.9,2024-11-19,322.7,67504,306.05
305.7,318.0,2024-11-21,326.05,42381,301.0
320.95,313.35,2024-11-22,320.95,24121,305.0
320.2,321.0,2024-11-25,328.55,23429,313.0
318.85,326.6,2024-11-26,326.6,3326,314.3
322.95,315.25,2024-11-27,328.0,10323,315.25
330.6,329.5,2024-11-28,336.0,19898,324.85
346.85,331.3,2024-11-29,347.1,58298,325.35
364.15,350.05,2024-12-02,364.15,58433,350.05
382.35,364.15,2024-12-03,382.35,53185,364.15
385.6,396.4,2024-12-04,401.45,91598,380.0
382.5,382.0,2024-12-05,392.95,33058,366.5
377.6,385.0,2024-12-06,385.0,8573,375.95
376.4,389.9,2024-12-09,389.9,12469,374.0
347.1,357.6,2024-12-16,357.6,32285,335.7
351.8,353.85,2024-12-17,359.85,22040,338.2
353.3,360.2,2024-12-18,360.2,10598,348.0
348.85,338.15,2024-12-19,350.45,15727,338.15
338.75,356.8,2024-12-20,356.8,17942,336.9
352.55,338.75,2024-12-23,355.65,32270,333.55
342.7,354.9,2024-12-24,354.9,12532,338.0
350.6,351.8,2024-12-26,352.0,26233,338.1
350.35,354.25,2024-12-27,357.0,22815,341.8
343.15,350.35,2024-12-30,353.0,17563,341.0
345.35,339.7,2024-12-31,350.4,5949,339.7
357.0,340.0,2025-01-01,362.6,36396,339.15
360.25,372.9,2025-01-02,372.9,12772,355.05
360.1,364.7,2025-01-03,366.05,28531,349.95
342.65,370.35,2025-01-06,370.35,20641,342.1
339.55,346.95,2025-01-07,349.45,40420,330.05
338.35,347.0,2025-01-08,347.0,56777,333.0
340.65,338.7,2025-01-09,346.15,29329,328.55
332.05,345.85,2025-01-10,345.85,14606,323.65
315.5,315.45,2025-01-13,331.45,26936,315.45
322.65,305.0,2025-01-14,323.6,15611,305.0
