close,open,date,high,volume,low
2008.9,2025.05,2025-01-06,2095.0,871984,1980.05
2004.3,2008.85,2025-01-07,2069.45,386599,1981.0
1991.15,2025.0,2025-01-08,2047.8,490753,1972.85
1990.2,1999.0,2025-01-09,2028.0,683580,1975.0
1894.55,1954.0,2025-01-20,1954.0,96119,1887.0
1824.5,1881.0,2025-01-21,1898.75,403786,1807.0
1747.8,1827.05,2025-01-22,1849.65,257152,1733.3
1811.75,1740.0,2025-01-23,1835.15,612431,1707.0
1763.35,1810.1,2025-01-24,1844.8,486698,1736.75
1675.2,1745.0,2025-01-27,1758.95,550393,1675.2
1591.45,1650.0,2025-01-28,1663.0,930290,1591.45
1641.35,1560.0,2025-01-29,1666.95,885725,1550.05
1713.9,1643.5,2025-01-30,1723.4,203031,1643.5
1787.5,1758.0,2025-01-31,1798.35,428529,1723.5
1645.7,1651.2,2025-02-03,1696.15,515863,1632.0
1646.95,1644.0,2025-02-04,1705.7,452330,1582.55
1710.25,1655.7,2025-02-05,1729.25,382696,1645.05
1719.95,1745.0,2025-02-06,1765.0,506255,1652.5
1695.65,1719.5,2025-02-07,1719.5,678541,1682.0
1655.35,1716.0,2025-02-10,1719.65,115436,1645.25
1608.7,1653.0,2025-02-11,1682.0,278663,1582.6
1538.0,1607.0,2025-02-12,1607.0,567729,1528.3
1552.0,1551.7,2025-02-13,1601.1,480618,1515.2
1474.8,1579.8,2025-02-14,1579.8,376626,1474.4
1448.05,1428.0,2025-02-17,1488.0,809446,1401.1
1416.1,1420.0,2025-02-18,1448.05,977993,1375.65
1374.05,1390.5,2025-02-19,1408.7,926861,1345.3
1425.45,1368.0,2025-02-20,1442.75,643066,1341.1
1416.2,1424.0,2025-02-21,1444.8,448927,1373.0
1444.25,1393.95,2025-02-24,1474.9,300433,1377.45
1434.15,1469.0,2025-02-25,1469.0,236766,1407.35
1377.65,1445.0,2025-02-27,1445.0,426721,1366.3
1338.3,1395.7,2025-02-28,1395.7,524224,1319.85
1311.85,1320.0,2025-03-03,1348.3,605717,1282.35
1360.9,1300.0,2025-03-04,1377.4,334152,1273.3
1385.25,1392.5,2025-03-05,1415.65,560464,1370.85
1389.5,1398.9,2025-03-06,1420.0,425923,1369.05
1423.45,1399.9,2025-03-07,1443.85,673598,1365.8
1445.1,1448.0,2025-03-10,1483.6,419584,1416.7
1475.8,1420.0,2025-03-11,1480.0,381277,1400.0
1425.6,1485.0,2025-03-12,1499.7,250219,1411.1
1421.55,1430.0,2025-03-13,1468.8,171236,1404.2
1482.9,1421.55,2025-03-17,1492.6,277157,1412.6
1527.1,1499.0,2025-03-18,1537.0,435554,1472.9
1506.25,1538.35,2025-03-19,1538.35,271832,1478.2
1545.35,1514.45,2025-03-20,1565.0,471555,1473.0
1622.05,1552.95,2025-03-21,1622.6,987472,1526.95
1593.8,1638.95,2025-03-24,1644.8,255980,1571.45
1594.0,1593.8,2025-03-25,1626.0,397082,1557.8
1540.05,1600.0,2025-03-26,1612.15,236606,1517.55
1606.85,1520.0,2025-03-27,1617.05,1014261,1514.45
1558.75,1606.85,2025-03-28,1624.7,461180,1531.5
1480.85,1569.8,2025-04-01,1587.55,370105,1480.85
1496.1,1480.85,2025-04-02,1508.0,218768,1456.0
1461.35,1480.0,2025-04-03,1485.3,425204,1422.4
1402.5,1465.0,2025-04-04,1482.0,225260,1390.0
1295.55,1272.0,2025-04-07,1343.05,492681,1271.7
1304.35,1312.0,2025-04-08,1329.65,1064151,1279.3
