close,open,date,high,volume,low
631.45,656.95,2024-12-23,664.45,1034056,624.55
648.4,631.45,2024-12-24,653.0,1163760,630.05
632.0,648.85,2024-12-26,657.95,889480,629.2
631.7,634.0,2024-12-27,642.0,814579,626.2
613.45,631.8,2024-12-30,642.9,984680,611.0
621.85,618.0,2024-12-31,628.85,788558,611.5
633.2,622.1,2025-01-01,638.4,623239,620.2
626.75,633.2,2025-01-02,641.95,784865,624.0
624.5,628.95,2025-01-03,633.55,633702,622.5
592.25,627.0,2025-01-06,627.5,1214858,589.0
604.05,595.95,2025-01-07,612.25,917335,595.0
602.2,607.0,2025-01-08,613.95,989719,595.65
594.75,602.2,2025-01-09,608.9,683107,592.0
568.9,595.0,2025-01-10,596.1,1717952,559.55
527.85,552.15,2025-01-13,562.95,1998008,525.0
543.0,528.5,2025-01-14,548.0,1120198,528.5
532.15,551.4,2025-01-15,555.75,896727,526.55
549.7,540.0,2025-01-16,565.45,1988393,540.0
557.4,547.05,2025-01-17,561.15,1056779,540.9
565.35,562.0,2025-01-20,575.0,1253067,554.9
551.85,569.85,2025-01-21,580.95,1153220,547.0
545.75,552.0,2025-01-22,553.85,976210,530.65
545.6,545.0,2025-01-23,552.95,601258,540.25
529.4,545.45,2025-01-24,551.4,888825,527.25
501.4,512.0,2025-01-27,526.5,1414115,495.6
512.6,509.75,2025-01-28,536.75,2487330,473.1
544.7,516.95,2025-01-29,547.55,1817448,516.45
564.1,566.0,2025-01-30,594.0,6696272,557.2
596.85,564.95,2025-01-31,600.75,2533892,562.3
576.05,576.2,2025-02-03,599.8,1556821,571.1
574.8,581.8,2025-02-04,585.0,801209,568.75
581.4,578.0,2025-02-05,588.0,618580,577.1
576.7,584.55,2025-02-06,587.2,596522,571.1
550.45,573.8,2025-02-07,574.85,1113562,547.0
528.75,555.0,2025-02-10,557.9,1467878,516.0
481.95,475.1,2025-02-11,495.85,15781555,448.15
507.45,502.6,2025-02-12,514.85,13260461,462.15
492.6,503.55,2025-02-13,516.55,2269240,490.75
501.05,492.6,2025-02-14,509.9,2623001,478.2
