close,open,date,high,volume,low
762.55,745.5,2025-02-19,788.0,18950189,708.0
798.1,749.7,2025-02-20,806.7,6156715,745.75
817.4,801.1,2025-02-21,824.0,3183388,775.0
805.1,808.65,2025-02-24,840.5,2340220,797.5
822.8,805.1,2025-02-25,828.65,2093802,787.85
826.6,830.0,2025-02-27,847.0,1028455,784.45
808.45,817.9,2025-02-28,826.6,1227827,793.2
809.75,803.0,2025-03-03,817.0,1226156,790.25
801.15,799.0,2025-03-04,808.9,728757,793.25
801.0,806.1,2025-03-05,816.8,1277701,798.0
819.25,809.95,2025-03-06,827.9,1495937,805.1
781.75,827.0,2025-03-07,827.0,2085354,758.6
778.95,780.05,2025-03-10,800.25,665402,768.0
799.2,770.0,2025-03-11,801.65,704708,765.0
768.65,799.2,2025-03-12,803.45,757600,762.5
758.95,779.0,2025-03-13,779.0,343761,753.0
752.2,757.0,2025-03-17,757.0,3446456,719.8
759.15,750.0,2025-03-18,789.95,815739,745.35
736.1,735.2,2025-03-19,742.0,3273807,722.6
732.45,744.0,2025-03-20,747.95,1253141,728.5
728.6,731.85,2025-03-21,745.0,2575480,714.8
733.2,732.0,2025-03-24,740.0,1202986,719.85
725.0,732.0,2025-03-25,737.0,1357784,721.3
721.4,725.0,2025-03-26,730.0,515076,715.0
711.5,719.1,2025-03-27,726.0,567501,709.5
700.75,715.9,2025-03-28,723.8,478671,698.0
702.4,695.0,2025-04-01,709.9,656700,683.5
702.4,705.0,2025-04-02,707.9,1310123,685.0
683.65,702.0,2025-04-03,706.75,324364,680.1
655.55,680.05,2025-04-04,680.1,1073767,645.1
655.45,590.5,2025-04-07,663.55,1557796,590.3
668.0,670.95,2025-04-08,680.05,2018750,660.15
634.3,665.05,2025-04-09,665.05,1389775,620.25
631.8,664.0,2025-04-11,664.0,1676178,630.0
637.75,637.95,2025-04-15,643.2,3129024,631.0
630.3,635.0,2025-04-16,640.0,1297564,623.85
668.05,632.9,2025-04-17,679.5,1170454,628.6
677.95,663.0,2025-04-21,681.45,523453,654.6
664.55,680.0,2025-04-22,680.0,1063898,657.4
665.25,670.0,2025-04-23,670.05,8658353,640.2
687.15,670.95,2025-04-24,690.5,935084,668.95
704.85,689.5,2025-04-25,714.4,1642445,684.2
701.9,710.0,2025-04-28,714.45,572597,681.3
728.2,707.8,2025-04-29,733.5,1896688,683.65
699.5,728.2,2025-04-30,730.4,1167076,682.5
700.55,704.7,2025-05-02,708.05,661380,689.9
697.7,710.0,2025-05-05,714.8,478341,692.6
682.05,701.9,2025-05-06,706.75,576350,677.15
686.35,676.0,2025-05-07,689.0,175287,674.15
694.55,688.5,2025-05-08,709.25,459564,685.25
700.05,681.0,2025-05-09,706.5,736951,673.1
749.2,718.0,2025-05-12,754.8,1338493,710.25
744.15,748.85,2025-05-13,758.3,666698,739.65
759.6,748.95,2025-05-14,766.85,917003,731.15
766.05,762.95,2025-05-15,769.65,1013257,747.6
770.95,770.0,2025-05-16,784.3,1828975,754.4
744.55,767.95,2025-05-19,767.95,1775153,738.2
789.6,752.9,2025-05-20,795.0,2702690,741.5
789.8,790.0,2025-05-21,806.1,997666,775.0
805.5,788.35,2025-05-22,810.5,594519,782.95
795.1,800.5,2025-05-23,820.75,1934906,791.85
799.25,797.0,2025-05-26,810.05,1424511,795.45
820.1,805.0,2025-05-27,823.0,701165,797.0
818.75,823.95,2025-05-28,825.0,976005,809.3
811.4,817.0,2025-05-29,823.6,288967,810.0
857.5,818.65,2025-05-30,891.0,8325209,814.05
813.15,854.0,2025-06-02,854.0,811330,804.0
812.6,819.8,2025-06-03,821.0,622383,795.05
815.1,810.0,2025-06-04,824.5,930464,804.65
824.75,816.05,2025-06-05,830.65,644372,812.85
821.4,832.35,2025-06-06,832.35,234108,817.5
838.05,820.0,2025-06-09,847.0,568872,816.55
844.0,835.0,2025-06-10,848.45,195933,834.0
845.1,842.0,2025-06-11,848.4,751273,830.1
816.35,848.9,2025-06-12,850.9,414929,812.35
831.75,809.8,2025-06-13,834.35,446255,794.4
835.45,825.1,2025-06-16,838.95,417848,815.05
832.05,827.1,2025-06-17,842.4,234834,826.1
839.75,834.95,2025-06-18,845.2,659057,830.45
824.2,839.75,2025-06-19,841.05,320038,816.05
822.25,828.0,2025-06-20,841.8,432034,817.05
835.8,822.25,2025-06-23,840.25,313358,821.7
838.05,837.0,2025-06-24,855.8,638210,834.15
846.35,839.9,2025-06-25,858.4,477763,837.15
854.55,847.0,2025-06-26,858.0,496706,840.0
870.1,860.0,2025-06-27,880.3,1586719,847.15
850.55,880.3,2025-06-30,880.3,285114,848.8
847.75,854.95,2025-07-01,855.4,439619,837.5
875.05,847.0,2025-07-02,882.85,1177394,843.0
868.45,876.75,2025-07-03,892.0,412070,862.35
866.25,868.5,2025-07-04,880.7,408537,852.05
860.8,865.0,2025-07-07,872.0,594505,847.05
882.5,860.0,2025-07-08,888.9,799294,857.45
890.95,885.05,2025-07-09,900.0,875938,875.55
871.2,890.95,2025-07-10,892.6,997329,868.2
858.9,871.2,2025-07-11,878.8,531155,855.2
848.9,860.0,2025-07-14,865.75,670679,841.85
846.25,849.0,2025-07-15,861.4,1477996,842.25
857.4,845.0,2025-07-16,862.2,879553,838.25
858.45,875.0,2025-07-17,882.05,867277,857.0
861.85,863.9,2025-07-18,878.5,1042544,859.0
856.35,865.0,2025-07-21,868.65,397604,849.1
859.9,857.15,2025-07-22,867.6,767934,856.0
861.05,862.0,2025-07-23,869.15,430528,857.95
826.6,862.0,2025-07-24,864.4,599423,823.55
739.35,797.0,2025-07-25,797.0,2635653,732.05
738.75,737.55,2025-07-28,749.0,1786959,707.1
719.25,743.2,2025-07-29,748.1,1372456,712.1
712.15,718.4,2025-07-30,718.45,1254289,705.15
704.0,710.75,2025-07-31,710.75,751500,697.1
694.45,709.75,2025-08-01,714.35,364366,689.0
709.0,697.65,2025-08-04,712.75,470975,685.05
730.25,714.3,2025-08-05,733.65,310854,704.1
722.8,734.9,2025-08-06,739.7,906692,714.4
725.1,716.0,2025-08-07,729.5,441443,715.55
719.3,725.1,2025-08-08,730.95,599894,709.4
701.3,719.0,2025-08-11,720.0,685560,697.3
706.4,706.85,2025-08-12,712.45,413811,699.35
724.1,708.05,2025-08-13,726.7,540531,708.05
717.3,730.0,2025-08-14,740.0,247442,711.2
729.3,717.45,2025-08-18,739.7,497823,715.35
