close,open,date,high,volume,low
170.62,179.95,2025-02-11,179.95,13950854,166.59
174.66,170.0,2025-02-12,176.0,16845299,165.85
169.86,174.5,2025-02-13,174.66,10164200,169.0
164.67,170.7,2025-02-14,171.75,13949059,160.35
168.64,164.67,2025-02-17,170.5,8544174,162.72
166.17,169.8,2025-02-18,169.8,6217106,165.25
164.61,166.0,2025-02-19,168.45,12488407,163.17
165.24,164.61,2025-02-20,168.5,11833022,162.7
162.71,166.0,2025-02-21,166.9,8608818,161.43
160.44,162.4,2025-02-24,162.4,7073132,158.56
161.33,160.65,2025-02-25,165.6,8816538,158.35
161.94,163.5,2025-02-27,165.49,10889252,160.88
163.81,160.99,2025-02-28,165.95,10337062,159.08
161.5,164.7,2025-03-03,165.0,4534822,159.05
162.93,160.59,2025-03-04,163.45,3827244,159.06
173.77,163.1,2025-03-05,176.0,9341395,162.26
174.2,175.5,2025-03-06,178.0,11691377,171.12
173.2,174.8,2025-03-07,175.67,4751880,171.9
169.38,174.7,2025-03-10,175.57,5750516,168.5
168.41,168.2,2025-03-11,170.1,3628422,167.01
169.27,169.69,2025-03-12,170.59,3271247,168.3
166.73,170.0,2025-03-13,171.57,5587313,165.82
167.43,167.7,2025-03-17,168.71,3758005,164.41
177.75,168.2,2025-03-18,179.0,10016596,167.4
184.19,179.85,2025-03-19,189.74,15741127,178.63
183.24,186.4,2025-03-20,187.0,10304144,181.85
198.89,184.0,2025-03-21,204.51,75532514,181.9
195.48,193.98,2025-03-24,197.99,19083033,190.93
196.11,196.7,2025-03-25,201.77,14609591,195.5
191.02,197.0,2025-03-26,197.94,5803551,190.05
194.61,191.0,2025-03-27,197.9,6819085,190.4
197.51,197.0,2025-03-28,205.8,13958181,195.61
210.38,197.01,2025-04-01,213.3,17676639,196.15
206.43,209.82,2025-04-02,210.0,13413653,202.21
206.99,204.9,2025-04-03,209.4,8319028,203.2
200.42,206.01,2025-04-04,206.99,9074967,198.7
195.75,186.5,2025-04-07,197.21,12234032,185.22
192.73,200.85,2025-04-08,202.0,10617094,192.31
192.03,193.0,2025-04-09,194.7,6995117,190.53
200.12,195.1,2025-04-11,201.4,8794778,193.4
201.5,205.0,2025-04-15,205.0,7415929,200.56
200.22,202.0,2025-04-16,204.7,6538524,199.5
200.7,200.58,2025-04-17,204.32,6981177,198.25
204.1,203.5,2025-04-21,207.6,14179951,201.75
205.04,205.9,2025-04-22,208.5,12623624,203.1
199.88,207.0,2025-04-23,207.74,14254202,197.6
200.38,200.3,2025-04-24,202.38,6744294,199.11
195.18,200.81,2025-04-25,201.23,9568484,191.8
197.85,195.0,2025-04-28,199.8,4589735,193.3
198.5,198.78,2025-04-29,199.81,3391809,195.16
194.43,197.99,2025-04-30,197.99,5144497,193.01
193.23,194.53,2025-05-02,195.76,4658080,191.58
197.71,194.9,2025-05-05,199.87,4618587,193.78
192.25,198.5,2025-05-06,200.75,6635585,191.0
191.54,189.0,2025-05-07,194.51,4519982,189.0
