close,open,date,high,volume,low
146.07,153.5,2025-08-14,154.77,105274421,145.05
150.02,148.0,2025-08-18,151.68,39208337,143.95
156.55,150.0,2025-08-19,158.2,47572618,148.12
153.83,157.0,2025-08-20,159.0,14505613,153.25
153.98,154.0,2025-08-21,156.7,10842093,151.77
153.12,153.97,2025-08-22,156.75,8536051,152.76
153.48,153.89,2025-08-25,155.4,5125690,152.92
150.49,153.48,2025-08-26,156.74,7846500,150.05
148.23,150.3,2025-08-28,151.55,8347289,147.06
148.43,148.4,2025-08-29,151.8,4448815,147.81
151.76,148.9,2025-09-01,152.8,6096458,147.97
153.73,152.68,2025-09-02,154.8,5730595,152.32
159.17,153.7,2025-09-03,159.93,23333691,153.7
152.29,161.51,2025-09-04,162.15,10144348,151.52
150.11,152.89,2025-09-05,152.99,4553483,149.48
149.21,150.49,2025-09-08,151.14,3545942,148.51
148.54,149.95,2025-09-09,149.99,2583143,148.21
148.01,149.3,2025-09-10,149.94,2969890,147.8
145.69,148.0,2025-09-11,148.4,5640167,145.31
148.72,146.29,2025-09-12,149.3,3893758,145.9
150.29,151.95,2025-09-15,153.45,5357153,149.71
148.71,151.45,2025-09-16,151.65,2740161,148.05
147.77,149.44,2025-09-17,152.9,4924836,147.33
151.21,148.5,2025-09-18,151.85,5541105,147.5
149.27,151.74,2025-09-19,151.74,2531658,149.05
149.44,149.51,2025-09-22,151.4,3324026,149.02
147.18,149.44,2025-09-23,150.09,2670876,146.7
146.44,147.18,2025-09-24,148.38,1987230,146.2
143.85,146.49,2025-09-25,147.2,2668528,143.25
141.36,143.85,2025-09-26,144.0,3093693,139.79
140.27,141.0,2025-09-29,142.76,1774082,140.01
137.89,140.75,2025-09-30,141.2,2064210,137.45
138.46,137.57,2025-10-01,139.2,3018045,135.9
138.86,138.8,2025-10-03,139.4,1601643,137.79
140.86,141.1,2025-10-06,142.64,3324094,139.51
139.74,140.86,2025-10-07,141.17,1136102,139.26
138.26,139.74,2025-10-08,140.95,1764496,137.9
137.98,138.51,2025-10-09,139.04,1331463,137.12
140.68,137.98,2025-10-10,143.4,3534213,137.6
139.33,139.5,2025-10-13,140.78,952194,139.01
135.21,138.9,2025-10-14,139.57,2227068,134.75
138.05,135.26,2025-10-15,138.49,1220864,134.86
137.36,138.27,2025-10-16,139.25,691589,137.07
136.45,137.33,2025-10-17,138.23,1309845,135.45
137.02,136.2,2025-10-20,137.51,1803493,134.75
138.29,137.49,2025-10-21,139.33,508815,137.49
135.48,138.73,2025-10-23,138.73,1195926,135.26
135.27,135.5,2025-10-24,136.86,2036993,133.72
136.59,135.8,2025-10-27,137.7,1802416,135.27
135.49,136.59,2025-10-28,136.98,834282,134.58
136.72,136.6,2025-10-29,137.6,1371359,135.37
135.83,136.39,2025-10-30,137.29,1650216,135.48
136.44,135.95,2025-10-31,137.0,889077,135.55
135.63,135.99,2025-11-03,136.83,672356,135.36
134.98,135.5,2025-11-04,136.44,838205,134.75
128.4,134.8,2025-11-06,134.9,2485520,128.0
127.67,127.25,2025-11-07,128.7,2170039,125.07
125.44,131.5,2025-11-10,133.0,5870300,124.5
122.54,126.5,2025-11-11,126.5,3418122,122.11
122.23,122.9,2025-11-12,123.6,2260663,122.0
128.75,122.24,2025-11-13,130.26,8225693,122.05
126.38,127.14,2025-11-14,128.23,1600964,125.8
127.91,127.04,2025-11-17,129.1,2659153,124.75
126.28,128.0,2025-11-18,128.09,905043,126.0
127.36,126.0,2025-11-19,127.95,1154582,125.55
126.15,127.4,2025-11-20,128.4,876478,125.89
124.4,125.1,2025-11-21,126.0,1757637,123.68
118.23,124.49,2025-11-24,124.5,5723572,117.9
116.17,118.49,2025-11-25,118.92,2504198,115.65
115.93,117.4,2025-11-26,118.99,3148118,115.51
116.86,116.26,2025-11-27,118.23,3957764,115.95
114.74,118.5,2025-11-28,118.5,1718435,114.51
113.62,114.8,2025-12-01,117.02,2013544,113.4
110.93,113.93,2025-12-02,113.93,4758051,110.33
108.02,111.39,2025-12-03,111.51,5183702,107.39
111.48,108.0,2025-12-04,114.9,6618271,106.65
111.36,112.05,2025-12-05,113.16,3419249,110.52
110.97,112.0,2025-12-08,112.0,2089314,109.29
112.29,111.0,2025-12-09,112.9,2640037,109.2
115.25,112.36,2025-12-10,116.1,9159031,112.25
116.3,115.95,2025-12-11,116.56,1590723,113.55
121.24,116.5,2025-12-12,121.64,3381906,116.5
120.06,121.5,2025-12-15,123.9,2701468,119.37
121.66,120.29,2025-12-16,122.69,1548562,120.06
118.44,121.99,2025-12-17,121.99,1224768,118.11
117.09,118.44,2025-12-18,118.73,906387,116.6
115.87,117.94,2025-12-19,118.48,1970583,115.23
118.39,117.35,2025-12-22,118.99,2120526,116.35
118.67,119.25,2025-12-23,119.3,1437014,117.75
118.65,119.47,2025-12-24,119.69,1651015,117.51
118.72,119.0,2025-12-26,120.4,1683234,118.23
118.56,118.71,2025-12-29,119.24,2663369,117.5
