close,open,date,high,volume,low
403.1,395.0,2025-11-10,413.75,131582855,356.1
415.35,401.0,2025-11-11,417.9,23092558,400.0
421.2,415.0,2025-11-12,425.25,9170713,408.05
400.15,421.2,2025-11-13,429.0,6937199,397.0
409.05,399.05,2025-11-14,411.0,9263600,388.7
431.45,409.05,2025-11-17,438.85,9096098,408.3
424.8,431.0,2025-11-18,435.85,6741963,417.85
428.75,421.95,2025-11-19,432.7,6471692,409.3
416.7,429.55,2025-11-20,429.9,2709834,413.55
417.45,411.1,2025-11-21,420.4,1714811,410.55
414.5,415.1,2025-11-24,418.15,831033,410.5
414.95,412.95,2025-11-25,426.7,2351418,412.95
405.0,417.9,2025-11-26,423.9,2012117,403.0
407.7,405.5,2025-11-27,410.0,1556591,401.15
410.45,415.0,2025-11-28,428.9,6610736,408.05
430.5,428.0,2025-12-01,448.8,32012544,417.05
425.95,430.0,2025-12-02,431.6,4020017,422.25
410.15,424.95,2025-12-03,424.95,2540482,408.3
405.55,410.15,2025-12-04,411.25,2130780,402.0
417.2,405.0,2025-12-05,419.75,2442116,402.0
407.9,412.1,2025-12-08,414.3,2797687,403.2
408.45,408.6,2025-12-09,417.85,2266469,402.0
405.25,415.0,2025-12-10,415.0,1395446,403.2
405.95,405.3,2025-12-11,407.75,1298605,402.7
405.95,408.0,2025-12-12,408.9,779542,404.5
405.2,407.65,2025-12-15,408.5,510615,403.6
405.1,405.2,2025-12-16,408.4,675444,402.15
404.3,405.1,2025-12-17,407.65,704061,402.0
410.05,404.0,2025-12-18,417.2,2404530,403.2
467.7,418.0,2025-12-19,477.7,21225921,417.95
467.05,467.7,2025-12-22,495.0,20261368,454.65
465.8,463.0,2025-12-23,492.8,11216224,453.1
452.0,471.9,2025-12-24,473.8,3500079,447.85
451.05,458.25,2025-12-26,470.0,4910140,447.0
452.35,452.1,2025-12-29,456.35,1937045,444.0
460.8,452.35,2025-12-30,465.75,2963184,450.25
450.7,459.0,2025-12-31,461.6,1225538,448.0
438.5,451.95,2026-01-01,459.9,1351297,436.05
452.15,440.95,2026-01-02,456.8,1751640,437.3
445.25,451.8,2026-01-05,452.45,743400,444.0
445.15,446.8,2026-01-06,447.85,1430476,439.5
453.2,444.9,2026-01-07,458.1,1826415,444.25
447.4,453.2,2026-01-08,462.05,1632204,441.6
457.75,447.55,2026-01-09,459.75,2064326,444.3
455.2,451.05,2026-01-12,459.95,1662145,443.75
446.95,460.0,2026-01-13,460.0,924201,437.95
457.7,445.05,2026-01-14,460.55,2647444,440.2
451.2,456.9,2026-01-16,476.3,3463237,449.05
443.4,451.3,2026-01-19,456.0,2027940,439.0
429.75,445.7,2026-01-20,445.7,1934434,425.55
436.9,431.0,2026-01-21,441.4,1214577,426.35
440.65,440.1,2026-01-22,442.65,717748,434.3
423.95,439.6,2026-01-23,442.75,921841,421.0
434.25,423.5,2026-01-27,436.0,822282,418.0
436.65,432.2,2026-01-28,438.0,1506086,429.1
446.2,435.95,2026-01-29,448.0,364073,432.1
457.35,445.0,2026-01-30,463.8,856869,441.85
444.15,440.0,2026-02-02,447.4,553097,434.45
459.3,449.55,2026-02-03,478.95,2053668,449.55
452.65,451.05,2026-02-04,460.6,3142358,447.0
447.0,454.9,2026-02-05,456.95,1486418,440.9
457.3,446.6,2026-02-06,459.5,917457,444.2
463.95,457.3,2026-02-09,468.95,1925640,454.5
475.4,468.9,2026-02-10,484.3,2145040,461.9
467.6,479.45,2026-02-11,479.45,1618039,459.15
513.0,516.1,2026-02-12,532.4,40337888,500.65
502.2,530.95,2026-02-13,533.0,12168797,490.05
499.75,499.4,2026-02-16,502.0,3709812,482.3
480.5,495.0,2026-02-17,498.95,2727575,478.85
486.35,483.5,2026-02-18,489.7,1147245,480.0
479.9,489.0,2026-02-19,492.6,1906083,473.0
489.4,479.95,2026-02-20,497.2,3402697,479.95
485.2,491.0,2026-02-23,496.7,854311,482.1
484.5,485.0,2026-02-24,490.6,1645847,480.7
505.45,487.25,2026-02-25,510.95,3857628,480.1
512.75,505.0,2026-02-26,514.35,1879033,502.0
537.4,508.1,2026-02-27,541.8,5845971,505.5
525.85,515.0,2026-03-02,532.1,2272973,496.55
523.8,518.25,2026-03-04,529.9,1454332,512.75
524.7,524.0,2026-03-05,530.75,1389673,517.05
520.1,524.7,2026-03-06,535.9,1626230,518.05
506.75,513.0,2026-03-09,514.0,1002715,498.0
514.55,517.0,2026-03-10,522.65,2647658,510.0
499.1,518.0,2026-03-11,522.4,1434264,485.2
504.55,496.5,2026-03-12,508.4,899376,484.4
499.8,499.05,2026-03-13,517.6,3713429,495.0
498.7,500.9,2026-03-16,510.85,4732194,487.8
501.15,498.05,2026-03-17,508.8,1060520,496.75
511.25,501.0,2026-03-18,525.0,1618339,499.8
501.6,500.0,2026-03-19,511.0,671163,498.2
526.2,502.3,2026-03-20,543.9,3817550,496.0
501.5,507.7,2026-03-23,513.0,2283557,483.05
502.0,511.0,2026-03-24,515.75,1271139,500.0
495.3,504.45,2026-03-25,512.9,1864516,492.1
509.35,492.0,2026-03-27,515.2,4794427,492.0
499.3,500.3,2026-03-30,505.65,1735595,487.0
501.85,511.0,2026-04-01,513.0,3831338,496.85
484.95,498.0,2026-04-02,498.0,1420833,480.95
503.05,487.9,2026-04-06,505.95,1975777,487.0
500.65,500.05,2026-04-07,502.5,1213232,492.4
505.6,518.1,2026-04-08,519.0,2272868,502.9
514.4,506.0,2026-04-09,525.0,4184145,504.1
547.55,517.0,2026-04-10,550.0,4598082,517.0
549.2,530.0,2026-04-13,551.4,2437947,530.0
538.1,555.0,2026-04-15,557.65,2502786,536.65
540.05,542.0,2026-04-16,546.9,1582562,530.0
534.55,538.05,2026-04-17,548.0,3795405,531.6
532.7,533.5,2026-04-20,537.45,4663617,508.9
541.0,531.9,2026-04-21,545.85,1745066,525.1
543.95,540.1,2026-04-22,547.8,2459232,535.5
537.9,542.2,2026-04-23,542.2,1641604,527.7
533.85,540.0,2026-04-24,544.0,2082062,527.05
524.4,533.3,2026-04-27,534.45,1303093,519.0
537.0,526.0,2026-04-28,541.45,1029276,526.0
519.95,542.5,2026-04-29,542.5,2527593,515.5
515.95,511.75,2026-04-30,518.6,1449817,506.75
515.6,515.95,2026-05-04,533.2,1138755,513.45
506.7,519.4,2026-05-05,522.65,1555152,504.75
503.25,510.3,2026-05-06,512.6,1724371,496.1
487.75,500.0,2026-05-07,503.35,7178986,481.0
489.25,487.0,2026-05-08,498.7,54291417,473.4
489.85,484.35,2026-05-11,494.3,7301872,482.05
475.95,488.6,2026-05-12,493.65,7867865,473.75
476.95,476.0,2026-05-13,483.5,7106499,474.2
474.35,480.0,2026-05-14,482.4,5496258,468.9
469.25,477.0,2026-05-15,483.3,3672940,466.8
476.25,470.0,2026-05-18,479.0,5188277,458.75
492.7,483.0,2026-05-19,494.9,11291344,480.4
486.85,488.05,2026-05-20,494.0,10836077,480.5
