close,open,date,high,volume,low
1689.9,1710.1,2025-10-14,1749.0,68793750,1650.0
1688.1,1698.0,2025-10-15,1728.9,9113558,1680.2
1671.3,1688.9,2025-10-16,1705.0,4216934,1662.0
1668.0,1675.0,2025-10-17,1701.3,4992719,1627.8
1665.2,1673.4,2025-10-20,1686.4,2466878,1645.0
1669.2,1674.2,2025-10-21,1680.5,491194,1665.5
1663.4,1675.0,2025-10-23,1698.4,2391748,1654.7
1648.7,1663.4,2025-10-24,1671.5,1778970,1636.1
1650.1,1643.0,2025-10-27,1655.3,1513848,1628.5
1654.1,1650.1,2025-10-28,1668.8,967683,1647.0
1655.3,1653.0,2025-10-29,1665.0,837306,1646.2
1657.7,1655.0,2025-10-30,1666.9,923367,1646.6
1663.6,1661.0,2025-10-31,1670.0,857195,1655.2
1649.0,1660.0,2025-11-03,1665.0,940042,1633.0
1633.4,1645.1,2025-11-04,1659.8,834337,1625.2
1616.9,1630.0,2025-11-06,1633.0,1475569,1590.0
1609.4,1617.0,2025-11-07,1623.0,1999308,1581.1
1646.2,1592.0,2025-11-10,1687.7,3052514,1587.6
1665.5,1651.0,2025-11-11,1674.1,856943,1636.1
1657.3,1665.1,2025-11-12,1668.3,1389029,1636.0
1673.2,1660.0,2025-11-13,1718.0,2249129,1646.0
1617.8,1590.0,2025-11-14,1645.2,3455187,1590.0
1623.0,1621.0,2025-11-17,1634.2,1413891,1605.5
1624.1,1622.5,2025-11-18,1644.0,876440,1617.3
1668.1,1650.0,2025-11-19,1690.9,2706977,1642.0
1683.9,1684.9,2025-11-20,1706.8,2120142,1665.1
1642.4,1675.0,2025-11-21,1680.0,1043818,1625.5
1616.4,1638.8,2025-11-24,1649.9,931629,1605.0
1628.2,1640.0,2025-11-25,1648.6,541907,1623.1
1640.6,1629.0,2025-11-26,1644.0,656382,1624.0
1630.3,1643.0,2025-11-27,1652.0,649257,1623.1
1659.3,1640.0,2025-11-28,1663.0,772237,1629.0
1649.8,1664.9,2025-12-01,1664.9,829377,1635.0
1626.3,1645.0,2025-12-02,1645.0,935664,1616.9
1609.7,1626.0,2025-12-03,1627.9,1229870,1594.0
1605.6,1608.0,2025-12-04,1625.0,714563,1598.0
1598.7,1608.0,2025-12-05,1617.0,406011,1595.0
1566.1,1597.8,2025-12-08,1604.6,897702,1554.7
1600.4,1560.0,2025-12-09,1603.0,955382,1533.2
1565.1,1600.0,2025-12-10,1603.7,752593,1561.8
1571.0,1565.1,2025-12-11,1574.6,628182,1550.4
1571.6,1571.0,2025-12-12,1580.8,403292,1555.6
1571.7,1560.0,2025-12-15,1577.0,293495,1560.0
1552.7,1560.8,2025-12-16,1568.0,638208,1542.5
1550.8,1562.7,2025-12-17,1562.7,514769,1536.0
1522.3,1548.9,2025-12-18,1554.8,357161,1515.5
1577.4,1526.0,2025-12-19,1582.0,875173,1525.4
1561.1,1572.9,2025-12-22,1595.0,709116,1548.5
1546.6,1570.0,2025-12-23,1573.0,481940,1540.0
1535.5,1546.6,2025-12-24,1552.2,778754,1520.0
1522.2,1530.0,2025-12-26,1538.4,391312,1518.0
1547.5,1533.0,2025-12-29,1559.4,703864,1525.1
1529.8,1547.5,2025-12-30,1552.0,376893,1522.4
1521.4,1528.3,2025-12-31,1535.0,1030201,1509.9
1484.7,1523.9,2026-01-01,1532.9,793315,1481.0
1483.4,1485.0,2026-01-02,1495.7,973436,1460.1
1469.5,1483.4,2026-01-05,1487.0,914020,1455.2
1494.9,1467.0,2026-01-06,1499.4,648837,1463.3
1456.4,1490.0,2026-01-07,1497.0,1515298,1449.0
1429.9,1441.0,2026-01-08,1447.2,4844370,1393.2
1403.3,1421.0,2026-01-09,1424.4,2079985,1394.4
