close,open,date,high,volume,low
170.09,162.5,2025-12-10,177.49,400297561,162.0
167.28,176.01,2025-12-11,176.75,80339744,165.05
165.11,166.69,2025-12-12,169.12,102196822,153.89
170.76,164.0,2025-12-15,174.9,41631137,158.6
180.29,173.57,2025-12-16,193.44,172481762,173.57
216.34,186.55,2025-12-17,216.34,181034283,186.55
235.57,226.6,2025-12-18,254.4,298723540,206.6
224.08,226.5,2025-12-19,234.4,129867250,217.62
201.68,221.98,2025-12-22,223.65,65317885,201.68
187.83,190.57,2025-12-23,197.99,101424754,181.52
197.05,187.72,2025-12-24,197.22,50847411,187.0
197.84,196.0,2025-12-26,200.81,20925399,194.02
192.27,197.0,2025-12-29,197.89,8029842,190.36
186.15,192.0,2025-12-30,192.74,7956061,185.0
180.22,186.16,2025-12-31,188.8,7573841,178.02
181.58,181.12,2026-01-01,183.88,5077902,179.1
179.25,181.58,2026-01-02,181.86,3321819,178.5
182.53,179.25,2026-01-05,188.21,10967713,177.63
182.24,182.53,2026-01-06,183.45,2710025,181.05
173.13,179.71,2026-01-07,180.0,13865514,173.13
164.9,172.0,2026-01-08,172.0,57420082,164.48
170.36,164.9,2026-01-09,173.14,23849390,164.0
166.89,169.0,2026-01-12,169.98,9087939,161.85
164.77,166.75,2026-01-13,168.74,6634060,163.04
164.29,164.77,2026-01-14,165.95,5822079,161.84
162.26,164.28,2026-01-16,165.0,4339301,160.95
165.47,160.0,2026-01-19,166.5,6771826,160.0
169.83,164.01,2026-01-20,172.34,9324680,164.01
173.77,166.19,2026-01-21,175.7,7953540,165.1
169.45,173.88,2026-01-22,174.7,5796394,168.03
170.31,168.51,2026-01-23,171.29,4145536,167.5
163.37,168.53,2026-01-27,170.21,4651755,161.8
168.19,163.75,2026-01-28,171.5,4168643,163.51
168.18,167.05,2026-01-29,170.81,2373424,166.0
174.15,167.76,2026-01-30,175.84,3689876,166.54
157.18,157.18,2026-02-02,157.18,294781,157.18
149.33,160.0,2026-02-03,162.0,26079071,149.33
148.09,146.2,2026-02-04,150.0,6798360,144.76
151.38,150.09,2026-02-05,154.8,5309364,149.14
154.26,151.38,2026-02-06,158.65,6233024,151.38
156.93,154.3,2026-02-09,159.39,2558058,154.3
156.97,157.3,2026-02-10,157.9,2219922,154.25
154.7,158.2,2026-02-11,158.2,1557753,154.11
153.04,154.0,2026-02-12,157.67,1900574,151.35
152.85,152.0,2026-02-13,155.1,3070181,149.02
153.63,153.0,2026-02-16,154.57,1494312,150.24
152.44,153.63,2026-02-17,155.9,1472496,151.44
156.16,152.44,2026-02-18,161.08,4348010,152.44
156.73,157.1,2026-02-19,161.0,2315474,155.5
158.18,156.0,2026-02-20,159.5,1077193,155.27
158.0,158.4,2026-02-23,159.14,1008342,157.01
154.96,158.0,2026-02-24,158.0,2150856,152.25
159.13,155.0,2026-02-25,160.0,1554161,154.12
160.33,158.61,2026-02-26,161.5,1236159,157.23
159.99,160.0,2026-02-27,161.74,1244949,158.5
155.51,151.87,2026-03-02,158.2,1930538,151.6
150.27,151.92,2026-03-04,154.37,4067146,147.63
