close,open,date,high,volume,low
74.02,78.14,2024-11-14,81.0,38862503,73.51
72.57,72.71,2024-11-18,73.99,7592009,69.21
73.99,72.0,2024-11-19,74.73,3772771,72.0
73.27,73.94,2024-11-21,73.94,1620552,71.25
73.7,73.99,2024-11-22,74.49,2408433,72.95
76.83,73.05,2024-11-25,78.35,9285232,73.05
75.5,75.9,2024-11-26,76.85,3211072,74.65
75.15,75.5,2024-11-27,76.45,1953771,74.96
74.86,75.19,2024-11-28,79.0,5943297,74.0
75.39,75.53,2024-11-29,76.45,1681482,74.38
74.39,75.64,2024-12-02,75.64,1248074,73.9
81.93,75.16,2024-12-03,84.8,26815355,74.75
98.31,82.84,2024-12-04,98.31,41132031,82.56
100.0,102.7,2024-12-05,109.34,42607428,97.29
95.02,98.8,2024-12-06,99.22,6974772,93.7
89.34,95.01,2024-12-09,95.02,6278958,89.02
92.7,89.9,2024-12-10,94.4,8333284,88.4
89.97,93.15,2024-12-11,93.2,2395439,89.65
85.25,90.0,2024-12-12,90.59,5722588,84.86
83.6,85.5,2024-12-13,85.84,8622158,82.12
85.19,84.0,2024-12-16,87.39,3851118,84.0
83.84,86.0,2024-12-17,86.28,2130065,83.51
81.41,84.38,2024-12-18,84.38,3514558,81.0
79.78,79.0,2024-12-19,81.15,3462910,79.0
76.27,79.78,2024-12-20,81.07,4041272,75.7
76.63,77.5,2024-12-23,78.11,3360613,75.06
76.12,77.3,2024-12-24,77.3,1987242,75.32
81.25,76.77,2024-12-26,83.48,11945978,76.14
79.66,81.85,2024-12-27,83.3,3148919,79.0
78.85,80.0,2024-12-30,80.0,2103743,78.0
84.11,79.0,2024-12-31,85.0,5397076,78.1
83.76,85.0,2025-01-01,86.0,2873318,83.5
82.15,84.0,2025-01-02,84.2,1396296,82.0
83.33,83.75,2025-01-03,85.3,2086532,82.51
78.91,83.65,2025-01-06,83.69,2146432,78.5
80.42,79.31,2025-01-07,81.31,1339661,79.31
79.24,80.42,2025-01-08,80.89,945050,78.75
77.82,79.75,2025-01-09,79.8,712900,77.5
77.03,78.5,2025-01-10,78.5,1021599,75.4
75.24,76.0,2025-01-13,76.7,1582267,74.95
77.37,75.98,2025-01-14,77.75,1072412,75.11
78.65,78.9,2025-01-15,79.0,730541,77.8
82.0,79.0,2025-01-16,82.8,2056749,78.95
81.38,82.63,2025-01-17,82.63,874489,81.2
83.08,81.85,2025-01-20,84.19,1528913,81.01
81.03,81.8,2025-01-21,83.96,1067747,80.63
79.53,81.69,2025-01-22,81.91,1144346,78.08
81.07,79.0,2025-01-23,81.7,592500,79.0
78.64,81.07,2025-01-24,81.35,532376,78.11
75.2,77.11,2025-01-27,77.74,839472,75.0
76.33,75.59,2025-01-28,76.75,997419,72.65
80.57,77.5,2025-01-29,81.6,1106311,77.0
79.49,81.39,2025-01-30,82.55,983480,78.8
81.14,79.11,2025-01-31,82.9,1372738,78.41
81.17,79.2,2025-02-03,81.95,1332577,78.54
82.06,82.0,2025-02-04,83.45,1340088,81.7
80.84,83.19,2025-02-05,85.2,1533781,80.4
81.02,81.4,2025-02-06,82.75,763786,80.0
79.69,80.2,2025-02-07,81.78,886629,78.65
81.51,78.8,2025-02-10,81.84,1376270,78.5
79.99,79.46,2025-02-11,80.8,2134657,77.55
79.32,80.91,2025-02-12,80.91,1030394,78.01
79.98,78.32,2025-02-13,80.61,1217240,78.32
79.54,80.0,2025-02-14,80.73,1077567,77.25
76.94,77.7,2025-02-17,78.33,636891,76.25
75.27,76.7,2025-02-18,76.7,605116,74.69
75.08,75.0,2025-02-19,76.24,739704,74.58
76.9,75.5,2025-02-20,77.25,1261079,74.88
77.75,77.08,2025-02-21,78.65,650819,77.0
77.75,74.0,2025-02-24,78.24,1066068,74.0
77.1,78.35,2025-02-25,78.4,419466,76.37
73.72,76.79,2025-02-27,76.79,1591878,73.12
72.97,73.19,2025-02-28,74.04,498165,72.45
71.12,74.19,2025-03-03,74.19,766807,70.02
72.5,70.0,2025-03-04,73.0,674997,70.0
73.26,72.15,2025-03-05,74.49,545132,72.1
71.05,73.6,2025-03-06,74.4,2613635,70.9
72.3,71.05,2025-03-07,72.93,566525,71.05
71.23,73.44,2025-03-10,73.44,399576,70.92
71.07,70.8,2025-03-11,72.0,699235,69.99
72.01,71.94,2025-03-12,72.25,824591,71.15
71.24,72.49,2025-03-13,72.49,331198,71.01
70.84,71.04,2025-03-17,72.3,364151,70.5
71.46,70.3,2025-03-18,72.22,639348,70.3
72.27,71.84,2025-03-19,72.75,720120,71.84
74.96,73.0,2025-03-20,76.5,1363935,71.94
74.6,75.4,2025-03-21,76.4,855693,74.25
74.21,74.05,2025-03-24,75.99,1026173,73.9
72.07,74.53,2025-03-25,74.7,638005,71.88
71.52,72.45,2025-03-26,72.48,355117,71.2
76.66,71.59,2025-03-27,77.88,2125609,71.2
78.08,76.61,2025-03-28,80.89,1757580,76.0
75.92,77.79,2025-04-01,77.79,484067,75.62
76.51,76.01,2025-04-02,78.3,624536,74.05
75.84,75.0,2025-04-03,76.39,289266,75.0
74.41,76.0,2025-04-04,76.15,395115,73.8
71.73,68.54,2025-04-07,72.21,1223223,68.54
73.01,72.64,2025-04-08,74.97,966567,72.14
73.53,72.25,2025-04-09,74.25,559926,72.25
73.82,74.14,2025-04-11,75.4,851518,73.55
74.57,73.88,2025-04-15,74.94,630626,73.58
76.1,74.5,2025-04-16,77.1,1029794,74.5
75.8,76.1,2025-04-17,76.12,646347,74.71
77.99,75.8,2025-04-21,78.5,887764,75.8
77.62,79.0,2025-04-22,79.58,745393,77.25
83.77,79.0,2025-04-23,86.46,36164080,78.57
88.15,84.0,2025-04-24,89.5,13181864,83.73
84.62,88.5,2025-04-25,88.85,6789144,82.7
82.33,84.61,2025-04-28,84.61,1789762,82.0
81.51,82.87,2025-04-29,84.65,1942380,78.66
81.59,82.1,2025-04-30,84.25,2257271,80.63
82.19,81.75,2025-05-02,84.4,1679606,81.34
86.15,83.37,2025-05-05,86.58,3437971,82.11
80.73,86.6,2025-05-06,87.33,2516923,80.0
81.03,79.82,2025-05-07,81.48,1574722,79.35
87.3,87.03,2025-05-08,92.9,75425585,86.11
86.73,85.06,2025-05-09,87.49,5887714,84.51
85.07,89.09,2025-05-12,89.8,6443639,84.75
84.84,84.84,2025-05-13,85.6,2725408,84.55
84.51,85.1,2025-05-14,85.8,2702500,83.2
84.55,85.2,2025-05-15,85.4,2261660,84.03
90.41,84.8,2025-05-16,92.6,15739186,84.6
91.15,90.0,2025-05-19,95.21,10966214,89.75
90.99,92.0,2025-05-20,93.89,4259241,90.78
89.62,90.91,2025-05-21,91.8,3190428,89.07
88.54,90.05,2025-05-22,93.19,5045827,87.6
89.38,89.45,2025-05-23,91.2,3797007,88.0
91.27,90.41,2025-05-26,94.0,6562611,89.6
87.09,91.79,2025-05-27,92.1,6235426,86.23
87.94,87.6,2025-05-28,88.73,2605436,86.72
92.35,88.36,2025-05-29,93.28,13288143,87.86
92.29,92.35,2025-05-30,94.0,5961255,90.61
83.11,84.5,2025-06-02,85.41,168064549,81.63
83.1,83.98,2025-06-03,85.8,17347187,82.84
82.97,83.64,2025-06-04,83.7,11196571,81.25
82.58,83.6,2025-06-05,83.6,7847633,81.91
82.97,82.9,2025-06-06,83.79,4949706,82.7
83.32,83.8,2025-06-09,83.84,2440605,83.06
82.99,83.5,2025-06-10,83.78,8518541,82.61
82.59,82.87,2025-06-11,83.5,4905650,82.25
82.2,82.8,2025-06-12,83.18,2999717,81.89
81.41,80.9,2025-06-13,82.11,2334209,80.07
81.81,81.35,2025-06-16,82.19,2853579,80.16
80.14,82.15,2025-06-17,82.36,2553525,79.84
81.02,80.49,2025-06-18,81.6,2286304,79.72
80.04,81.4,2025-06-19,82.19,2013335,79.64
81.15,80.44,2025-06-20,81.68,2166621,80.01
81.75,79.8,2025-06-23,82.13,2430676,79.8
81.66,82.27,2025-06-24,82.49,1603778,81.3
82.02,81.95,2025-06-25,82.2,1637882,81.48
81.98,82.4,2025-06-26,82.4,2208230,81.03
81.82,82.2,2025-06-27,82.73,4541034,80.98
81.77,82.3,2025-06-30,82.51,1502583,81.6
81.92,82.15,2025-07-01,82.5,2357476,80.51
82.23,81.92,2025-07-02,82.5,2448112,80.91
81.97,82.2,2025-07-03,82.3,846623,81.57
85.05,82.25,2025-07-04,85.77,11389149,81.81
83.88,85.0,2025-07-07,85.9,3647994,83.3
83.77,84.2,2025-07-08,84.7,2146666,83.55
89.14,84.1,2025-07-09,89.5,23283762,83.63
90.26,89.0,2025-07-10,91.34,9381859,88.26
88.69,90.09,2025-07-11,90.89,2916590,88.0
91.0,89.0,2025-07-14,91.25,5294385,88.06
88.94,91.1,2025-07-15,91.63,2370396,88.71
89.84,89.35,2025-07-16,90.47,3802478,88.68
90.76,90.89,2025-07-17,92.9,7443962,89.4
89.29,91.38,2025-07-18,91.5,1885031,88.94
88.71,89.45,2025-07-21,89.65,1730712,87.66
88.88,88.99,2025-07-22,90.19,3012330,87.18
86.78,89.0,2025-07-23,89.19,1729850,86.5
86.56,86.98,2025-07-24,87.47,2241635,84.75
83.93,86.55,2025-07-25,86.56,1575154,83.6
82.95,83.91,2025-07-28,85.21,2266059,82.11
84.36,83.47,2025-07-29,85.15,1560868,82.78
85.17,84.56,2025-07-30,85.49,1495761,83.59
87.55,85.0,2025-07-31,87.95,3738356,84.0
81.51,84.7,2025-08-01,84.7,7540436,81.1
82.0,81.9,2025-08-04,82.29,2139423,81.09
81.71,82.0,2025-08-05,82.45,1452024,81.29
80.59,82.44,2025-08-06,82.45,1324595,80.02
80.37,80.99,2025-08-07,80.99,1432058,79.02
79.99,80.77,2025-08-08,81.37,1846048,79.67
79.65,80.07,2025-08-11,80.29,931996,78.8
80.83,79.86,2025-08-12,81.73,884523,79.86
81.45,81.18,2025-08-13,81.79,943087,80.51
81.93,81.75,2025-08-14,82.23,589553,81.17
86.29,84.7,2025-08-18,89.91,15553435,83.63
84.2,86.1,2025-08-19,86.24,1885638,84.0
84.36,84.7,2025-08-20,85.8,1506651,83.91
85.51,87.74,2025-08-21,87.97,4786687,85.0
85.47,85.52,2025-08-22,86.99,1589582,84.87
83.85,85.8,2025-08-25,85.8,1175617,83.5
83.37,83.85,2025-08-26,84.1,1154239,82.24
81.57,83.31,2025-08-28,83.55,1251662,81.14
81.52,81.89,2025-08-29,82.25,1039668,80.8
82.23,81.52,2025-09-01,83.0,776458,81.52
82.83,82.48,2025-09-02,83.28,1388854,82.0
83.83,83.23,2025-09-03,85.17,2261179,82.7
81.26,90.0,2025-09-04,91.2,26953141,79.9
84.67,82.26,2025-09-05,86.24,9616985,82.26
83.23,85.0,2025-09-08,85.92,3201127,82.65
81.94,83.3,2025-09-09,83.33,1622474,81.6
81.83,83.0,2025-09-10,83.41,2244065,81.38
81.67,82.0,2025-09-11,82.6,2394446,81.5
81.61,81.99,2025-09-12,82.46,1506571,81.5
81.76,81.61,2025-09-15,82.23,1213885,81.51
81.84,81.99,2025-09-16,82.1,805774,81.6
81.66,82.19,2025-09-17,82.2,1123088,81.5
82.09,82.74,2025-09-18,82.9,1023919,81.8
82.39,82.5,2025-09-19,82.71,1038176,82.0
82.84,83.39,2025-09-22,83.39,1749364,82.29
81.73,82.71,2025-09-23,82.84,1455467,81.35
81.19,81.7,2025-09-24,81.98,1966857,81.0
80.98,82.0,2025-09-25,82.14,1387551,80.45
80.47,81.0,2025-09-26,81.55,1249992,80.09
83.18,80.45,2025-09-29,83.5,2452948,79.83
81.84,82.68,2025-09-30,82.68,796896,81.42
81.84,81.65,2025-10-01,83.1,3239727,79.8
81.06,83.48,2025-10-03,83.7,2339328,80.75
80.25,81.09,2025-10-06,81.24,1150786,80.05
79.73,80.38,2025-10-07,80.41,1185058,79.65
79.62,79.67,2025-10-08,79.85,7084011,78.65
80.07,79.47,2025-10-09,80.35,933369,79.2
79.34,80.1,2025-10-10,80.64,1186519,79.12
77.21,79.0,2025-10-13,79.31,1646509,77.16
77.29,77.39,2025-10-14,77.69,4860159,76.2
77.84,77.65,2025-10-15,78.48,1005381,76.96
77.98,77.85,2025-10-16,78.3,805392,77.62
75.91,77.88,2025-10-17,77.93,2004829,75.2
74.46,76.9,2025-10-20,76.9,3396058,73.5
75.71,74.61,2025-10-21,75.89,428864,74.61
74.6,75.71,2025-10-23,75.9,13044319,73.61
74.3,74.99,2025-10-24,74.99,1066394,73.6
74.59,74.46,2025-10-27,75.55,1887182,73.53
74.04,74.86,2025-10-28,75.16,1115211,73.81
75.12,74.1,2025-10-29,75.36,1391124,73.81
74.86,75.25,2025-10-30,75.7,1425781,74.36
75.06,74.68,2025-10-31,76.48,5859497,74.34
74.06,75.29,2025-11-03,75.43,4595778,72.0
76.4,74.09,2025-11-04,77.49,11992709,74.0
75.43,75.8,2025-11-06,76.23,2291520,75.0
76.03,75.0,2025-11-07,76.24,1851081,74.1
76.0,76.12,2025-11-10,76.93,1391179,75.14
76.02,76.22,2025-11-11,76.7,1009035,75.8
76.45,76.03,2025-11-12,76.95,884073,75.95
76.09,76.66,2025-11-13,76.67,810010,75.98
76.57,75.71,2025-11-14,77.14,1005183,75.71
77.96,76.9,2025-11-17,78.69,1516385,76.72
77.41,78.1,2025-11-18,78.26,636771,77.1
76.03,77.71,2025-11-19,77.75,1403886,75.67
76.9,76.05,2025-11-20,77.5,640675,76.05
75.57,76.9,2025-11-21,77.03,646161,75.32
74.27,75.1,2025-11-24,75.57,596444,74.0
76.08,74.28,2025-11-25,76.45,1224852,74.1
75.71,76.08,2025-11-26,76.83,769421,75.12
74.77,75.74,2025-11-27,76.15,254026,74.6
74.34,74.5,2025-11-28,75.06,395518,74.01
73.86,73.97,2025-12-01,74.59,334955,73.7
74.76,73.85,2025-12-02,76.0,1573379,73.1
74.79,74.05,2025-12-03,75.64,765158,74.05
74.41,75.0,2025-12-04,75.05,574247,73.7
73.48,73.92,2025-12-05,74.47,592569,73.2
75.42,74.6,2025-12-08,76.46,5776813,74.0
74.58,75.42,2025-12-09,75.47,1262203,73.8
73.73,74.0,2025-12-10,75.14,531389,73.51
75.33,73.73,2025-12-11,76.01,1085414,73.4
75.38,75.99,2025-12-12,76.24,1324287,74.9
74.88,75.44,2025-12-15,75.5,889812,74.22
77.47,75.59,2025-12-16,78.1,5401221,75.4
74.82,77.98,2025-12-17,78.0,841121,74.52
74.62,74.82,2025-12-18,75.6,552979,74.35
75.52,74.62,2025-12-19,75.82,600484,74.62
75.82,76.01,2025-12-22,76.18,472660,75.01
76.03,75.45,2025-12-23,76.35,569581,75.25
75.94,76.03,2025-12-24,76.39,454825,75.71
75.34,75.18,2025-12-26,75.99,297810,75.16
74.96,74.92,2025-12-29,75.46,427223,74.51
74.84,74.35,2025-12-30,75.3,385813,74.34
75.4,74.57,2025-12-31,76.0,570704,74.56
75.08,75.57,2026-01-01,75.66,171252,75.0
75.16,75.35,2026-01-02,75.51,713011,74.85
74.97,75.5,2026-01-05,75.62,502220,74.62
74.79,74.5,2026-01-06,75.16,461270,74.5
76.34,74.5,2026-01-07,77.6,2399738,74.5
79.52,76.8,2026-01-08,80.5,12076025,76.34
79.17,77.25,2026-01-09,79.5,3629446,75.72
78.01,79.17,2026-01-12,79.17,1128414,76.8
78.04,78.01,2026-01-13,78.24,694218,77.02
78.98,77.48,2026-01-14,79.34,829483,77.46
78.61,78.98,2026-01-16,79.56,821276,78.42
77.99,78.2,2026-01-19,78.52,929854,76.01
77.17,77.99,2026-01-20,78.13,1316938,76.54
77.0,77.17,2026-01-21,77.8,847973,76.25
77.43,76.1,2026-01-22,77.85,501225,76.06
77.0,78.0,2026-01-23,78.0,708310,76.75
76.88,77.0,2026-01-27,77.94,905615,76.3
77.01,76.49,2026-01-28,77.27,526947,76.49
78.08,77.02,2026-01-29,78.39,1673299,77.02
78.87,76.0,2026-01-30,79.9,4511876,73.44
79.5,77.4,2026-02-02,80.18,1648616,76.72
78.74,80.5,2026-02-03,80.51,2138276,76.5
78.38,79.56,2026-02-04,79.56,489393,77.5
77.3,78.0,2026-02-05,78.55,491395,77.01
77.68,77.3,2026-02-06,78.14,575878,77.3
79.14,77.75,2026-02-09,80.2,688400,77.44
77.84,79.5,2026-02-10,80.09,933229,77.4
77.54,78.09,2026-02-11,78.26,311284,77.39
77.04,77.59,2026-02-12,77.85,372065,76.6
76.24,76.15,2026-02-13,76.84,459545,75.3
76.01,75.51,2026-02-16,76.5,351672,75.5
76.5,75.65,2026-02-17,76.86,287568,75.65
76.5,76.46,2026-02-18,76.8,308606,76.21
76.07,76.21,2026-02-19,76.67,427460,75.7
76.92,75.71,2026-02-20,77.2,409724,75.57
76.17,76.92,2026-02-23,77.17,276445,76.01
76.5,75.58,2026-02-24,76.6,375491,75.51
76.44,76.5,2026-02-25,77.0,353822,76.0
76.48,76.07,2026-02-26,76.85,334331,76.0
75.09,76.48,2026-02-27,76.8,466039,74.69
73.8,70.1,2026-03-02,74.27,1699261,70.1
72.5,72.05,2026-03-04,73.38,1123528,71.88
72.59,72.52,2026-03-05,73.25,533511,71.59
71.67,72.12,2026-03-06,72.97,431893,71.0
70.0,70.0,2026-03-09,71.23,956695,67.85
71.19,70.81,2026-03-10,71.9,1934051,69.45
71.52,71.16,2026-03-11,72.01,1501664,71.05
70.06,71.0,2026-03-12,71.0,2862343,69.73
72.3,69.5,2026-03-13,77.0,22415727,69.02
71.65,72.22,2026-03-16,72.22,946484,70.71
71.59,71.62,2026-03-17,72.12,711999,71.33
71.57,71.6,2026-03-18,71.94,2560631,70.8
69.9,70.3,2026-03-19,70.6,945104,69.0
70.0,70.59,2026-03-20,71.66,489121,69.55
68.4,69.49,2026-03-23,71.01,785887,67.99
68.64,69.03,2026-03-24,69.9,723845,67.5
71.39,69.6,2026-03-25,73.6,1950415,69.33
69.93,70.32,2026-03-27,70.94,1102703,69.7
70.21,69.66,2026-03-30,70.77,2048627,68.37
72.36,73.2,2026-04-01,73.2,449868,71.0
72.59,71.6,2026-04-02,73.0,270449,70.0
73.19,72.59,2026-04-06,74.9,433729,71.56
72.85,72.8,2026-04-07,73.27,205404,72.0
73.36,75.22,2026-04-08,75.22,839267,71.8
73.45,73.36,2026-04-09,74.76,929863,72.42
73.67,73.87,2026-04-10,75.14,699828,73.3
74.31,72.0,2026-04-13,74.84,515575,71.86
76.17,75.0,2026-04-15,76.9,710685,74.78
78.5,76.9,2026-04-16,80.1,1484394,76.32
80.11,79.3,2026-04-17,80.43,1144063,78.6
77.61,79.98,2026-04-20,80.07,570623,77.15
80.68,77.49,2026-04-21,81.75,1604158,77.49
80.05,81.0,2026-04-22,81.81,603385,79.89
78.05,79.38,2026-04-23,80.27,676885,77.85
77.07,78.05,2026-04-24,78.55,321685,76.62
77.08,77.05,2026-04-27,77.99,447357,76.57
77.0,77.6,2026-04-28,77.8,903397,76.36
78.75,78.0,2026-04-29,81.23,1448908,77.77
78.32,79.0,2026-04-30,79.39,406333,77.51
79.31,81.0,2026-05-04,81.9,1012961,78.84
78.29,78.62,2026-05-05,79.35,1242377,77.68
78.76,78.79,2026-05-06,79.13,1186706,78.18
80.04,79.0,2026-05-07,80.9,824848,78.17
81.29,80.05,2026-05-08,81.8,3136498,79.75
84.31,84.4,2026-05-11,89.77,55629768,82.74
83.76,84.58,2026-05-12,84.88,9420371,82.21
82.75,83.0,2026-05-13,83.75,1845973,81.69
80.37,82.8,2026-05-14,83.2,1387097,80.0
79.83,80.44,2026-05-15,81.63,1083281,79.14
79.99,79.0,2026-05-18,80.27,851159,78.06
81.01,80.95,2026-05-19,83.14,1995124,79.69
81.51,80.76,2026-05-20,82.52,924877,80.0
83.62,82.0,2026-05-21,85.5,3956204,80.89
85.99,83.98,2026-05-22,86.46,5879278,83.71
83.96,86.0,2026-05-25,86.27,1557871,83.48
84.08,84.1,2026-05-26,85.0,569160,83.81
83.61,84.08,2026-05-27,84.49,761597,83.15
83.5,82.96,2026-05-29,85.25,1462589,82.9
84.5,84.8,2026-06-01,85.23,890669,83.57
84.03,84.5,2026-06-02,84.87,2197963,82.24
84.03,83.1,2026-06-03,85.04,727216,82.81
81.75,83.25,2026-06-04,83.64,459257,81.53
82.42,81.86,2026-06-05,84.23,859579,81.86
81.52,81.05,2026-06-08,82.67,512567,80.69
83.27,81.52,2026-06-09,83.96,882553,81.5
84.19,84.1,2026-06-10,85.27,1264146,83.21
82.97,83.35,2026-06-11,85.66,1074888,82.41
83.96,83.09,2026-06-12,84.86,788362,82.72
83.39,86.3,2026-06-15,86.91,2593391,82.5
84.3,84.45,2026-06-16,85.63,5760659,83.36
