close,open,date,high,volume,low
91.2,76.0,2024-08-09,91.2,525179173,76.0
109.44,97.0,2024-08-12,109.44,210295560,95.0
108.17,120.98,2024-08-13,129.4,365044065,105.21
110.9,110.0,2024-08-14,113.4,160539788,100.36
133.08,121.0,2024-08-16,133.08,338763140,117.0
146.38,139.39,2024-08-19,146.38,192359284,136.0
137.79,153.8,2024-08-20,157.4,309136273,132.65
138.05,143.0,2024-08-21,143.5,113015397,135.22
131.32,139.0,2024-08-22,139.0,107214397,126.05
126.26,131.0,2024-08-23,132.47,58941772,125.55
125.3,123.43,2024-08-26,132.7,162419382,118.6
127.53,126.0,2024-08-27,131.0,62973982,125.75
125.69,128.7,2024-08-28,129.19,36055940,125.0
120.28,125.95,2024-08-29,126.99,32236138,119.6
117.93,121.3,2024-08-30,122.97,39363549,117.11
114.93,118.5,2024-09-02,119.95,32100435,114.0
113.49,114.0,2024-09-03,119.3,34112725,112.66
110.8,112.55,2024-09-04,115.0,30257994,109.8
115.16,111.36,2024-09-05,119.17,88498741,110.33
109.57,111.1,2024-09-06,115.05,58560417,109.0
114.58,110.0,2024-09-09,116.2,93620725,103.5
115.5,114.8,2024-09-10,119.0,51113502,113.39
113.02,115.49,2024-09-11,116.5,44903854,109.86
112.64,114.6,2024-09-12,115.49,33770388,111.44
111.58,112.7,2024-09-13,114.25,18101301,111.0
107.6,112.0,2024-09-16,112.18,27173576,106.9
117.96,112.95,2024-09-17,118.36,163398289,110.26
116.95,118.0,2024-09-18,123.9,118683852,116.1
111.67,116.7,2024-09-19,117.49,61441099,109.5
110.99,113.0,2024-09-20,113.95,26659658,110.4
108.15,112.0,2024-09-23,112.4,30248266,107.5
104.05,108.15,2024-09-24,109.9,52943938,103.42
103.02,105.37,2024-09-25,107.5,54743574,101.4
103.49,105.79,2024-09-26,106.34,31139206,102.3
102.18,104.6,2024-09-27,104.87,36452821,101.0
99.62,101.71,2024-09-30,102.38,51879596,97.84
102.62,100.0,2024-10-01,103.49,61227119,99.15
99.26,100.0,2024-10-03,102.19,27994702,99.0
99.05,100.0,2024-10-04,100.0,43646598,95.39
90.82,99.9,2024-10-07,100.0,90107948,89.55
95.41,86.0,2024-10-08,96.78,113352923,86.0
95.78,95.32,2024-10-09,98.69,57074037,93.79
90.79,94.0,2024-10-10,95.17,49223674,90.0
90.2,91.0,2024-10-11,92.25,34321755,89.66
87.46,90.0,2024-10-14,90.5,36287243,87.15
89.51,88.79,2024-10-15,91.87,56875452,88.65
89.17,90.0,2024-10-16,90.39,20025845,88.62
87.57,89.39,2024-10-17,90.0,16578506,87.2
86.95,85.75,2024-10-18,88.0,25522239,85.02
81.65,87.19,2024-10-21,87.48,34971218,81.0
81.08,83.98,2024-10-22,85.29,41665695,80.5
81.76,81.2,2024-10-23,83.0,33119468,79.15
80.0,81.81,2024-10-24,82.1,17908438,79.77
77.29,80.05,2024-10-25,80.49,22420692,76.73
77.59,77.99,2024-10-28,80.5,31800879,77.12
76.32,77.7,2024-10-29,78.5,29301711,74.84
79.83,76.32,2024-10-30,80.67,47417740,75.08
80.88,80.0,2024-10-31,83.25,34098220,79.16
82.84,82.39,2024-11-01,83.65,7901472,82.01
80.84,84.45,2024-11-04,84.8,30671468,79.61
74.18,80.04,2024-11-05,80.29,89679787,73.84
74.4,75.41,2024-11-06,75.43,51882572,73.5
74.56,75.0,2024-11-07,78.25,55664096,74.07
72.72,74.92,2024-11-08,74.99,30134626,72.6
74.33,72.72,2024-11-11,77.6,98999523,70.55
74.29,75.2,2024-11-12,76.65,36932621,73.71
70.95,73.8,2024-11-13,74.19,29804499,70.55
70.12,71.04,2024-11-14,71.88,34166367,69.54
68.93,70.0,2024-11-18,70.9,38573962,68.1
69.32,68.99,2024-11-19,71.18,22429780,68.99
67.21,69.5,2024-11-21,69.7,29121532,66.86
69.14,67.21,2024-11-22,69.74,28730513,66.66
69.58,70.55,2024-11-25,72.3,21405109,69.3
73.42,69.58,2024-11-26,74.8,57391461,69.58
88.1,77.7,2024-11-27,88.1,244701933,75.26
92.99,90.65,2024-11-28,94.5,186599196,88.77
87.41,92.15,2024-11-29,92.49,76161884,86.7
93.29,84.11,2024-12-02,94.47,168055394,81.2
98.54,94.09,2024-12-03,101.78,236992751,92.51
98.36,98.75,2024-12-04,102.5,133838392,97.61
98.52,98.73,2024-12-05,100.2,76865512,95.48
95.91,96.9,2024-12-06,98.3,48472086,95.25
92.25,96.4,2024-12-09,97.0,40583292,91.5
94.57,92.25,2024-12-10,95.5,50853886,92.23
96.12,94.89,2024-12-11,98.13,66954410,93.01
93.99,96.12,2024-12-12,96.6,24825087,93.75
93.81,93.5,2024-12-13,94.88,29241541,93.0
96.8,93.81,2024-12-16,99.62,67357404,93.56
97.43,97.3,2024-12-17,100.4,47461145,96.91
96.42,97.95,2024-12-18,98.2,37709666,94.8
95.12,94.0,2024-12-19,96.39,26289361,93.15
93.67,95.6,2024-12-20,97.83,38323235,92.13
92.69,93.97,2024-12-23,95.24,30468393,92.1
93.98,93.4,2024-12-24,95.66,22492287,92.78
93.55,97.0,2024-12-26,99.95,69591245,93.1
89.93,93.85,2024-12-27,94.25,37601364,88.51
85.07,87.1,2024-12-30,88.08,37606547,84.5
85.73,85.19,2024-12-31,87.64,29578957,84.87
86.22,86.4,2025-01-01,86.67,16274841,85.25
84.71,86.24,2025-01-02,88.59,37564777,83.58
82.71,84.7,2025-01-03,85.11,30982641,82.26
77.95,82.8,2025-01-06,83.1,33396475,77.5
79.16,78.9,2025-01-07,81.18,30769069,78.55
