close,open,date,high,volume,low
155.24,145.0,2025-11-18,161.99,273389694,137.35
143.28,156.5,2025-11-19,161.0,160504001,138.54
141.93,140.76,2025-11-20,151.75,212737569,121.22
134.31,143.0,2025-11-21,149.59,162327758,128.55
129.52,133.0,2025-11-24,135.64,56559525,127.05
135.59,130.0,2025-11-25,138.19,90283295,129.5
131.89,136.5,2025-11-26,137.7,25053449,130.6
126.99,132.0,2025-11-27,133.39,18617289,125.0
124.89,126.99,2025-11-28,127.78,22042292,123.25
134.69,125.97,2025-12-01,144.2,188839751,123.3
136.76,134.75,2025-12-02,138.44,56375555,132.6
134.94,136.21,2025-12-03,139.0,29666762,130.51
135.86,136.29,2025-12-04,138.88,20817682,133.91
135.9,135.85,2025-12-05,137.0,10162538,134.52
138.44,135.39,2025-12-08,141.33,30171732,134.51
137.89,142.75,2025-12-09,145.6,82074266,135.0
131.83,137.0,2025-12-10,137.84,17891019,129.37
129.92,130.11,2025-12-11,131.25,13329935,128.0
135.99,130.5,2025-12-12,137.16,19793538,129.5
132.06,134.59,2025-12-15,137.47,17390346,129.5
137.4,132.2,2025-12-16,139.08,20588728,132.01
133.81,135.09,2025-12-17,138.5,8706574,132.5
130.88,134.6,2025-12-18,135.2,7255942,129.47
132.29,132.23,2025-12-19,134.81,10017807,130.05
137.17,133.9,2025-12-22,139.99,15555748,132.83
134.51,136.49,2025-12-23,136.74,4638684,133.63
132.45,134.5,2025-12-24,134.5,4903602,131.92
131.78,133.1,2025-12-26,133.75,4296717,130.74
130.79,132.0,2025-12-29,132.79,3904582,129.2
129.39,131.39,2025-12-30,131.82,4311502,127.88
132.81,129.01,2025-12-31,133.5,6734740,128.1
132.63,132.1,2026-01-01,134.3,2300067,131.7
131.12,132.5,2026-01-02,136.08,4678330,130.51
129.39,131.12,2026-01-05,131.67,2796481,128.0
129.03,129.97,2026-01-06,130.55,3207818,127.85
128.47,129.69,2026-01-07,130.2,3668336,127.5
128.48,128.55,2026-01-08,129.6,3818873,126.3
129.25,128.48,2026-01-09,132.48,7242665,127.16
128.64,128.0,2026-01-12,129.0,2280880,126.62
128.4,128.0,2026-01-13,130.68,1438224,128.0
131.2,129.06,2026-01-14,131.76,2927924,128.41
127.24,131.0,2026-01-16,131.0,2845140,126.5
121.3,127.37,2026-01-19,127.48,3474352,118.6
118.5,121.64,2026-01-20,121.64,12398348,112.0
113.82,119.0,2026-01-21,119.26,3587978,113.07
132.55,115.0,2026-01-22,136.5,55541695,114.71
126.5,130.0,2026-01-23,130.77,18584561,125.0
121.22,126.45,2026-01-27,126.45,5238991,119.25
124.92,121.3,2026-01-28,126.99,4518521,121.23
121.71,124.9,2026-01-29,126.0,2634666,120.55
119.45,121.01,2026-01-30,121.11,1974674,119.0
117.87,120.5,2026-02-02,120.56,1995890,115.8
119.41,121.98,2026-02-03,121.98,4042689,118.06
121.89,119.41,2026-02-04,124.21,4126189,117.36
121.56,122.73,2026-02-05,127.0,7835497,120.8
116.16,124.0,2026-02-06,124.0,12407107,114.26
114.74,118.0,2026-02-09,118.4,4610842,114.05
108.07,114.71,2026-02-10,115.2,13615028,106.9
107.38,108.95,2026-02-11,110.43,11803886,106.1
100.36,106.95,2026-02-12,106.95,16524925,99.55
107.33,100.69,2026-02-13,111.49,85349296,95.43
104.68,107.34,2026-02-16,108.6,11422872,103.21
104.22,104.2,2026-02-17,106.7,7247092,102.01
102.34,104.1,2026-02-18,104.81,4189285,101.2
99.73,102.59,2026-02-19,104.96,7357493,99.0
100.45,99.73,2026-02-20,102.64,10769523,96.9
97.01,102.75,2026-02-23,102.75,8177897,95.08
91.05,97.09,2026-02-24,97.28,22619964,88.62
91.8,91.5,2026-02-25,97.65,15798886,90.96
89.3,92.0,2026-02-26,92.09,10455142,88.1
86.57,89.25,2026-02-27,90.42,12421525,85.2
80.81,81.51,2026-03-02,83.86,10730877,80.28
79.56,79.99,2026-03-04,80.79,25962965,77.72
82.68,80.1,2026-03-05,84.12,19448469,78.69
82.99,82.48,2026-03-06,84.37,11032603,80.75
83.33,80.99,2026-03-09,85.0,10899991,78.81
83.31,83.5,2026-03-10,84.9,5270033,82.75
83.17,84.26,2026-03-11,85.12,4428311,82.25
84.29,83.31,2026-03-12,88.6,11193515,82.08
84.08,84.66,2026-03-13,85.4,4703833,83.06
83.72,84.2,2026-03-16,84.84,10408408,80.6
80.25,85.0,2026-03-17,85.05,4521133,79.4
86.82,80.8,2026-03-18,87.78,8315494,80.6
86.25,82.91,2026-03-19,88.08,11141960,82.65
89.95,86.93,2026-03-20,95.19,25398502,86.49
86.78,87.56,2026-03-23,88.76,9837397,84.59
87.72,89.71,2026-03-24,91.18,6007417,87.37
86.05,88.7,2026-03-25,89.75,8218541,85.3
89.5,86.05,2026-03-27,92.75,13034464,84.9
87.3,87.5,2026-03-30,88.79,5231885,85.5
89.0,87.98,2026-04-01,89.9,5192147,86.51
89.97,87.5,2026-04-02,90.5,2898130,85.95
93.03,89.02,2026-04-06,94.28,6482752,88.24
95.01,92.5,2026-04-07,95.8,3720032,91.32
99.05,97.99,2026-04-08,99.75,3712094,96.71
101.29,99.0,2026-04-09,103.88,5677738,98.05
101.8,102.05,2026-04-10,103.71,3439054,100.57
100.78,99.53,2026-04-13,102.59,3229500,98.5
105.41,102.0,2026-04-15,108.7,7595852,102.0
105.45,107.0,2026-04-16,107.15,3125308,104.06
108.32,105.89,2026-04-17,113.31,10204664,105.56
107.01,108.87,2026-04-20,110.0,2522704,106.11
109.29,108.99,2026-04-21,111.23,3320859,108.13
108.42,109.32,2026-04-22,110.27,1663433,108.1
107.44,108.47,2026-04-23,109.5,1318713,107.01
109.22,107.17,2026-04-24,110.5,4090624,106.01
107.31,110.01,2026-04-27,110.48,2103198,106.25
106.32,107.9,2026-04-28,108.83,1778296,106.0
110.64,106.69,2026-04-29,112.14,6614524,105.65
108.58,110.64,2026-04-30,110.97,1787149,107.76
109.41,109.55,2026-05-04,111.3,1706720,109.11
105.87,109.0,2026-05-05,109.86,2326879,105.3
108.2,106.82,2026-05-06,108.5,1540617,106.4
109.94,108.15,2026-05-07,111.78,4243896,108.06
108.53,109.01,2026-05-08,110.79,1463011,108.01
110.33,110.5,2026-05-11,115.7,14592242,108.4
107.65,111.04,2026-05-12,111.27,1989369,106.95
111.06,107.98,2026-05-13,111.5,3282175,106.35
112.6,112.0,2026-05-14,116.8,13130908,111.8
113.85,113.5,2026-05-15,118.9,11963782,111.38
110.37,111.11,2026-05-18,113.5,4611542,107.3
113.34,109.8,2026-05-19,114.8,4563431,107.8
112.55,113.5,2026-05-20,115.0,2585143,112.01
109.85,112.9,2026-05-21,113.98,2661414,109.0
109.62,109.8,2026-05-22,111.76,1772113,109.02
110.99,110.38,2026-05-25,112.5,1789741,109.75
112.03,111.23,2026-05-26,113.69,3896139,110.75
111.99,112.03,2026-05-27,112.8,1737050,111.2
106.72,114.51,2026-05-29,117.95,38188192,102.63
101.26,108.21,2026-06-01,109.0,6238557,99.75
96.79,100.05,2026-06-02,100.54,5518100,96.2
92.04,96.99,2026-06-03,96.99,7758600,91.01
106.46,91.0,2026-06-04,108.44,77354358,89.8
102.73,106.46,2026-06-05,107.35,12977786,101.25
105.53,101.0,2026-06-08,111.87,71696602,100.5
106.26,106.0,2026-06-09,107.62,8694879,103.15
