close,open,date,high,volume,low
23.95,23.5,2024-01-01,24.25,146057646,23.3
24.1,24.1,2024-01-02,24.45,148872594,23.3
25.95,24.1,2024-01-03,26.35,493391328,23.85
30.4,26.3,2024-01-04,31.0,773822956,25.9
31.4,31.35,2024-01-05,33.0,686804682,30.65
32.05,31.65,2024-01-08,33.15,190139992,30.8
31.3,32.5,2024-01-09,32.85,93350142,31.0
30.8,31.55,2024-01-10,32.2,81647238,30.0
31.1,31.5,2024-01-11,31.85,52230067,30.8
30.9,31.25,2024-01-12,31.3,39833184,30.5
30.8,31.05,2024-01-15,31.1,45263872,30.1
30.05,30.8,2024-01-16,31.55,89315314,29.15
29.85,29.55,2024-01-17,30.6,70734595,29.15
29.75,29.7,2024-01-18,30.25,66035062,27.95
29.55,29.8,2024-01-19,30.25,43979809,29.25
28.55,30.4,2024-01-23,30.6,61846576,28.3
29.6,28.55,2024-01-24,29.95,67606015,28.05
30.2,29.8,2024-01-25,30.8,68958463,29.5
30.1,30.35,2024-01-29,31.25,58502683,29.9
29.95,30.5,2024-01-30,30.9,36255569,29.9
28.0,28.45,2024-04-23,28.45,19235006,27.7
27.6,28.3,2024-04-24,28.35,17563089,27.5
27.5,27.85,2024-04-25,27.85,13686489,27.4
27.7,27.6,2024-04-26,28.15,14592264,27.5
27.55,28.0,2024-04-29,28.2,13965640,27.45
27.3,27.65,2024-04-30,28.3,16661509,27.1
26.95,27.35,2024-05-02,27.4,15166995,26.65
26.8,27.05,2024-05-03,27.45,13476771,26.65
25.85,26.6,2024-05-06,26.75,23460897,25.7
25.65,25.9,2024-05-07,26.6,19178047,25.25
25.75,25.65,2024-05-08,26.15,10632092,25.3
24.75,25.95,2024-05-09,25.95,14336815,24.5
24.95,24.65,2024-05-10,25.4,12484660,24.35
24.4,25.15,2024-05-13,25.15,18866047,23.9
25.6,24.6,2024-05-14,25.6,9464988,24.55
25.8,26.1,2024-05-15,26.6,19097211,25.65
25.85,26.15,2024-05-16,26.3,11829425,25.35
26.15,26.0,2024-05-17,26.4,10975985,25.85
26.1,26.35,2024-05-21,26.9,18423952,25.9
26.5,26.1,2024-05-22,27.4,26863677,26.1
26.4,26.65,2024-05-23,26.85,15284470,26.3
26.6,26.3,2024-05-24,27.3,23146605,26.15
25.3,26.05,2024-05-27,26.2,43927571,25.3
24.95,25.25,2024-05-28,25.5,19862818,24.5
25.2,24.95,2024-05-29,25.65,13254778,24.6
24.7,25.3,2024-05-30,25.3,11413532,24.6
24.55,24.85,2024-05-31,25.05,13944625,24.4
25.75,25.75,2024-06-03,25.75,26919726,25.2
24.5,25.45,2024-06-04,25.45,19131713,24.5
23.5,23.3,2024-06-05,23.95,42860301,23.3
24.55,24.05,2024-06-06,24.65,30501221,23.85
25.0,24.95,2024-06-07,25.55,22458559,24.5
26.08,25.35,2024-06-10,26.75,37086161,25.25
28.68,27.99,2024-06-11,28.68,140165379,27.15
31.54,29.7,2024-06-12,31.54,150557787,29.56
31.08,33.0,2024-06-13,33.11,199703725,30.56
31.32,31.28,2024-06-14,32.41,76469832,30.3
