close,open,date,high,volume,low
764.65,650.0,2024-12-18,780.0,46659166,650.0
736.4,737.0,2024-12-19,802.0,16050121,722.05
703.65,728.7,2024-12-20,748.0,8416898,693.1
710.55,705.0,2024-12-23,722.9,2626536,695.15
763.05,715.0,2024-12-24,771.7,4582941,703.4
746.05,783.1,2024-12-26,808.8,8617783,732.2
722.05,740.2,2024-12-27,755.1,2268580,715.1
746.4,722.05,2024-12-30,764.4,2403005,719.6
751.2,746.35,2024-12-31,773.0,1831465,734.65
758.0,751.25,2025-01-01,785.25,2207719,745.3
768.75,762.0,2025-01-02,777.0,2138913,737.75
779.9,773.0,2025-01-03,803.7,2654451,763.35
727.9,784.4,2025-01-06,784.4,2254973,720.55
731.25,731.9,2025-01-07,741.0,867017,723.3
729.7,733.95,2025-01-08,742.85,767227,724.0
728.8,729.0,2025-01-09,737.85,486442,721.35
719.65,725.3,2025-01-10,728.8,687304,700.05
709.85,702.2,2025-01-13,722.0,818775,696.3
729.05,705.0,2025-01-14,734.35,418137,705.0
710.35,718.95,2025-01-15,728.8,1193889,702.1
716.85,712.25,2025-01-16,728.35,356248,712.25
716.45,719.9,2025-01-17,724.55,219219,711.05
727.7,715.3,2025-01-20,734.0,234343,711.5
712.65,737.7,2025-01-21,746.7,496800,705.55
692.2,712.95,2025-01-22,717.65,475704,682.55
695.75,702.0,2025-01-23,708.4,297864,688.55
674.35,695.75,2025-01-24,697.55,302860,671.65
652.9,673.9,2025-01-27,673.9,655324,649.0
660.4,648.0,2025-01-28,663.0,386559,646.95
672.7,660.0,2025-01-29,683.1,93818,660.0
668.5,678.65,2025-01-30,682.45,156303,662.0
656.8,664.9,2025-01-31,673.45,211915,648.35
684.35,645.55,2025-02-03,692.0,480410,645.0
678.35,694.0,2025-02-04,699.0,163811,675.55
694.8,680.0,2025-02-05,704.4,244669,680.0
740.8,685.1,2025-02-06,747.0,1085179,685.1
750.6,735.0,2025-02-07,765.0,1786247,695.05
717.35,748.95,2025-02-10,753.0,362315,700.2
678.05,713.75,2025-02-11,717.95,314051,674.35
678.35,678.05,2025-02-12,687.9,953467,647.2
679.85,685.7,2025-02-13,699.55,162627,675.8
662.2,689.6,2025-02-14,689.6,288841,639.15
