close,open,date,high,volume,low
166.84,165.6,2024-07-26,167.99,2393031,165.01
169.17,167.7,2024-07-29,171.4,4699289,167.7
176.36,169.45,2024-07-30,177.25,11554301,168.81
174.27,177.25,2024-07-31,178.75,5361702,173.64
170.23,175.25,2024-08-01,175.25,3228875,169.9
166.35,168.25,2024-08-02,168.88,4253405,164.6
158.11,162.01,2024-08-05,163.85,5932555,156.98
154.9,160.0,2024-08-06,163.05,4300990,154.1
160.56,158.0,2024-08-07,161.1,3290503,155.9
160.2,161.3,2024-08-08,162.37,2464642,159.2
160.22,161.6,2024-08-09,163.0,2119759,159.1
160.3,160.0,2024-08-12,161.03,2641187,157.11
155.37,162.05,2024-08-13,162.8,4916746,155.0
152.76,156.9,2024-08-14,159.29,6093501,152.01
153.34,154.4,2024-08-16,157.25,3251237,153.0
161.49,154.2,2024-08-19,163.35,8422158,153.8
170.56,162.5,2024-08-20,173.4,19134016,161.17
174.5,170.89,2024-08-21,176.0,12501035,170.88
176.64,176.0,2024-08-22,179.3,8810552,174.65
170.5,176.64,2024-08-23,177.3,7105442,169.55
167.52,170.11,2024-08-26,170.8,5287138,165.5
167.41,168.25,2024-08-27,168.6,4166955,165.85
164.26,168.25,2024-08-28,168.69,3887359,163.22
162.58,164.7,2024-08-29,165.45,3427735,160.8
161.79,163.4,2024-08-30,164.9,3239660,161.1
160.94,162.6,2024-09-02,162.99,4339688,158.75
160.67,161.35,2024-09-03,164.6,4793532,160.0
159.78,159.0,2024-09-04,163.45,5577480,158.8
167.31,161.0,2024-09-05,168.01,8182127,160.95
161.83,167.99,2024-09-06,167.99,5145067,161.02
160.19,161.5,2024-09-09,161.82,4434292,157.51
162.36,160.7,2024-09-10,163.8,3175642,160.7
156.99,160.4,2024-09-11,163.15,5454872,156.4
161.01,158.56,2024-09-12,161.69,5674413,156.37
168.41,161.99,2024-09-13,173.12,19634376,160.75
163.59,169.8,2024-09-16,171.0,6894987,163.25
164.29,164.1,2024-09-17,166.32,6246845,162.56
