close,open,date,high,volume,low
403.85,412.0,2024-01-01,412.5,163037,402.55
399.4,404.0,2024-01-02,406.15,204156,395.95
400.8,401.0,2024-01-03,403.3,178537,394.35
407.95,402.0,2024-01-04,409.55,209462,402.0
414.15,411.0,2024-01-05,418.0,355939,408.8
411.65,410.0,2024-01-08,419.95,267183,408.8
409.1,415.45,2024-01-09,422.7,364412,405.35
436.9,414.05,2024-01-10,438.7,1133364,411.75
435.25,440.15,2024-01-11,445.05,545368,431.05
435.95,435.5,2024-01-12,449.0,457386,431.05
433.0,440.0,2024-01-15,441.25,272385,426.0
430.6,433.0,2024-01-16,435.7,236426,427.55
426.5,424.5,2024-01-17,431.0,298854,419.55
431.8,426.5,2024-01-18,435.0,318527,411.2
435.6,434.0,2024-01-19,440.8,345118,431.9
424.6,439.9,2024-01-23,457.0,1091071,410.9
435.25,425.05,2024-01-24,438.0,302615,418.8
464.1,435.4,2024-01-25,470.2,1130285,435.35
471.8,468.0,2024-01-29,495.0,1097425,468.0
470.15,477.8,2024-01-30,477.8,336667,465.1
472.0,470.95,2024-01-31,479.95,357368,463.2
472.15,471.0,2024-02-01,477.95,283114,461.1
462.85,476.0,2024-02-02,488.0,353090,453.3
475.3,460.9,2024-02-05,478.6,504175,454.05
516.85,479.1,2024-02-06,522.0,1593756,475.7
534.95,523.0,2024-02-07,547.7,1376715,516.0
551.9,535.0,2024-02-08,559.7,856620,535.0
594.8,620.0,2024-02-09,642.65,2906835,577.5
562.35,597.9,2024-02-12,597.9,833345,555.2
552.3,560.35,2024-02-13,568.0,350803,540.05
557.0,548.0,2024-02-14,567.0,518666,525.1
578.3,566.5,2024-02-15,589.0,271128,565.0
891.8,919.9,2024-05-21,920.5,248039,873.9
909.6,902.25,2024-05-22,929.3,228434,872.2
916.7,916.0,2024-05-23,955.05,272265,902.4
870.9,870.9,2024-05-24,870.9,60795,870.9
827.35,827.35,2024-05-27,827.35,49203,827.35
786.0,786.0,2024-05-28,786.0,41128,786.0
746.7,746.7,2024-05-29,746.7,46639,746.7
709.4,709.4,2024-05-30,709.4,95880,709.4
685.45,696.0,2024-05-31,724.4,2275217,673.95
719.7,719.7,2024-06-03,719.7,361654,700.4
