close,open,date,high,volume,low
456.0,420.0,2024-11-13,465.8,112960103,391.0
430.7,473.15,2024-11-14,489.4,56141395,418.6
420.1,416.1,2024-11-18,438.7,28579217,410.4
412.45,424.0,2024-11-19,430.9,12463968,408.85
416.85,409.0,2024-11-21,423.7,11443031,402.0
416.6,414.2,2024-11-22,419.75,3942312,410.0
430.7,418.8,2024-11-25,441.4,11690777,417.2
461.9,443.0,2024-11-26,471.0,15942914,438.9
499.05,468.0,2024-11-27,508.0,40301929,465.55
491.5,507.4,2024-11-28,517.0,14951742,481.05
470.75,489.95,2024-11-29,493.5,16060894,454.6
493.7,472.0,2024-12-02,503.65,10286055,464.35
501.85,505.0,2024-12-03,541.95,26879359,486.05
517.8,510.0,2024-12-04,534.8,19112635,509.85
540.0,519.7,2024-12-05,576.7,47711029,511.0
544.7,540.0,2024-12-06,552.8,13655139,530.05
536.85,545.65,2024-12-09,547.75,9929104,528.6
543.75,560.0,2024-12-10,567.9,11833298,540.0
522.55,527.0,2024-12-11,530.85,14344375,516.5
504.3,522.0,2024-12-12,524.85,8538402,501.0
532.35,506.2,2024-12-13,536.7,15929277,504.3
596.35,538.0,2024-12-16,612.4,48167926,533.0
586.4,590.0,2024-12-17,613.4,39259581,580.8
577.35,589.0,2024-12-18,605.25,20125575,572.1
582.2,570.0,2024-12-19,598.0,19658494,568.25
597.45,588.0,2024-12-20,608.8,20480867,586.4
583.65,605.3,2024-12-23,617.3,21999304,578.25
568.1,589.0,2024-12-24,594.0,11010976,561.1
559.05,571.9,2024-12-26,575.8,7705705,555.2
545.95,563.0,2024-12-27,564.0,5812587,541.25
550.65,548.0,2024-12-30,568.0,7669754,542.0
540.9,552.0,2024-12-31,561.0,5400223,535.2
542.35,544.25,2025-01-01,554.4,4500187,538.2
556.45,545.1,2025-01-02,558.0,6483910,539.35
541.45,557.0,2025-01-03,558.85,6023536,540.0
532.1,544.4,2025-01-06,546.55,7196227,520.2
509.25,538.0,2025-01-07,538.0,12034803,505.15
490.6,514.9,2025-01-08,515.2,9326257,486.2
507.5,505.15,2025-01-09,521.4,14972600,497.05
492.3,504.0,2025-01-10,505.9,5638811,488.55
463.1,481.15,2025-01-13,487.9,8311612,458.3
464.55,465.2,2025-01-14,481.45,8019502,460.1
487.3,474.0,2025-01-15,494.4,11912348,470.05
483.0,505.0,2025-01-16,514.8,10078943,479.0
473.1,483.5,2025-01-17,489.5,6245233,467.2
479.2,475.7,2025-01-20,483.75,6636117,464.45
440.45,470.0,2025-01-21,471.3,19799027,427.05
433.7,441.0,2025-01-22,445.45,17727617,413.6
460.9,434.5,2025-01-23,465.0,13375717,433.9
449.05,463.2,2025-01-24,463.9,12225785,441.0
410.05,442.0,2025-01-27,443.45,12806362,405.35
410.95,414.25,2025-01-28,418.55,17253887,389.05
428.2,412.0,2025-01-29,429.95,11860436,406.75
404.75,428.0,2025-01-30,428.5,10278807,402.5
416.1,410.9,2025-01-31,420.45,5141139,408.4
458.4,431.0,2025-02-03,463.0,17169683,421.0
434.05,458.0,2025-02-04,458.0,10441964,428.45
418.05,426.0,2025-02-05,430.5,15784590,414.3
388.7,391.0,2025-02-06,410.9,41230291,385.25
380.65,395.0,2025-02-07,397.25,23290096,375.0
362.1,378.0,2025-02-10,378.25,31887879,359.0
333.35,370.0,2025-02-11,370.2,28185478,330.0
341.4,336.4,2025-02-12,352.95,36471242,326.2
365.5,348.0,2025-02-13,369.0,22899285,343.05
340.75,364.0,2025-02-14,364.0,27954447,325.3
338.25,337.5,2025-02-17,354.8,16573200,333.5
347.9,338.25,2025-02-18,349.85,13628374,328.4
377.4,340.0,2025-02-19,383.5,27576813,339.55
373.6,370.5,2025-02-20,386.75,15403371,367.75
360.55,371.7,2025-02-21,374.8,16859588,354.0
364.65,354.0,2025-02-24,368.0,12371636,348.35
355.1,363.05,2025-02-25,364.65,9161306,350.4
344.45,360.0,2025-02-27,360.0,6110777,341.0
334.65,340.0,2025-02-28,354.5,11985216,331.05
326.3,342.25,2025-03-03,342.25,13176398,317.0
350.05,324.0,2025-03-04,352.0,18340203,322.15
358.5,346.35,2025-03-05,360.0,10126052,343.5
362.55,360.0,2025-03-06,377.3,12135517,359.05
360.95,360.0,2025-03-07,368.75,9381165,353.55
359.65,368.8,2025-03-10,368.8,6193973,354.25
352.85,354.0,2025-03-11,354.75,3699313,347.3
348.8,355.95,2025-03-12,360.6,7809856,346.45
353.2,353.0,2025-03-13,357.85,4894809,343.7
