close,open,date,high,volume,low
330.5,330.0,2025-10-13,333.0,117611923,326.25
319.8,330.5,2025-10-14,331.9,28551748,319.05
329.7,320.0,2025-10-15,330.8,15881677,320.0
335.1,330.0,2025-10-16,336.0,19938421,329.7
330.7,335.1,2025-10-17,336.65,7576158,329.4
325.35,330.75,2025-10-20,331.65,5691141,323.95
329.95,326.0,2025-10-21,331.35,3052727,326.0
325.05,329.55,2025-10-23,330.0,9542377,324.45
324.15,324.5,2025-10-24,327.7,4136601,323.4
328.9,325.0,2025-10-27,330.45,5948900,324.9
331.1,328.9,2025-10-28,333.7,6925054,327.6
326.4,331.9,2025-10-29,331.9,6776721,325.8
326.95,325.4,2025-10-30,327.8,2482953,324.85
327.3,330.0,2025-10-31,330.0,3745921,325.3
328.8,325.6,2025-11-03,331.5,4791323,325.25
329.3,326.4,2025-11-04,330.7,6353144,326.4
326.45,327.65,2025-11-06,328.15,3528292,325.0
322.85,325.1,2025-11-07,326.0,5369467,320.3
324.75,322.0,2025-11-10,325.95,3851564,318.35
325.65,324.0,2025-11-11,326.25,3341820,321.2
325.2,325.75,2025-11-12,326.25,2278725,323.6
323.8,325.0,2025-11-13,327.5,3583700,322.95
325.5,324.0,2025-11-14,325.95,2102955,322.45
325.0,325.0,2025-11-17,325.7,2148716,324.45
320.95,324.0,2025-11-18,324.9,1522492,320.05
320.25,322.4,2025-11-19,323.35,4399133,317.95
318.6,320.95,2025-11-20,321.45,2060273,317.8
316.9,318.6,2025-11-21,319.4,1648418,315.1
319.05,316.8,2025-11-24,323.75,3567815,316.5
325.0,319.65,2025-11-25,326.5,2021744,319.65
324.55,325.95,2025-11-26,327.9,2150276,323.6
324.8,324.95,2025-11-27,326.95,875769,323.6
327.9,324.0,2025-11-28,330.9,6654492,324.0
323.0,327.0,2025-12-01,327.7,1231244,322.1
321.9,322.95,2025-12-02,324.4,1073653,320.7
322.5,321.05,2025-12-03,323.35,1395851,319.9
322.05,321.05,2025-12-04,323.0,976548,321.05
325.45,322.05,2025-12-05,328.0,2089846,322.05
323.0,326.4,2025-12-08,327.8,1449370,321.5
326.6,323.05,2025-12-09,327.05,1778391,320.15
324.95,326.85,2025-12-10,328.8,2158014,323.85
326.05,323.4,2025-12-11,326.75,864045,323.4
324.55,325.6,2025-12-12,327.5,906335,323.65
322.75,322.95,2025-12-15,324.0,657989,321.3
326.2,322.05,2025-12-16,329.3,2148243,322.0
326.25,325.0,2025-12-17,329.0,1310814,325.0
324.45,325.0,2025-12-18,325.95,653844,322.55
324.0,324.0,2025-12-19,325.1,836210,322.15
330.0,324.05,2025-12-22,332.0,4956599,324.05
344.0,330.0,2025-12-23,348.3,12132606,329.15
343.3,345.95,2025-12-24,355.0,11070026,341.6
338.55,343.3,2025-12-26,348.0,3034410,337.5
337.6,338.5,2025-12-29,339.5,5947294,332.1
336.65,337.3,2025-12-30,339.4,1680093,334.2
341.85,335.15,2025-12-31,345.0,4313176,335.0
340.45,343.85,2026-01-01,344.45,1314541,339.3
359.1,340.05,2026-01-02,361.8,10963849,340.05
359.6,360.0,2026-01-05,363.15,4930911,353.0
361.55,359.6,2026-01-06,363.0,4214770,356.0
360.6,358.05,2026-01-07,363.0,11493921,354.4
354.5,359.0,2026-01-08,364.5,5301211,353.0
360.0,353.0,2026-01-09,363.9,4344338,351.65
349.05,359.9,2026-01-12,359.9,5979515,346.05
348.65,352.1,2026-01-13,356.9,2272648,347.6
354.9,348.7,2026-01-14,358.0,2607337,348.65
