close,open,date,high,volume,low
490.8,505.0,2025-11-19,517.0,101572434,480.1
480.15,499.0,2025-11-20,513.0,21203762,478.5
475.85,473.0,2025-11-21,489.0,7262990,470.85
496.75,476.7,2025-11-24,504.0,10791518,473.9
501.15,498.0,2025-11-25,504.8,5600010,489.75
490.75,504.0,2025-11-26,513.0,5022364,482.0
490.4,491.25,2025-11-27,504.0,2810553,488.3
483.95,491.0,2025-11-28,497.3,2582800,482.0
477.15,485.45,2025-12-01,488.3,1507233,474.5
487.75,475.95,2025-12-02,491.95,2774396,464.1
492.6,488.2,2025-12-03,497.65,2436232,482.1
490.2,491.9,2025-12-04,502.95,1867762,487.0
490.15,492.0,2025-12-05,497.0,2311434,488.6
491.35,490.15,2025-12-08,495.5,1651206,489.05
491.65,485.0,2025-12-09,499.85,1990862,477.9
473.9,491.7,2025-12-10,498.75,1083095,470.0
475.0,474.95,2025-12-11,480.0,817058,470.0
473.0,477.0,2025-12-12,483.7,561582,471.0
460.2,470.0,2025-12-15,475.6,927201,454.7
460.1,460.2,2025-12-16,467.4,1310471,447.45
443.95,456.0,2025-12-17,459.0,1943682,440.5
469.85,443.95,2025-12-18,473.95,3812788,438.05
482.15,469.3,2025-12-19,485.0,1153059,463.7
478.0,480.1,2025-12-22,484.45,584466,474.25
497.75,477.85,2025-12-23,507.9,3116627,474.0
495.75,495.6,2025-12-24,507.35,1360987,492.85
516.45,498.55,2025-12-26,522.5,4612061,496.3
501.0,521.0,2025-12-29,521.75,816313,500.0
503.0,503.3,2025-12-30,512.85,718658,501.0
507.9,504.65,2025-12-31,511.5,474586,500.5
505.0,508.3,2026-01-01,523.95,1991982,503.3
543.95,509.0,2026-01-02,549.0,6677506,507.8
544.05,543.9,2026-01-05,556.4,2363291,533.35
516.55,547.0,2026-01-06,547.8,1488821,513.0
520.6,520.2,2026-01-07,529.8,1225286,506.9
531.45,521.6,2026-01-08,537.5,1403714,521.6
516.0,531.45,2026-01-09,531.85,624948,514.05
525.45,517.6,2026-01-12,528.6,981569,503.75
534.75,530.95,2026-01-13,540.0,711867,526.05
533.1,534.0,2026-01-14,539.5,719949,528.9
518.9,529.25,2026-01-16,532.95,627130,515.9
514.05,512.6,2026-01-19,527.45,350902,507.0
494.1,509.5,2026-01-20,518.0,781340,488.85
493.2,490.1,2026-01-21,500.1,514775,480.1
527.45,500.0,2026-01-22,532.6,1143352,496.25
511.9,523.75,2026-01-23,528.2,804833,507.6
509.9,518.3,2026-01-27,518.3,585805,504.1
504.1,512.45,2026-01-28,517.35,275662,501.9
515.5,501.3,2026-01-29,517.65,411150,501.0
522.15,507.0,2026-01-30,526.1,357073,506.45
528.5,505.6,2026-02-02,532.85,491868,505.6
534.2,550.0,2026-02-03,555.2,1128540,520.2
559.85,539.9,2026-02-04,568.4,1499558,535.45
549.1,559.85,2026-02-05,567.0,580535,545.55
543.5,545.0,2026-02-06,557.45,386380,537.65
568.3,544.1,2026-02-09,570.25,642506,544.1
581.9,566.55,2026-02-10,589.8,771304,558.3
571.4,581.0,2026-02-11,583.7,728753,562.0
576.15,572.0,2026-02-12,580.9,495164,566.75
560.5,575.0,2026-02-13,576.45,400493,551.3
548.0,550.0,2026-02-16,557.4,1142097,523.0
549.8,551.9,2026-02-17,563.0,1334623,544.6
553.65,551.05,2026-02-18,558.45,415761,538.75
543.5,555.1,2026-02-19,556.85,221787,540.05
552.7,542.7,2026-02-20,556.95,244765,540.0
574.95,557.9,2026-02-23,585.75,620564,554.85
565.6,577.0,2026-02-24,578.9,274335,561.5
589.4,571.6,2026-02-25,595.0,963993,568.15
592.65,593.85,2026-02-26,602.0,456887,587.85
581.3,592.65,2026-02-27,600.0,547379,575.0
558.85,551.3,2026-03-02,571.6,517293,549.0
548.55,548.05,2026-03-04,553.45,397965,543.35
540.35,556.85,2026-03-05,556.85,582952,526.4
547.2,540.0,2026-03-06,551.3,434732,538.5
522.1,527.0,2026-03-09,536.0,344298,515.4
544.4,532.0,2026-03-10,551.7,421657,528.0
528.15,549.0,2026-03-11,549.0,710395,522.6
535.45,529.0,2026-03-12,539.0,542969,509.0
513.1,532.8,2026-03-13,532.8,362574,507.95
527.9,502.55,2026-03-16,531.95,381299,502.55
526.4,535.25,2026-03-17,537.0,215782,522.55
553.5,529.95,2026-03-18,561.85,602040,528.2
542.35,542.5,2026-03-19,564.75,584828,532.0
546.5,550.0,2026-03-20,550.0,294561,536.35
536.4,540.0,2026-03-23,541.4,292503,524.7
531.35,550.85,2026-03-24,551.75,934257,528.1
526.3,532.3,2026-03-25,537.3,904829,518.9
531.85,528.85,2026-03-27,541.6,1241907,519.45
515.1,522.7,2026-03-30,530.0,368985,508.3
531.15,540.0,2026-04-01,548.4,658692,524.0
531.45,528.0,2026-04-02,534.9,297100,516.0
528.65,525.1,2026-04-06,533.95,494872,523.5
546.55,528.65,2026-04-07,553.0,922265,520.05
568.4,558.8,2026-04-08,578.4,508954,557.0
555.95,563.6,2026-04-09,566.75,421834,548.25
561.45,563.8,2026-04-10,569.4,317869,556.2
558.95,555.0,2026-04-13,564.95,317433,545.25
571.65,570.0,2026-04-15,581.25,548393,562.15
582.6,579.9,2026-04-16,594.0,880696,567.55
591.7,580.5,2026-04-17,604.95,691742,579.2
595.9,594.0,2026-04-20,609.6,703090,581.75
592.25,599.0,2026-04-21,607.1,416403,588.75
591.5,597.0,2026-04-22,601.5,526062,584.1
572.55,587.05,2026-04-23,590.3,384177,570.1
553.85,573.0,2026-04-24,573.05,405886,551.35
565.35,555.95,2026-04-27,571.0,569144,555.95
566.15,569.9,2026-04-28,571.9,333671,556.0
