close,open,date,high,volume,low
435.55,406.0,2025-06-02,438.9,13347851,405.0
435.2,431.2,2025-06-03,436.85,2669763,415.3
435.15,435.9,2025-06-04,439.9,1352157,428.8
431.65,433.1,2025-06-05,436.5,618715,430.1
432.45,431.6,2025-06-06,434.45,653521,425.65
434.75,430.0,2025-06-09,435.5,885336,427.25
424.3,435.0,2025-06-10,435.4,521610,422.1
417.05,428.9,2025-06-11,428.9,638756,413.1
412.55,417.75,2025-06-12,418.35,246864,410.0
402.35,400.0,2025-06-13,408.4,450851,393.45
400.05,402.0,2025-06-16,403.0,351660,388.8
409.75,399.9,2025-06-17,411.3,446213,398.1
397.65,409.75,2025-06-18,409.75,267496,392.3
390.2,397.65,2025-06-19,398.0,568653,382.5
393.5,390.1,2025-06-20,395.0,387484,388.5
389.35,387.0,2025-06-23,390.4,244936,384.0
400.95,389.35,2025-06-24,403.0,264767,389.35
405.05,400.95,2025-06-25,406.0,284019,397.95
402.6,405.95,2025-06-26,406.05,159147,399.55
410.15,404.7,2025-06-27,411.65,234441,398.5
405.15,406.0,2025-06-30,408.9,928189,396.55
405.15,405.45,2025-07-01,408.2,345252,401.0
408.75,404.95,2025-07-02,410.0,272324,401.6
408.7,405.0,2025-07-03,412.5,493471,404.0
401.6,409.1,2025-07-04,409.5,77098,400.0
406.55,398.0,2025-07-07,409.0,224799,398.0
427.8,412.5,2025-07-08,430.0,1715672,406.55
432.05,432.05,2025-07-09,434.0,640994,421.0
438.8,434.0,2025-07-10,443.0,1558879,429.15
434.85,439.15,2025-07-11,443.3,537148,431.95
436.15,436.95,2025-07-14,439.4,394487,430.0
435.3,432.0,2025-07-15,441.9,520869,431.8
452.0,434.85,2025-07-16,454.0,1620138,433.95
451.6,452.05,2025-07-17,458.9,1334429,446.65
461.0,450.0,2025-07-18,463.0,1105101,444.55
458.95,460.0,2025-07-21,460.5,697027,452.05
449.6,456.2,2025-07-22,463.95,2430147,434.45
465.4,454.5,2025-07-23,474.4,2574898,453.05
447.3,470.0,2025-07-24,474.0,572167,446.0
445.05,448.0,2025-07-25,454.0,519556,438.8
427.25,445.0,2025-07-28,448.6,323017,425.0
418.4,422.0,2025-07-29,430.85,283827,413.05
422.7,419.95,2025-07-30,426.75,106559,417.65
413.8,418.0,2025-07-31,423.95,154822,410.4
413.45,413.1,2025-08-01,421.55,135456,410.1
425.35,417.9,2025-08-04,428.5,155337,413.1
426.25,424.0,2025-08-05,428.65,241718,420.75
420.55,426.0,2025-08-06,427.5,513593,415.0
429.2,416.0,2025-08-07,429.95,136289,416.0
434.65,428.9,2025-08-08,442.3,327627,424.0
427.6,430.65,2025-08-11,432.8,144988,425.7
432.25,427.9,2025-08-12,441.0,276326,427.9
437.4,430.3,2025-08-13,439.8,158442,430.3
439.2,436.95,2025-08-14,441.0,144649,434.8
442.5,438.05,2025-08-18,446.0,246506,438.05
441.9,442.0,2025-08-19,448.75,253021,440.1
434.25,440.05,2025-08-20,449.5,216018,432.0
426.0,434.25,2025-08-21,436.4,236847,425.15
420.65,424.9,2025-08-22,425.0,252774,418.0
417.5,421.0,2025-08-25,423.6,178667,413.3
409.55,417.5,2025-08-26,418.0,128707,405.65
396.65,405.5,2025-08-28,406.0,460425,395.15
399.45,400.0,2025-08-29,407.25,431294,392.6
405.3,399.0,2025-09-01,410.15,542011,392.0
419.2,411.0,2025-09-02,421.3,348490,405.3
412.6,419.2,2025-09-03,420.0,87302,411.45
411.15,412.0,2025-09-04,422.35,109551,410.0
410.8,410.0,2025-09-05,417.95,84959,404.05
404.2,411.95,2025-09-08,414.0,84973,403.15
400.5,405.95,2025-09-09,408.05,73253,399.0
416.55,404.95,2025-09-10,419.0,330700,400.0
410.95,416.8,2025-09-11,424.7,145773,409.1
419.6,411.95,2025-09-12,432.5,390762,410.5
419.65,418.95,2025-09-15,424.65,1931404,409.0
413.0,421.9,2025-09-16,421.9,887586,409.55
428.0,413.0,2025-09-17,428.9,1648107,411.4
423.25,428.0,2025-09-18,434.75,394188,420.05
419.75,428.7,2025-09-19,431.0,185567,418.35
432.0,421.45,2025-09-22,434.8,1208690,412.45
437.45,431.05,2025-09-23,445.85,783363,425.05
430.4,439.0,2025-09-24,439.55,250572,428.25
431.05,430.0,2025-09-25,439.1,226868,430.0
419.45,428.25,2025-09-26,431.8,149704,417.5
414.9,424.8,2025-09-29,424.8,1143573,403.65
413.0,414.9,2025-09-30,419.4,357523,404.0
431.8,417.95,2025-10-01,434.6,404508,413.7
431.55,431.95,2025-10-03,434.0,666275,423.0
425.65,435.0,2025-10-06,439.0,292304,424.35
419.9,430.0,2025-10-07,430.0,212543,417.15
430.1,419.9,2025-10-08,432.0,168958,418.95
446.05,433.0,2025-10-09,449.0,738679,426.5
452.85,448.5,2025-10-10,457.0,1116213,443.9
465.4,449.9,2025-10-13,472.0,1685998,446.25
438.95,469.0,2025-10-14,473.95,4111860,427.45
440.65,446.75,2025-10-15,448.65,1649792,430.7
438.8,440.95,2025-10-16,456.8,994268,437.0
441.65,439.6,2025-10-17,449.8,288308,438.4
437.9,441.65,2025-10-20,442.05,284301,434.25
440.3,441.7,2025-10-21,442.85,65836,437.75
435.25,440.7,2025-10-23,446.55,314904,433.2
428.7,438.0,2025-10-24,438.8,314217,427.5
432.55,429.45,2025-10-27,436.05,262502,426.35
428.65,435.2,2025-10-28,435.9,216634,425.95
428.7,428.65,2025-10-29,433.45,1037776,422.3
436.25,429.15,2025-10-30,441.15,904269,419.85
433.7,430.1,2025-10-31,445.0,459389,430.1
435.95,431.3,2025-11-03,441.7,180487,429.0
440.25,439.0,2025-11-04,443.7,442445,435.75
421.9,437.0,2025-11-06,437.8,450031,416.0
436.6,415.05,2025-11-07,439.9,400791,413.55
438.7,436.25,2025-11-10,442.0,265694,425.15
431.5,431.05,2025-11-11,437.85,178993,427.1
432.3,431.0,2025-11-12,435.1,729884,428.05
435.7,433.0,2025-11-13,440.55,573794,432.8
428.4,438.7,2025-11-14,438.7,110719,426.1
437.9,435.0,2025-11-17,440.0,237384,431.4
430.8,438.95,2025-11-18,448.0,340462,427.35
426.8,430.0,2025-11-19,430.5,244835,422.0
427.3,426.8,2025-11-20,431.65,149056,425.0
417.0,427.4,2025-11-21,427.45,336387,415.6
402.6,418.85,2025-11-24,421.0,2643462,394.75
409.55,396.0,2025-11-25,414.15,359661,396.0
414.25,413.7,2025-11-26,416.8,231642,404.55
416.25,417.95,2025-11-27,419.35,129513,409.6
411.75,415.2,2025-11-28,415.2,252806,406.5
416.75,412.05,2025-12-01,419.0,68123,410.55
415.15,419.5,2025-12-02,419.5,106028,410.5
404.65,412.55,2025-12-03,418.0,207555,403.2
404.25,404.65,2025-12-04,409.2,39747,401.4
397.75,404.25,2025-12-05,404.3,82731,395.2
389.65,398.9,2025-12-08,399.05,132247,387.6
391.95,389.65,2025-12-09,399.0,93298,384.5
390.5,389.0,2025-12-10,404.35,219899,389.0
391.45,390.95,2025-12-11,393.0,51484,386.5
397.65,394.0,2025-12-12,402.35,344260,390.6
395.2,394.6,2025-12-15,398.0,85222,393.25
414.0,398.7,2025-12-16,417.0,403671,394.05
410.15,414.05,2025-12-17,414.5,116798,406.05
413.15,416.6,2025-12-18,420.4,150783,406.25
411.8,407.95,2025-12-19,418.5,317102,407.95
413.35,412.0,2025-12-22,416.5,158640,406.6
418.75,413.35,2025-12-23,420.9,110443,411.25
420.95,417.9,2025-12-24,423.65,105299,415.0
434.7,424.0,2025-12-26,442.3,543010,419.2
424.7,436.35,2025-12-29,438.55,135946,422.15
433.55,423.0,2025-12-30,438.1,284942,415.8
433.55,433.55,2025-12-31,437.0,120894,427.15
434.65,433.3,2026-01-01,435.4,32712,430.85
445.15,434.65,2026-01-02,451.0,477180,433.95
433.15,445.15,2026-01-05,452.95,375482,430.15
419.95,431.0,2026-01-06,431.0,651187,417.05
420.95,419.95,2026-01-07,424.0,170546,418.55
418.55,422.0,2026-01-08,429.7,107400,418.0
428.9,419.0,2026-01-09,434.8,287618,415.25
432.8,421.0,2026-01-12,436.3,248693,416.2
439.6,433.3,2026-01-13,446.95,342464,433.3
452.25,439.0,2026-01-14,454.0,522823,435.65
441.1,452.0,2026-01-16,471.0,2480190,438.0
439.45,444.55,2026-01-19,445.85,459916,423.0
418.85,436.95,2026-01-20,436.95,731741,410.8
409.55,418.85,2026-01-21,427.55,651561,401.5
405.4,410.0,2026-01-22,413.4,152265,402.15
408.05,413.85,2026-01-23,413.85,123819,402.25
409.5,407.0,2026-01-27,414.2,350572,396.0
406.45,409.5,2026-01-28,414.05,145816,405.3
401.5,406.45,2026-01-29,407.7,1385204,397.85
421.0,399.0,2026-01-30,424.0,2561815,398.8
429.95,430.95,2026-02-02,433.0,138200,415.0
447.7,432.75,2026-02-03,449.9,365956,428.8
444.05,444.95,2026-02-04,450.55,307701,437.75
435.85,435.7,2026-02-05,446.4,135225,434.0
433.7,430.2,2026-02-06,435.5,129707,423.5
442.8,434.05,2026-02-09,444.0,113922,428.8
443.7,442.8,2026-02-10,450.95,269768,432.6
452.7,448.1,2026-02-11,453.75,401289,441.0
447.3,452.7,2026-02-12,453.6,210576,436.05
445.25,440.2,2026-02-13,452.0,231036,436.1
437.75,445.25,2026-02-16,447.9,89761,432.05
441.3,437.75,2026-02-17,443.0,49379,434.15
442.0,444.0,2026-02-18,445.6,92045,436.0
434.85,438.8,2026-02-19,442.4,88033,432.5
435.45,434.85,2026-02-20,440.25,78820,430.0
437.25,434.0,2026-02-23,438.6,46123,432.05
437.8,430.0,2026-02-24,440.3,70834,430.0
439.9,441.0,2026-02-25,442.95,52629,436.3
441.0,442.0,2026-02-26,445.45,71675,438.6
453.55,450.0,2026-02-27,465.6,340643,430.2
442.45,433.1,2026-03-02,453.55,339353,430.0
437.7,436.05,2026-03-04,446.85,243577,430.0
433.0,438.0,2026-03-05,440.05,217202,430.75
433.85,425.0,2026-03-06,435.0,90462,425.0
432.25,426.45,2026-03-09,442.0,185745,414.0
427.55,438.4,2026-03-10,438.4,236926,423.1
436.3,432.0,2026-03-11,440.95,380728,421.25
435.45,429.75,2026-03-12,440.0,216740,415.3
432.2,423.0,2026-03-13,434.9,194669,421.05
415.9,427.0,2026-03-16,432.05,275535,413.45
407.85,415.95,2026-03-17,419.6,375020,403.25
410.9,415.0,2026-03-18,415.0,363468,405.85
407.4,410.9,2026-03-19,419.05,261820,404.6
399.3,414.4,2026-03-20,414.4,182898,395.1
393.75,390.0,2026-03-23,402.95,202434,385.1
405.15,415.0,2026-03-24,415.0,398606,392.55
414.75,399.8,2026-03-25,417.0,840887,398.45
406.2,413.95,2026-03-27,418.9,227612,399.85
409.6,400.0,2026-03-30,412.45,163778,390.0
417.15,409.8,2026-04-01,419.75,156086,409.8
415.9,411.05,2026-04-02,417.9,72436,407.0
414.4,406.8,2026-04-06,418.0,76111,406.8
414.1,410.0,2026-04-07,424.0,276417,410.0
428.85,430.0,2026-04-08,441.8,740682,423.0
424.95,415.0,2026-04-09,431.95,82764,415.0
429.6,425.7,2026-04-10,433.95,476525,424.55
429.8,420.0,2026-04-13,433.95,130980,420.0
429.85,435.0,2026-04-15,438.0,242910,426.5
427.95,432.0,2026-04-16,432.0,94227,426.05
426.9,424.0,2026-04-17,430.05,54469,423.9
429.65,423.0,2026-04-20,432.0,55945,421.3
434.85,434.95,2026-04-21,438.0,81728,429.4
432.55,440.0,2026-04-22,442.75,173548,429.45
434.95,433.5,2026-04-23,436.7,215485,426.7
429.05,439.0,2026-04-24,439.0,198689,422.5
426.9,429.95,2026-04-27,431.15,137269,422.25
419.8,426.0,2026-04-28,430.0,1841533,405.0
426.65,425.0,2026-04-29,439.9,742278,423.55
428.25,426.65,2026-04-30,430.5,373531,417.0
430.65,428.25,2026-05-04,433.45,575955,420.8
419.8,433.0,2026-05-05,433.0,297492,416.75
425.5,420.0,2026-05-06,429.4,501993,415.0
420.75,421.5,2026-05-07,428.5,744010,415.6
423.45,420.75,2026-05-08,425.0,244186,416.95
413.95,421.15,2026-05-11,422.0,115402,410.3
411.2,414.0,2026-05-12,422.0,751882,406.05
413.65,410.6,2026-05-13,416.45,109665,406.5
409.95,419.9,2026-05-14,419.9,135077,409.05
414.15,417.05,2026-05-15,421.85,717073,407.55
413.35,412.0,2026-05-18,417.6,176179,406.6
407.15,411.0,2026-05-19,413.3,264847,403.8
406.9,402.55,2026-05-20,409.65,81075,402.55
406.8,412.0,2026-05-21,412.0,81101,403.3
415.75,406.8,2026-05-22,418.0,245998,403.1
414.35,418.0,2026-05-25,424.95,312468,411.5
419.75,412.1,2026-05-26,426.9,245928,412.1
414.45,421.0,2026-05-27,421.0,48765,412.5
413.4,415.0,2026-05-29,416.5,217614,406.55
409.8,413.4,2026-06-01,413.6,46912,408.0
409.45,405.1,2026-06-02,411.0,98703,400.1
424.2,409.45,2026-06-03,429.45,412203,403.05
417.9,420.85,2026-06-04,423.55,523656,416.2
419.35,411.0,2026-06-05,421.9,92844,410.75
409.2,410.0,2026-06-08,418.0,82690,406.3
412.85,409.3,2026-06-09,416.45,100884,405.7
409.95,413.0,2026-06-10,415.0,219795,406.7
406.65,402.1,2026-06-11,410.0,456763,402.1
429.8,413.55,2026-06-12,431.45,303851,409.3
458.2,435.0,2026-06-15,472.75,1861102,433.0
457.9,461.95,2026-06-16,469.9,852819,452.2
455.8,459.9,2026-06-17,468.95,721487,452.4
457.6,455.8,2026-06-18,468.3,224958,454.6
494.2,457.6,2026-06-19,502.0,3439293,450.4
495.4,502.4,2026-06-22,511.0,945801,491.5
485.15,496.45,2026-06-23,498.95,296030,483.05
488.5,485.05,2026-06-24,492.45,514428,476.6
483.9,497.95,2026-06-25,497.95,306446,475.1
479.45,489.8,2026-06-29,491.05,209314,478.0
475.45,487.0,2026-06-30,487.85,614919,474.05
479.9,484.0,2026-07-01,490.0,193292,475.0
476.25,480.1,2026-07-02,485.95,133929,473.65
475.7,476.55,2026-07-03,481.3,234769,468.35
