close,open,date,high,volume,low
403.3,406.95,2025-10-24,408.5,6311744,401.0
410.05,404.0,2025-10-27,411.4,10699376,403.65
411.5,411.3,2025-10-28,414.15,10332279,408.55
411.35,412.5,2025-10-29,415.0,8485023,407.05
412.45,412.7,2025-10-30,419.0,8783965,408.1
410.0,414.05,2025-10-31,417.5,8012169,409.05
417.0,414.0,2025-11-03,417.85,8952229,410.1
406.5,417.4,2025-11-04,417.5,8889004,405.1
407.85,407.15,2025-11-06,409.7,6862359,405.4
405.7,406.7,2025-11-07,407.2,6930046,401.45
410.45,406.0,2025-11-10,412.95,7913640,406.0
407.6,412.55,2025-11-11,413.7,8120946,402.65
402.15,407.6,2025-11-12,411.4,12940220,401.9
397.95,404.0,2025-11-13,404.0,13165727,397.4
391.2,397.95,2025-11-14,399.6,21834856,387.3
372.7,380.0,2025-11-17,380.0,32393346,363.0
371.3,373.1,2025-11-18,374.0,17484757,369.15
360.85,371.2,2025-11-19,371.25,17854517,360.35
359.8,362.0,2025-11-20,364.4,15999034,359.25
362.25,359.0,2025-11-21,364.25,10829322,358.0
358.3,362.5,2025-11-24,362.85,12671925,356.8
352.45,358.0,2025-11-25,358.1,12577566,352.0
359.25,354.45,2025-11-26,362.85,13130211,354.3
357.8,362.0,2025-11-27,362.8,8871759,356.45
356.8,358.0,2025-11-28,359.75,10905212,355.1
363.8,359.0,2025-12-01,365.0,12714139,358.7
361.75,364.0,2025-12-02,364.0,8576018,359.6
356.85,361.7,2025-12-03,361.7,9504331,354.1
356.45,357.0,2025-12-04,359.5,9173145,354.3
353.6,355.0,2025-12-05,356.55,5667381,353.0
348.3,353.95,2025-12-08,356.2,7186158,345.8
344.7,348.5,2025-12-09,348.65,9143402,341.7
343.4,347.0,2025-12-10,347.5,8705054,341.95
346.65,343.4,2025-12-11,348.2,6756893,341.4
347.45,348.0,2025-12-12,349.35,7241621,344.75
347.15,347.45,2025-12-15,348.75,8169383,343.05
345.45,347.15,2025-12-16,349.35,8391226,343.9
346.35,346.45,2025-12-17,350.0,7045390,345.4
345.8,346.35,2025-12-18,347.45,15417506,337.7
352.65,347.4,2025-12-19,354.8,74052760,347.0
359.15,356.25,2025-12-22,360.95,10798315,353.6
363.25,361.0,2025-12-23,366.75,11885576,357.65
359.2,364.0,2025-12-24,364.9,9212351,358.55
358.8,359.2,2025-12-26,360.4,8589856,354.7
358.6,358.5,2025-12-29,362.8,10050266,357.85
361.75,358.6,2025-12-30,363.95,13807060,358.45
367.35,361.75,2025-12-31,368.5,10439184,360.65
367.55,368.85,2026-01-01,371.0,7214281,365.55
370.35,369.2,2026-01-02,372.9,7077536,368.55
373.55,370.35,2026-01-05,375.0,9591926,369.1
368.9,371.5,2026-01-06,371.5,17493345,360.0
363.35,367.05,2026-01-07,367.25,10682229,359.2
359.45,363.3,2026-01-08,365.35,7353203,358.0
354.15,358.0,2026-01-09,359.75,8018768,352.2
350.55,352.95,2026-01-12,354.15,9771562,347.65
349.75,350.65,2026-01-13,351.9,7527115,345.6
349.8,349.0,2026-01-14,354.0,6249594,347.1
353.6,349.7,2026-01-16,359.7,10735620,349.65
344.0,353.6,2026-01-19,353.6,14364958,338.35
337.85,344.85,2026-01-20,346.6,11541904,336.75
339.25,336.0,2026-01-21,343.7,9873473,335.95
347.3,344.45,2026-01-22,351.75,10714263,343.1
344.45,347.1,2026-01-23,351.0,8354700,342.15
340.55,340.0,2026-01-27,345.0,12510469,335.9
340.45,341.9,2026-01-28,346.6,9425163,337.05
351.8,340.5,2026-01-29,352.65,13586977,335.6
350.05,350.8,2026-01-30,353.0,9910289,348.4
362.9,344.65,2026-02-02,364.5,19654613,341.1
372.05,381.15,2026-02-03,384.6,16720225,366.0
375.45,372.5,2026-02-04,377.6,10142353,368.45
374.15,375.0,2026-02-05,375.6,14013838,364.3
369.5,365.0,2026-02-06,381.8,23116970,361.0
377.4,370.3,2026-02-09,379.9,8800284,369.6
379.35,378.0,2026-02-10,382.5,8921719,376.75
384.7,382.5,2026-02-11,387.35,10933658,382.1
383.45,385.0,2026-02-12,386.9,8324442,380.15
380.25,379.0,2026-02-13,387.5,15565868,374.4
377.25,378.3,2026-02-16,379.6,5004467,375.1
382.85,376.1,2026-02-17,383.6,7843059,373.55
382.85,382.85,2026-02-18,385.5,4796850,379.0
375.7,381.95,2026-02-19,386.8,6910527,374.0
378.0,375.7,2026-02-20,379.7,6324165,374.5
379.95,378.8,2026-02-23,384.0,11701520,376.05
377.55,376.85,2026-02-24,380.3,7213746,371.65
381.85,378.0,2026-02-25,385.6,7748663,376.1
391.55,381.7,2026-02-26,393.3,14697484,380.1
382.65,393.65,2026-02-27,394.05,15951041,380.95
370.6,358.0,2026-03-02,378.4,11804909,355.5
351.2,363.15,2026-03-04,363.9,17733124,350.1
355.15,353.1,2026-03-05,357.15,10574236,347.95
350.75,354.0,2026-03-06,354.35,6929668,349.35
332.0,342.0,2026-03-09,342.9,17240937,328.65
345.2,338.0,2026-03-10,345.8,13770080,334.25
335.35,344.8,2026-03-11,347.0,5949596,334.65
324.55,332.5,2026-03-12,333.0,9707654,323.35
314.1,323.0,2026-03-13,324.15,17073811,308.5
314.4,313.0,2026-03-16,316.45,10394023,306.9
319.2,315.0,2026-03-17,321.0,7953108,313.0
324.75,321.0,2026-03-18,330.2,7533727,319.9
309.3,318.0,2026-03-19,318.95,10146164,307.5
314.1,311.0,2026-03-20,316.9,13905760,310.8
305.25,311.05,2026-03-23,311.05,10816349,303.5
311.2,312.95,2026-03-24,314.2,8524890,305.5
