close,open,date,high,volume,low
111.93,104.0,2024-12-18,114.4,728732202,104.0
105.13,110.0,2024-12-19,114.75,169053505,104.2
101.19,105.5,2024-12-20,107.99,118556272,97.59
101.94,102.0,2024-12-23,103.38,60189677,96.7
104.39,101.0,2024-12-24,105.6,47994254,99.25
106.64,105.38,2024-12-26,114.15,101079107,104.12
106.14,107.6,2024-12-27,107.75,37553989,103.1
104.7,105.1,2024-12-30,108.19,29055112,103.8
106.43,103.9,2024-12-31,107.0,24272901,101.0
105.91,106.0,2025-01-01,106.9,11689297,105.02
107.36,106.0,2025-01-02,111.15,47689604,105.4
112.18,109.0,2025-01-03,117.34,112322902,108.56
104.84,112.98,2025-01-06,113.44,40015050,104.11
113.58,107.0,2025-01-07,114.35,52702210,106.7
111.47,113.69,2025-01-08,113.79,28699821,109.61
110.94,111.45,2025-01-09,116.49,37520221,109.5
108.51,110.9,2025-01-10,111.37,24824477,107.3
104.12,105.9,2025-01-13,107.6,24126088,101.5
106.48,105.0,2025-01-14,108.2,17068402,103.56
105.23,105.0,2025-01-15,107.5,23172682,102.8
109.17,108.0,2025-01-16,110.3,18950087,105.66
109.84,108.5,2025-01-17,110.64,21152139,107.51
111.69,110.59,2025-01-20,112.5,16870634,108.9
106.02,112.5,2025-01-21,113.95,21925089,104.95
104.98,107.8,2025-01-22,107.8,16650372,103.65
105.97,104.98,2025-01-23,106.75,8543848,104.35
102.81,106.35,2025-01-24,106.49,12517429,101.76
99.86,102.97,2025-01-27,104.94,26313193,99.16
101.72,101.95,2025-01-28,103.45,24240985,97.27
105.66,101.8,2025-01-29,106.0,10325507,101.8
106.45,105.7,2025-01-30,107.12,10455428,104.81
107.95,106.99,2025-01-31,108.5,8519465,106.12
115.34,113.0,2025-02-03,121.7,66098244,111.41
125.4,117.7,2025-02-04,126.87,80861240,115.34
120.5,123.66,2025-02-05,125.28,26529155,119.8
116.12,121.0,2025-02-06,121.69,20426958,115.14
113.13,116.85,2025-02-07,117.75,21971999,112.5
111.32,112.81,2025-02-10,113.65,19121374,108.6
107.05,111.4,2025-02-11,111.87,16153714,106.21
