close,open,date,high,volume,low
2338.9,2500.0,2024-10-28,2624.4,21535158,2300.0
2380.2,2375.1,2024-10-29,2497.0,7937427,2352.05
2441.65,2391.1,2024-10-30,2450.0,2849157,2370.15
2722.1,2453.0,2024-10-31,2758.7,12359372,2441.7
2890.1,2780.0,2024-11-01,2910.0,5382498,2776.55
2990.6,2909.65,2024-11-04,3016.0,12683686,2712.0
3472.7,2980.0,2024-11-05,3568.8,14195138,2931.3
3636.6,3435.0,2024-11-06,3743.0,9495315,3425.0
3348.65,3574.0,2024-11-07,3619.8,5831790,3300.0
3133.7,3304.95,2024-11-08,3414.0,4885739,3056.75
2822.8,3071.0,2024-11-11,3122.0,4711657,2820.35
2870.0,2821.0,2024-11-12,3014.0,3934523,2762.25
2875.75,2905.1,2024-11-13,2970.0,2124099,2784.0
2917.45,2900.0,2024-11-14,2968.0,1428158,2872.0
3114.45,2950.0,2024-11-18,3186.0,3696718,2893.3
2901.8,2950.0,2024-11-19,3044.0,3339933,2880.0
2721.45,2883.0,2024-11-21,2915.0,2282806,2690.0
2705.2,2738.0,2024-11-22,2805.0,1588761,2672.0
2596.6,2789.95,2024-11-25,2789.95,3059199,2565.0
2525.85,2612.05,2024-11-26,2622.3,2558847,2512.0
2607.75,2544.2,2024-11-27,2678.0,2887896,2534.5
2633.85,2643.85,2024-11-28,2686.35,1988167,2605.35
2667.75,2641.6,2024-11-29,2692.0,1299617,2585.0
2740.3,2695.0,2024-12-02,2797.0,2898505,2675.05
2696.95,2755.0,2024-12-03,2765.1,1257966,2690.0
2722.15,2702.0,2024-12-04,2764.3,1211550,2695.0
2839.35,2732.35,2024-12-05,2949.0,4528208,2715.0
2903.1,2888.8,2024-12-06,2975.0,3709349,2852.0
2971.3,2918.4,2024-12-09,2992.0,2843345,2902.0
3134.65,3020.0,2024-12-10,3185.0,5205256,3020.0
3174.7,3143.0,2024-12-11,3231.0,2544371,3134.65
3292.25,3235.0,2024-12-12,3445.45,8948458,3210.05
3217.05,3270.0,2024-12-13,3279.9,3292067,3162.0
3133.15,3225.0,2024-12-16,3257.55,2066749,3111.15
3101.0,3133.1,2024-12-17,3245.5,3220058,3081.0
3042.15,3111.0,2024-12-18,3145.0,2029095,3017.6
3039.1,2950.0,2024-12-19,3108.0,2375391,2941.05
2879.35,3073.55,2024-12-20,3085.95,2106023,2865.0
2932.45,2922.0,2024-12-23,2968.0,2082511,2830.45
2868.7,2958.7,2024-12-24,3030.0,1921221,2858.75
2823.15,2887.1,2024-12-26,2900.0,1091798,2811.0
2790.4,2827.0,2024-12-27,2850.0,784366,2781.3
2775.45,2800.0,2024-12-30,2853.9,1058039,2758.8
2854.6,2778.45,2024-12-31,2868.0,1308765,2737.95
2862.2,2869.0,2025-01-01,2906.0,833148,2842.5
2839.1,2870.0,2025-01-02,2877.0,880522,2830.0
2820.85,2843.1,2025-01-03,2892.95,968095,2815.0
2741.6,2826.95,2025-01-06,2843.4,1248844,2695.0
2769.0,2748.9,2025-01-07,2824.0,826532,2739.9
2697.65,2755.0,2025-01-08,2760.6,757064,2686.5
2600.4,2693.3,2025-01-09,2693.3,1032882,2591.0
2565.0,2585.0,2025-01-10,2647.55,1258932,2560.0
2487.2,2552.25,2025-01-13,2648.0,1691859,2475.0
2617.1,2520.0,2025-01-14,2635.0,1667039,2493.1
2609.9,2655.0,2025-01-15,2684.9,981806,2590.0
2648.5,2650.0,2025-01-16,2683.95,738069,2630.05
2605.3,2656.0,2025-01-17,2656.0,421725,2595.0
2634.6,2620.9,2025-01-20,2667.45,543690,2611.0
2673.4,2674.55,2025-01-21,2721.0,1216649,2591.1
2425.1,2680.0,2025-01-22,2680.0,5626060,2362.25
2343.4,2435.9,2025-01-23,2464.3,2825108,2317.85
2241.7,2369.95,2025-01-24,2394.4,2527905,2207.0
2196.15,2215.0,2025-01-27,2268.0,4621411,2026.0
2091.95,2208.8,2025-01-28,2230.8,3757703,2030.0
2207.55,2115.1,2025-01-29,2222.0,2485779,2087.4
2197.1,2226.0,2025-01-30,2257.75,2372322,2145.0
2392.7,2434.0,2025-01-31,2505.5,7082312,2360.1
2334.4,2369.45,2025-02-03,2369.45,1607782,2275.0
2353.3,2379.8,2025-02-04,2403.6,1385138,2311.0
2381.75,2373.95,2025-02-05,2414.0,944692,2362.1
2329.15,2390.0,2025-02-06,2398.0,613329,2320.0
2298.3,2321.0,2025-02-07,2343.55,853039,2290.2
2268.3,2298.3,2025-02-10,2299.0,876016,2222.6
2166.3,2268.0,2025-02-11,2270.0,1056788,2152.5
2190.8,2147.9,2025-02-12,2215.0,1739591,2111.1
2194.05,2191.1,2025-02-13,2258.0,1047889,2168.25
2103.9,2210.9,2025-02-14,2218.95,1067068,2085.25
2173.6,2100.0,2025-02-17,2185.9,1362233,2052.4
2164.6,2181.0,2025-02-18,2193.05,837027,2134.35
2220.3,2150.0,2025-02-19,2266.85,1104031,2135.0
2309.3,2225.0,2025-02-20,2364.9,2298701,2220.0
2260.7,2310.0,2025-02-21,2344.4,939735,2242.0
2232.85,2207.95,2025-02-24,2274.8,755727,2195.05
2268.75,2243.95,2025-02-25,2294.9,755602,2241.0
2212.9,2297.0,2025-02-27,2298.0,763160,2198.25
2158.55,2168.0,2025-02-28,2194.95,762204,2127.1
2116.05,2179.0,2025-03-03,2179.05,1202101,2066.4
2109.45,2079.85,2025-03-04,2164.0,786403,2072.05
2224.8,2115.2,2025-03-05,2247.0,1415978,2115.2
2209.9,2246.0,2025-03-06,2254.0,732463,2199.0
2226.1,2204.9,2025-03-07,2281.45,828511,2191.4
2140.9,2237.8,2025-03-10,2250.0,637758,2125.0
2114.25,2110.0,2025-03-11,2129.95,723430,2086.75
2117.55,2130.0,2025-03-12,2149.75,448119,2102.0
2125.25,2128.0,2025-03-13,2153.9,525713,2096.4
2114.9,2138.9,2025-03-17,2183.0,649782,2090.0
2178.8,2150.0,2025-03-18,2186.75,648856,2131.9
2255.2,2192.9,2025-03-19,2268.4,828453,2184.0
2253.4,2271.9,2025-03-20,2303.65,754449,2222.3
2352.9,2254.55,2025-03-21,2374.0,1349324,2233.0
2431.35,2395.0,2025-03-24,2449.7,1068155,2382.65
2440.95,2450.55,2025-03-25,2508.0,1444601,2392.6
2427.1,2454.75,2025-03-26,2464.6,784170,2392.5
2435.85,2417.9,2025-03-27,2450.0,1100047,2371.0
2404.65,2453.75,2025-03-28,2469.0,849165,2383.05
2379.85,2380.0,2025-04-01,2421.0,411853,2368.05
